,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,BOLIVIA - DIVISION PROFESIONAL,2025-04-26,00:00,Aurora,Real Oruro, ROUND 5,1.53,4.2,5.25,1.3,3.4,2.38,1.53,1.03,15.0,1.2,4.33,1.67,2.15,1.73,2.0
2,BRAZIL - SERIE B SUPERBET,2025-04-26,00:00,Criciuma,Remo, ROUND 5,1.67,3.5,5.5,1.44,2.63,3.25,1.33,1.07,9.0,1.36,3.0,2.15,1.67,2.1,1.67
3,CHILE - LIGA DE PRIMERA,2025-04-26,00:00,Nublense,La Serena, ROUND 9,1.8,3.4,4.2,1.4,2.75,3.0,1.36,1.06,10.0,1.3,3.4,2.03,1.83,1.83,1.83
4,CHILE - LIGA DE PRIMERA,2025-04-26,00:00,Union La Calera,A. Italiano, ROUND 9,2.25,3.25,3.1,1.44,2.63,3.4,1.3,1.07,8.5,1.36,3.0,2.15,1.67,1.83,1.83
5,PARAGUAY - COPA DE PRIMERA,2025-04-26,00:00,Atl. Tembetary,2 de Mayo, APERTURA,2.5,3.25,2.6,1.53,2.38,3.5,1.29,1.08,7.5,1.5,2.5,2.4,1.53,2.1,1.67
6,BRAZIL - SERIE B SUPERBET,2025-04-26,02:00,Vila Nova FC,Chapecoense-SC, ROUND 5,1.8,3.4,4.75,1.57,2.25,3.75,1.25,1.1,7.0,1.5,2.5,2.6,1.48,2.38,1.53
7,CANADA - CANADIAN PREMIER LEAGUE,2025-04-26,02:00,Valour,HFX Wanderers,-,3.0,3.3,2.15,1.36,2.88,2.7,1.4,1.02,10.0,1.29,3.3,1.85,1.85,1.73,2.0
8,ECUADOR - LIGA PRO,2025-04-26,02:00,EL Nacional,Delfin, ROUND 10,1.5,3.6,6.0,1.4,2.75,3.0,1.36,1.06,10.0,1.33,3.25,2.05,1.75,2.1,1.67
9,BOLIVIA - DIVISION PROFESIONAL,2025-04-26,02:30,Guabira,Tomayapo, ROUND 5,1.85,3.6,3.9,1.33,3.25,2.63,1.44,1.04,13.0,1.2,4.33,1.7,2.1,1.62,2.2
10,CHILE - LIGA DE PRIMERA,2025-04-26,02:30,U. Catolica,Everton, ROUND 9,2.0,3.25,3.8,1.44,2.63,3.25,1.33,1.06,10.0,1.3,3.4,2.05,1.75,1.83,1.83
11,COLOMBIA - PRIMERA B,2025-04-26,02:30,Leones,Cucuta, APERTURA,3.4,3.4,1.95,1.4,2.75,2.9,1.36,1.04,8.5,1.33,3.0,2.0,1.73,1.85,1.85
12,COSTA RICA - PRIMERA DIVISION,2025-04-26,04:00,Santa Ana,AD Santos, CLAUSURA,1.9,3.4,3.9,1.4,2.75,3.0,1.36,1.06,9.5,1.3,3.4,2.05,1.75,1.83,1.83
13,AUSTRALIA - A-LEAGUE,2025-04-26,07:00,Brisbane Roar,Wellington Phoenix, ROUND 28,1.91,3.75,3.75,1.29,3.5,2.38,1.53,1.03,15.0,1.2,4.5,1.62,2.3,1.57,2.25
14,JAPAN - J1 LEAGUE,2025-04-26,07:00,Kashiwa Reysol,Albirex Niigata, ROUND 12,2.15,3.2,3.6,1.53,2.38,3.5,1.29,1.08,8.0,1.44,2.63,2.35,1.57,2.0,1.75
15,JAPAN - J2 LEAGUE,2025-04-26,07:00,Renofa Yamaguchi,Imabari, ROUND 11,3.4,3.2,2.25,1.5,2.5,3.5,1.29,1.08,7.5,1.44,2.63,2.35,1.57,2.0,1.73
16,JAPAN - J2 LEAGUE,2025-04-26,07:00,Tokushima,Toyama, ROUND 11,2.1,3.0,3.8,1.57,2.25,3.75,1.25,1.1,7.0,1.5,2.5,2.5,1.5,2.2,1.62
17,SOUTH KOREA - K LEAGUE 1,2025-04-26,07:00,Suwon FC,Jeonbuk, ROUND 10,3.4,3.3,2.15,1.4,2.75,3.0,1.36,1.06,10.0,1.3,3.4,2.03,1.83,1.8,1.91
18,SOUTH KOREA - K LEAGUE 2,2025-04-26,07:00,Cheonan City,Cheongju, ROUND 9,2.45,3.5,2.63,1.4,2.75,3.0,1.36,1.05,11.0,1.3,3.4,2.0,1.8,1.8,1.91
