,Unnamed: 0,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,1,0vu88lwo,2025-01-28,00:00,ARGENTINA - TORNEO BETANO,Banfield,Newells Old Boys,APERTURA ,2.55,2.8,3.3,1.67,2.1,1.14,5.5,1.57,2.25,2.88,1.4,2.25,1.57
2,2,jDFNvyFF,2025-01-28,13:00,INDONESIA - LIGA 1,Bali United,Borneo,ROUND 20,2.15,3.4,2.87,1.3,3.2,1.02,10.0,1.22,3.9,1.7,2.05,1.6,2.2
3,3,zLZ0eX5M,2025-01-28,15:00,EGYPT - PREMIER LEAGUE,National Bank Egypt,Petrojet,ROUND 10,2.15,2.87,3.3,1.53,2.38,1.1,6.0,1.48,2.5,2.4,1.5,2.05,1.67
4,4,bLB1v09E,2025-01-28,15:00,INDIA - ISL,Punjab,Jamshedpur,ROUND 19,2.05,3.4,3.4,1.36,3.0,1.05,11.0,1.29,3.5,1.9,1.9,1.73,2.0
5,5,vgthcgyA,2025-01-28,18:00,EGYPT - PREMIER LEAGUE,Smouha,ZED,ROUND 10,2.3,2.8,3.0,1.57,2.25,1.11,5.75,1.53,2.37,2.6,1.44,2.15,1.61
6,6,YBPelzQO,2025-01-28,20:00,NETHERLANDS - EREDIVISIE,Heracles,Groningen,ROUND 17,2.3,3.4,3.0,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,1.75,2.0
7,7,G6BOZJem,2025-01-28,20:00,BELGIUM - CHALLENGER PRO LEAGUE,Anderlecht U23,Genk U23,ROUND 17,2.35,3.5,2.63,1.33,3.25,1.03,15.0,1.2,4.33,1.65,2.2,1.53,2.38
8,8,pn3uWyeC,2025-01-28,20:00,BELGIUM - CHALLENGER PRO LEAGUE,Lokeren-Temse,Eupen,ROUND 17,2.45,3.4,2.5,1.36,3.0,1.04,12.0,1.25,3.75,1.85,2.0,1.67,2.1
9,9,hC6mUFPO,2025-01-28,20:00,BELGIUM - CHALLENGER PRO LEAGUE,Seraing,K. Lierse S.K.,ROUND 17,2.63,3.4,2.4,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.62,2.2
10,10,jT1cIQ55,2025-01-28,20:45,ENGLAND - CHAMPIONSHIP,Portsmouth,Millwall,ROUND 17,2.55,3.1,2.9,1.53,2.38,1.1,7.0,1.44,2.75,2.38,1.57,2.0,1.73
11,11,25KM2cvJ,2025-01-28,20:45,ENGLAND - LEAGUE ONE,Bolton,Northampton,ROUND 29,1.38,4.75,7.0,1.33,3.25,1.04,12.0,1.22,4.0,1.73,2.08,2.0,1.75
12,12,GnRY9Eon,2025-01-28,20:45,ENGLAND - LEAGUE ONE,Burton,Reading,ROUND 29,2.5,3.4,2.63,1.4,2.75,1.05,11.0,1.29,3.5,1.95,1.9,1.75,2.0
13,13,OCUt8hGb,2025-01-28,20:45,ENGLAND - LEAGUE ONE,Charlton,Bristol Rovers,ROUND 29,1.5,4.0,6.25,1.4,2.75,1.06,10.0,1.29,3.5,1.93,1.93,1.95,1.8
14,14,pSIk6WpB,2025-01-28,20:45,ENGLAND - LEAGUE ONE,Exeter,Leyton Orient,ROUND 29,3.3,3.3,2.15,1.5,2.5,1.07,8.5,1.36,3.0,2.15,1.67,1.95,1.8
15,15,jTcUblwo,2025-01-28,20:45,ENGLAND - LEAGUE ONE,Lincoln,Blackpool,ROUND 29,2.3,3.3,3.0,1.44,2.63,1.07,9.0,1.33,3.25,2.08,1.73,1.8,1.95
16,16,rNpGMiVi,2025-01-28,20:45,ENGLAND - LEAGUE ONE,Mansfield,Crawley,ROUND 29,1.55,4.2,5.25,1.33,3.25,1.04,13.0,1.22,4.0,1.7,2.1,1.8,1.95
17,17,vkvPKVa4,2025-01-28,20:45,ENGLAND - LEAGUE ONE,Peterborough,Wigan,ROUND 29,2.3,3.4,3.0,1.4,2.75,1.05,11.0,1.29,3.5,1.95,1.9,1.75,2.0
18,18,pnsXI9UG,2025-01-28,20:45,ENGLAND - LEAGUE ONE,Rotherham,Cambridge Utd,ROUND 29,1.7,3.8,4.5,1.4,2.75,1.06,10.0,1.3,3.4,2.03,1.83,1.95,1.8
