,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,SPAIN - LALIGA,2025-03-27,21:00,Barcelona,Osasuna,ROUND 27,1.29,7.0,7.0,1.2,4.33,2.0,1.85,1.01,26.0,1.1,7.0,1.33,3.4,1.67,2.1
2,COLOMBIA - PRIMERA A,2025-03-27,00:30,Junior,U. Magdalena,APERTURA ,1.57,3.6,6.0,1.44,2.63,3.25,1.33,1.07,8.5,1.33,3.25,2.1,1.7,2.1,1.67
3,COSTA RICA - PRIMERA DIVISION,2025-03-27,02:00,Puntarenas FC,Sporting San Jose,CLAUSURA ,1.85,3.3,4.2,1.5,2.5,3.4,1.3,1.08,8.0,1.36,3.0,2.2,1.65,2.0,1.73
4,COLOMBIA - PRIMERA A,2025-03-27,02:30,Millonarios,Santa Fe,APERTURA ,2.05,2.9,3.6,1.62,2.2,4.0,1.22,1.11,6.5,1.53,2.38,2.7,1.44,2.25,1.57
5,COSTA RICA - PRIMERA DIVISION,2025-03-27,03:00,Herediano,Zeledon,CLAUSURA ,1.45,4.2,6.5,1.4,2.75,2.75,1.4,1.06,10.0,1.29,3.5,1.9,1.9,2.1,1.67
6,URUGUAY - LIGA AUF URUGUAYA,2025-03-27,18:00,Danubio,Defensor Sp.,APERTURA ,2.6,3.2,2.6,1.57,2.25,3.75,1.25,1.1,7.0,1.5,2.5,2.6,1.48,2.2,1.62
7,PERU - LIGA 1,2025-03-27,19:00,Comerciantes Unidos,Grau,APERTURA ,2.35,3.1,2.9,1.5,2.5,3.4,1.3,1.08,8.0,1.4,2.75,2.25,1.62,1.91,1.8
8,ARGENTINA - TORNEO BETANO,2025-03-27,19:30,Aldosivi,Union de Santa Fe,APERTURA ,2.8,3.0,2.8,1.67,2.1,4.0,1.22,1.13,6.0,1.57,2.25,2.88,1.4,2.25,1.57
9,URUGUAY - LIGA AUF URUGUAYA,2025-03-27,20:30,Juventud,Penarol,APERTURA ,4.33,3.7,1.65,1.44,2.63,3.25,1.33,1.06,9.5,1.33,3.25,2.05,1.75,2.0,1.73
10,ENGLAND - LEAGUE ONE,2025-03-27,21:00,Leyton Orient,Stevenage,ROUND 39,2.2,3.3,3.4,1.53,2.38,3.5,1.29,1.08,8.0,1.44,2.63,2.35,1.57,2.05,1.7
11,PERU - LIGA 1,2025-03-27,21:30,Ayacucho,FBC Melgar,APERTURA ,4.5,3.4,1.7,1.36,3.0,2.63,1.44,1.05,11.0,1.25,3.75,1.83,2.03,1.73,2.0
12,ARGENTINA - TORNEO BETANO,2025-03-27,22:00,Barracas Central,Estudiantes L.P.,APERTURA ,3.7,3.4,2.05,1.5,2.5,3.5,1.29,1.08,8.0,1.4,2.75,2.35,1.57,2.05,1.7
13,CHILE - LIGA DE PRIMERA,2025-03-27,22:15,Colo Colo,Palestino,ROUND 6,1.62,3.75,5.5,1.44,2.63,3.25,1.33,1.07,9.0,1.33,3.25,2.05,1.75,2.0,1.73
14,COSTA RICA - PRIMERA DIVISION,2025-03-27,23:00,Santa Ana,Cartagines,CLAUSURA ,2.7,3.2,2.5,1.5,2.5,3.4,1.3,1.07,9.0,1.36,3.0,2.2,1.65,1.91,1.8
15,URUGUAY - LIGA AUF URUGUAYA,2025-03-27,23:00,Wanderers,Progreso,APERTURA ,1.95,3.3,3.6,1.5,2.5,3.4,1.3,1.07,9.0,1.36,3.0,2.2,1.65,2.0,1.73
16,PARAGUAY - COPA DE PRIMERA,2025-03-27,23:30,Guarani,Sportivo Trinidense,APERTURA ,2.1,3.0,3.5,1.5,2.5,3.4,1.3,1.08,8.0,1.36,3.0,2.2,1.65,1.83,1.83
