,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,WORLD - WORLD CHAMPIONSHIP,2025-03-19,17:00,Central Africa,Madagascar,QUALIFICATION ,3.0,3.1,2.5,1.57,2.2,4.0,1.25,1.11,7.0,1.53,2.38,2.7,1.44,2.2,1.62
2,WORLD - WORLD CHAMPIONSHIP,2025-03-19,17:00,Eswatini,Cameroon,QUALIFICATION ,12.0,4.75,1.3,1.5,2.5,3.5,1.29,1.08,8.0,1.44,2.63,2.35,1.57,3.4,1.3
3,WORLD - WORLD CHAMPIONSHIP,2025-03-19,17:00,Liberia,Tunisia,QUALIFICATION ,5.5,3.1,1.83,1.62,2.2,4.0,1.22,1.13,6.0,1.57,2.25,2.88,1.4,2.5,1.5
