,League,Date,Time,Round,Home,Away,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_BTTS_Yes,HT_Odd_BTTS_No,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Lay_Home,FT_Odd_Lay_Draw,FT_Odd_Lay_Away,Pre_Match_Home_Expected_Goals,Pre_Match_Away_Expected_Goals,Pre_Match_Total_Expected_Goals,BTTS_First_Half_Potential,BTTS_Second_Half_Potential,BTTS_Potential,Pre_Match_Home_Points_per_Game,Pre_Match_Home_Overall_Points_per_Game,Pre_Match_Away_Points_per_Game,Pre_Match_Away_Overall_Points_per_Game
0,Brazil Serie C,2025-05-26,00:00:00,7,Anápolis,Maringá,4.0,1.9,2.9,1.44,2.35,3.4,1.28,9.7,1.02,0.0,0.0,3.0,2.94,2.11,1.03,8.5,1.44,2.62,2.52,1.48,2.05,1.65,1.33,1.32,1.5,1.48,1.78,3.26,34.0,17.0,50.0,0.67,1.0,1.33,1.83
1,USA MLS,2025-05-26,01:00:00,0,Atlanta United FC,FC Cincinnati,3.0,2.38,3.1,1.29,3.5,2.38,1.53,5.5,1.14,0.0,0.0,2.33,3.38,2.53,1.04,10.0,1.2,4.33,1.73,2.0,1.53,2.38,1.53,1.22,1.45,1.57,1.51,3.08,25.0,25.0,57.0,1.13,0.79,1.63,2.07
2,USA MLS Next Pro,2025-05-26,01:00:00,0,Crown Legacy,FC Cincinnati II,2.4,2.3,4.25,1.3,3.2,2.4,1.5,5.5,1.11,0.0,0.0,1.91,3.75,3.1,1.02,10.0,1.22,3.8,1.67,2.1,1.62,2.2,1.88,0.0,1.29,1.6,1.44,3.04,13.0,25.0,63.0,1.25,1.25,0.25,0.63
3,USA MLS Next Pro,2025-05-26,01:00:00,0,Atlanta United II,Orlando City II,2.25,2.62,3.3,1.22,3.6,2.0,1.78,3.8,1.22,0.0,0.0,2.01,3.73,3.29,1.01,17.5,1.09,5.0,1.35,2.75,1.37,2.7,1.7,1.23,1.2,2.4,1.54,3.94,55.0,53.0,65.0,1.2,1.0,0.75,1.44
4,Brazil Serie A,2025-05-26,01:30:00,10,Fortaleza,Cruzeiro,3.1,2.0,3.6,1.52,2.35,3.5,1.27,8.5,1.0,0.0,0.0,2.5,2.99,3.0,1.05,6.5,1.5,2.5,2.62,1.44,2.1,1.7,1.5,1.3,1.38,1.53,1.39,2.92,0.0,25.0,25.0,1.75,1.11,1.0,1.89
5,Chile Primera División,2025-05-26,02:00:00,12,Deportes Iquique,Unión La Calera,2.88,2.1,3.75,1.4,2.75,3.0,1.36,8.0,1.08,0.0,0.0,2.26,3.37,3.12,1.06,8.0,1.3,3.25,2.08,1.73,1.8,1.91,1.62,1.28,1.35,1.67,1.17,2.84,23.0,10.0,33.0,0.75,0.5,0.4,1.36
6,China China League One,2025-05-26,09:00:00,10,Yanbian Longding,Heilongjiang Lava Spring,2.65,1.93,3.9,1.5,2.35,3.18,1.3,8.5,1.01,0.0,0.0,2.02,3.05,3.55,1.06,7.7,1.38,2.8,2.25,1.59,1.87,1.85,1.62,1.33,1.27,1.36,0.81,2.17,17.0,50.0,50.0,3.0,1.22,0.33,0.89
7,China China League One,2025-05-26,09:30:00,10,Qingdao Red Lions,Nantong Zhiyun,4.03,2.0,2.81,1.42,2.52,3.15,1.32,8.0,1.02,0.0,0.0,3.3,3.25,1.99,1.03,6.5,1.36,2.7,2.2,1.65,1.8,1.85,1.27,1.31,1.2,1.1,1.0,2.1,13.0,13.0,50.0,0.5,0.78,0.5,1.22
8,Vietnam V.League 1,2025-05-26,13:00:00,24,Song Lam Nghe An,Nam Dinh,5.7,2.1,2.0,1.45,2.5,2.85,1.35,6.8,1.07,0.0,0.0,4.7,3.4,1.68,1.01,8.4,1.31,2.92,2.0,1.67,2.0,1.72,1.09,1.22,1.2,1.44,1.35,2.79,20.0,10.0,36.0,1.27,1.0,1.82,2.09
9,China China League One,2025-05-26,13:30:00,10,Shenzhen Juniors,Guangzhou E-Power,5.9,2.14,2.0,1.34,3.02,2.5,1.45,6.85,1.04,0.0,0.0,5.5,4.25,1.52,1.04,10.5,1.22,3.7,1.82,1.99,1.85,1.92,1.14,1.2,2.29,1.29,1.21,2.5,13.0,25.0,63.0,2.25,1.0,2.5,2.11
10,Vietnam V.League 1,2025-05-26,14:15:00,24,Công An Nhân Dân,Ha Noi,2.77,2.15,3.5,1.33,2.92,2.58,1.4,6.0,1.09,0.0,0.0,2.98,2.88,2.29,1.01,10.0,1.25,3.5,1.95,1.75,1.67,2.1,1.42,1.31,1.28,1.73,1.58,3.31,23.0,23.0,50.0,1.82,1.57,1.73,1.87
