,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,COSTA RICA - PRIMERA DIVISION,2025-03-31,00:00,Saprissa,Herediano, CLAUSURA,1.9,3.4,3.7,1.5,2.5,3.4,1.3,1.07,9.0,1.36,3.0,2.2,1.65,2.0,1.73
2,ARGENTINA - TORNEO BETANO,2025-03-31,00:30,Newells Old Boys,Boca Juniors, APERTURA,3.5,3.2,2.15,1.57,2.25,3.75,1.25,1.08,8.0,1.44,2.63,2.4,1.53,2.1,1.67
3,COLOMBIA - PRIMERA A,2025-03-31,00:45,U. Magdalena,Santa Fe, APERTURA,2.5,3.2,2.8,1.57,2.25,3.75,1.25,1.08,8.0,1.5,2.5,2.5,1.5,2.1,1.67
4,BRAZIL - SERIE A BETANO,2025-03-31,01:00,Bahia,Corinthians, ROUND 1,1.75,3.4,5.0,1.44,2.63,3.25,1.33,1.07,9.0,1.36,3.2,2.1,1.7,1.95,1.8
5,ECUADOR - LIGA PRO,2025-03-31,01:00,EL Nacional,Orense, ROUND 6,1.75,3.6,4.33,1.44,2.63,3.25,1.33,1.06,10.0,1.36,3.0,2.1,1.7,2.0,1.73
6,MEXICO - LIGA MX,2025-03-31,01:00,Santos Laguna,Atl. San Luis, CLAUSURA,2.2,3.6,3.0,1.3,3.4,2.5,1.5,1.03,15.0,1.2,4.33,1.67,2.15,1.53,2.38
7,USA - MLS,2025-03-31,01:00,Portland Timbers,Houston Dynamo,-,2.2,3.4,3.25,1.33,3.25,2.63,1.44,1.04,13.0,1.22,4.0,1.73,2.08,1.62,2.2
8,BOLIVIA - DIVISION PROFESIONAL,2025-03-31,01:30,Blooming,The Strongest, ROUND 1,2.25,3.2,2.9,1.33,3.25,2.5,1.5,1.04,13.0,1.2,4.33,1.67,2.15,1.53,2.38
9,CHILE - LIGA DE PRIMERA,2025-03-31,01:30,Union La Calera,Cobresal, ROUND 6,1.85,3.6,4.2,1.44,2.63,3.0,1.36,1.06,10.0,1.33,3.25,2.05,1.75,1.83,1.83
10,URUGUAY - LIGA AUF URUGUAYA,2025-03-31,01:30,Penarol,Cerro Largo, APERTURA,1.6,3.8,5.25,1.5,2.5,3.4,1.3,1.08,8.0,1.4,2.75,2.2,1.65,2.25,1.57
11,COSTA RICA - PRIMERA DIVISION,2025-03-31,02:00,Sporting San Jose,Santa Ana, CLAUSURA,2.2,3.4,3.0,1.5,2.5,3.4,1.3,1.07,8.5,1.36,3.0,2.15,1.67,1.91,1.8
12,VENEZUELA - LIGA FUTVE,2025-03-31,02:00,Portuguesa,La Guaira, APERTURA,2.7,3.0,2.5,1.55,2.3,3.4,1.29,1.09,6.0,1.5,2.4,2.4,1.5,2.05,1.7
13,COLOMBIA - PRIMERA A,2025-03-31,03:00,America De Cali,Fortaleza, APERTURA,1.44,4.33,7.0,1.4,2.75,3.0,1.36,1.06,10.0,1.3,3.4,2.0,1.85,2.2,1.62
