,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,CHILE - LIGA DE PRIMERA,2025-04-19,00:00,A. Italiano,U. Espanola, ROUND 8,2.5,3.3,2.7,1.36,3.0,2.75,1.4,1.04,13.0,1.25,3.75,1.83,2.03,1.67,2.1
2,PERU - LIGA 1,2025-04-19,00:00,Binacional,U. de Deportes, APERTURA,3.1,3.2,2.3,1.5,2.5,3.5,1.29,1.08,8.0,1.4,2.75,2.25,1.62,1.91,1.8
3,VENEZUELA - LIGA FUTVE,2025-04-19,00:00,Estudiantes Merida,Puerto Cabello, APERTURA,2.1,3.2,3.3,1.4,2.75,2.8,1.38,1.03,9.0,1.33,3.0,2.0,1.73,1.75,1.95
4,ARGENTINA - TORNEO BETANO,2025-04-19,00:15,Racing Club,Central Cordoba, APERTURA,1.65,3.9,5.25,1.4,2.75,2.75,1.4,1.05,11.0,1.29,3.5,1.95,1.9,1.95,1.8
5,ARGENTINA - TORNEO BETANO,2025-04-19,00:15,Talleres Cordoba,Velez Sarsfield, APERTURA,2.15,3.1,3.7,1.53,2.38,3.5,1.29,1.1,7.0,1.44,2.63,2.4,1.53,2.0,1.75
6,CANADA - CANADIAN PREMIER LEAGUE,2025-04-19,01:00,Cavalry,Vancouver FC,-,1.53,3.8,5.5,1.33,3.0,2.5,1.48,1.02,10.0,1.25,3.6,1.8,1.91,1.91,1.8
7,BOLIVIA - DIVISION PROFESIONAL,2025-04-19,02:00,Tomayapo,Universitario de Vinto, ROUND 4,2.1,3.25,3.4,1.44,2.63,3.4,1.3,1.07,9.0,1.36,3.0,2.15,1.67,1.83,1.83
8,ECUADOR - LIGA PRO,2025-04-19,02:00,Barcelona SC,EL Nacional, ROUND 9,1.5,4.1,6.0,1.36,3.0,2.75,1.4,1.04,13.0,1.25,3.75,1.8,2.0,2.0,1.73
9,ARGENTINA - TORNEO BETANO,2025-04-19,02:30,Atl. Tucuman,Independiente, APERTURA,3.0,3.25,2.4,1.5,2.5,3.4,1.3,1.07,9.0,1.4,2.75,2.25,1.62,1.95,1.8
10,ARGENTINA - TORNEO BETANO,2025-04-19,02:30,Union de Santa Fe,Newells Old Boys, APERTURA,2.1,3.1,4.0,1.53,2.38,3.5,1.29,1.1,7.0,1.44,2.63,2.4,1.53,2.05,1.7
11,MEXICO - LIGA MX,2025-04-19,03:00,Puebla,Necaxa, CLAUSURA,4.5,3.6,1.8,1.33,3.25,2.5,1.5,1.04,13.0,1.2,4.33,1.7,2.1,1.67,2.1
12,PERU - LIGA 1,2025-04-19,03:00,Alianza Lima,Los Chankas, APERTURA,1.33,5.75,7.0,1.33,3.25,2.5,1.5,1.03,15.0,1.22,4.0,1.7,2.1,2.1,1.67
13,JAPAN - J1 LEAGUE,2025-04-19,07:00,Albirex Niigata,Kyoto, ROUND 11,2.55,2.9,3.0,1.44,2.63,3.25,1.33,1.07,9.0,1.33,3.25,2.15,1.67,1.8,1.95
14,JAPAN - J2 LEAGUE,2025-04-19,07:00,Kofu,V-Varen Nagasaki, ROUND 10,3.5,3.4,2.05,1.4,2.75,2.75,1.4,1.05,11.0,1.25,3.75,1.93,1.93,1.73,2.0
15,JAPAN - J2 LEAGUE,2025-04-19,07:00,Montedio Yamagata,Ehime, ROUND 10,1.67,3.9,4.5,1.36,3.0,2.75,1.4,1.04,13.0,1.25,3.75,1.88,1.98,1.83,1.83
16,JAPAN - J2 LEAGUE,2025-04-19,07:00,Sagan Tosu,Renofa Yamaguchi, ROUND 10,2.35,3.0,3.25,1.57,2.25,3.75,1.25,1.1,7.0,1.44,2.63,2.4,1.53,2.1,1.67
17,SOUTH KOREA - K LEAGUE 1,2025-04-19,07:00,Ulsan HD,Gangwon, ROUND 9,1.67,3.6,5.5,1.44,2.63,3.4,1.3,1.07,9.0,1.36,3.0,2.15,1.67,2.1,1.67
18,SOUTH KOREA - K LEAGUE 2,2025-04-19,07:00,Incheon,Cheonan City, ROUND 8,1.42,4.33,6.25,1.33,3.25,2.63,1.44,1.04,13.0,1.22,4.0,1.75,2.05,1.91,1.8
19,SOUTH KOREA - K LEAGUE 2,2025-04-19,07:00,Seoul E-Land,Cheongju, ROUND 8,1.57,3.6,5.0,1.4,2.75,3.0,1.36,1.05,11.0,1.29,3.5,1.95,1.85,1.91,1.8
20,AUSTRALIA - A-LEAGUE,2025-04-19,09:00,Melbourne Victory,Auckland FC, ROUND 27,2.3,3.5,3.0,1.33,3.25,2.5,1.5,1.04,13.0,1.22,4.33,1.73,2.1,1.57,2.25
21,SOUTH KOREA - K LEAGUE 1,2025-04-19,09:30,Anyang,Suwon FC, ROUND 9,2.45,3.3,2.8,1.44,2.63,3.25,1.33,1.06,10.0,1.33,3.25,2.1,1.7,1.83,1.83
22,SOUTH KOREA - K LEAGUE 1,2025-04-19,09:30,Gimcheon Sangmu,Daejeon, ROUND 9,1.91,3.25,4.2,1.4,2.75,2.75,1.4,1.05,11.0,1.29,3.5,1.95,1.9,1.73,2.0
23,SOUTH KOREA - K LEAGUE 2,2025-04-19,09:30,Seongnam,Bucheon FC 1995, ROUND 8,3.0,3.2,2.2,1.44,2.63,3.25,1.33,1.06,10.0,1.33,3.25,2.1,1.7,1.83,1.83
24,SOUTH KOREA - K LEAGUE 2,2025-04-19,09:30,Suwon Bluewings,Hwaseong, ROUND 8,1.45,4.1,5.75,1.36,3.0,2.63,1.44,1.04,12.0,1.25,3.75,1.8,2.0,1.91,1.8
25,AUSTRALIA - A-LEAGUE,2025-04-19,11:35,WS Wanderers,Melbourne City, ROUND 27,2.63,3.6,2.5,1.29,3.5,2.38,1.53,1.03,15.0,1.17,5.0,1.57,2.38,1.5,2.5
