,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,ENGLAND - LEAGUE TWO,2025-04-08,20:45,Chesterfield,Gillingham, ROUND 25,1.68,3.6,4.5,1.44,2.63,3.25,1.33,1.06,10.0,1.33,3.25,2.1,1.7,1.91,1.8
2,BRAZIL - SERIE B,2025-04-08,00:00,Atletico GO,Athletic Club, ROUND 1,1.83,3.3,4.75,1.5,2.5,3.4,1.3,1.07,9.0,1.36,3.0,2.2,1.65,2.0,1.73
3,ARGENTINA - TORNEO BETANO,2025-04-08,02:00,Atl. Tucuman,Instituto, APERTURA,2.55,2.9,3.0,1.62,2.2,4.0,1.22,1.11,6.5,1.53,2.38,2.7,1.44,2.2,1.62
4,ARGENTINA - TORNEO BETANO,2025-04-08,02:00,Tigre,Newells Old Boys, APERTURA,2.0,3.2,4.33,1.57,2.25,3.75,1.25,1.11,6.5,1.5,2.5,2.6,1.48,2.2,1.62
5,COLOMBIA - PRIMERA B,2025-04-08,02:00,Bogota,Jaguares de Cordoba, APERTURA,3.8,3.4,1.77,1.35,2.8,2.8,1.38,1.03,9.0,1.29,3.2,1.9,1.77,1.85,1.85
6,TURKEY - 1. LIG,2025-04-08,13:00,Keciorengucu,Sanliurfaspor, ROUND 33,1.8,3.5,4.0,1.4,2.75,2.75,1.4,1.05,11.0,1.29,3.5,1.9,1.9,1.77,1.87
7,MALAYSIA - SUPER LEAGUE,2025-04-08,13:15,Sabah,PDRM FC, ROUND 24,1.36,4.33,6.5,1.25,3.6,2.2,1.62,1.01,1.01,1.13,5.0,1.5,2.5,1.73,2.0
8,MALAYSIA - SUPER LEAGUE,2025-04-08,15:00,Sri Pahang,Kedah, ROUND 24,1.22,4.5,13.0,1.44,2.63,3.0,1.33,1.05,8.0,1.36,2.88,2.1,1.67,2.88,1.36
9,TURKEY - 1. LIG,2025-04-08,16:00,Igdir FK,Istanbulspor AS, ROUND 33,2.2,3.25,3.0,1.4,2.75,2.75,1.4,1.06,10.0,1.29,3.5,1.93,1.88,1.69,2.0
10,ESTONIA - MEISTRILIIGA,2025-04-08,16:30,Narva,Tallinna Kalev, ROUND 6,1.36,4.5,6.5,1.25,3.7,2.05,1.67,1.01,1.01,1.13,5.25,1.45,2.5,1.65,2.1
11,ESTONIA - MEISTRILIIGA,2025-04-08,17:00,Levadia,Kuressaare, ROUND 6,1.09,7.5,17.0,1.22,3.9,1.8,1.85,1.01,1.01,1.08,6.5,1.33,3.0,2.2,1.6
12,ESTONIA - MEISTRILIIGA,2025-04-08,18:00,Tammeka,Flora, ROUND 6,5.5,4.33,1.44,1.29,3.4,2.2,1.57,1.01,1.01,1.17,4.2,1.57,2.2,1.67,2.1
13,LATVIA - VIRSLIGA,2025-04-08,18:00,Riga FC,Metta, ROUND 6,1.07,9.0,19.0,1.15,4.75,1.8,1.91,1.01,1.01,1.06,7.5,1.29,3.4,2.25,1.57
14,SLOVENIA - PRVA LIGA,2025-04-08,18:00,Radomlje,Nafta, ROUND 29,2.55,3.1,2.55,1.44,2.6,3.0,1.33,1.06,6.5,1.35,2.85,2.05,1.65,1.8,1.91
15,GERMANY - 3. LIGA,2025-04-08,19:00,Arminia Bielefeld,Wehen, ROUND 32,1.7,3.7,4.33,1.36,3.0,2.75,1.4,1.05,11.0,1.25,3.75,1.85,2.0,1.8,1.91
16,GERMANY - 3. LIGA,2025-04-08,19:00,Hannover II,Alemannia Aachen, ROUND 32,3.6,3.4,1.95,1.4,2.75,2.75,1.4,1.05,11.0,1.29,3.5,1.93,1.93,1.73,2.0
17,GERMANY - 3. LIGA,2025-04-08,19:00,Mannheim,Unterhaching, ROUND 32,1.48,4.33,5.25,1.33,3.25,2.63,1.44,1.03,15.0,1.22,4.0,1.7,2.1,1.83,1.83
18,GERMANY - 3. LIGA,2025-04-08,19:00,Saarbrucken,Aue, ROUND 32,1.8,3.5,4.0,1.36,3.0,2.75,1.4,1.05,11.0,1.25,3.75,1.88,1.98,1.73,2.0
19,GERMANY - 3. LIGA,2025-04-08,19:00,Stuttgart II,Viktoria Koln, ROUND 32,2.45,3.3,2.6,1.36,3.0,2.75,1.4,1.05,11.0,1.25,3.75,1.85,2.0,1.63,2.1
20,SWEDEN - SUPERETTAN,2025-04-08,19:00,Vasteras SK,Orgryte, ROUND 2,1.6,4.0,5.25,1.33,3.25,2.63,1.44,1.04,13.0,1.22,4.0,1.67,2.1,1.72,2.0
21,TURKEY - 1. LIG,2025-04-08,19:00,Manisa FK,Amedspor, ROUND 33,3.1,3.3,2.15,1.4,2.75,3.0,1.36,1.06,10.0,1.29,3.5,1.95,1.85,1.69,2.0
22,ENGLAND - CHAMPIONSHIP,2025-04-08,20:45,Blackburn,Sheffield Wed, ROUND 41,2.63,3.25,2.63,1.44,2.63,3.4,1.3,1.07,9.0,1.36,3.2,2.2,1.67,1.83,1.83
23,ENGLAND - CHAMPIONSHIP,2025-04-08,20:45,Bristol City,West Brom, ROUND 41,2.2,3.4,3.2,1.44,2.63,3.25,1.33,1.07,9.0,1.36,3.2,2.1,1.73,1.83,1.83
24,ENGLAND - CHAMPIONSHIP,2025-04-08,20:45,Derby,Burnley, ROUND 41,4.1,3.4,1.9,1.57,2.25,3.75,1.25,1.11,6.5,1.57,2.38,2.75,1.44,2.38,1.53
25,ENGLAND - CHAMPIONSHIP,2025-04-08,20:45,Norwich,Sunderland, ROUND 41,2.55,3.4,2.6,1.4,2.75,2.75,1.4,1.05,11.0,1.29,3.75,1.93,1.93,1.67,2.1
26,ENGLAND - CHAMPIONSHIP,2025-04-08,20:45,Preston,Cardiff, ROUND 41,2.25,3.4,3.0,1.53,2.38,3.5,1.29,1.08,8.0,1.44,2.75,2.3,1.62,2.0,1.73
27,ENGLAND - CHAMPIONSHIP,2025-04-08,20:45,Sheffield Utd,Millwall, ROUND 41,1.67,3.6,5.25,1.47,2.5,3.5,1.25,1.08,8.0,1.5,2.63,2.38,1.57,2.25,1.57
28,ENGLAND - CHAMPIONSHIP,2025-04-08,20:45,Stoke,Luton, ROUND 41,2.38,3.3,2.9,1.47,2.5,3.4,1.27,1.08,8.0,1.4,3.0,2.2,1.67,1.91,1.8
29,ENGLAND - CHAMPIONSHIP,2025-04-08,20:45,Watford,Hull, ROUND 41,2.3,3.4,3.1,1.41,2.62,3.25,1.3,1.07,9.0,1.36,3.2,2.1,1.73,1.83,1.83
30,ENGLAND - LEAGUE ONE,2025-04-08,20:45,Bolton,Rotherham, ROUND 38,1.75,3.8,4.2,1.36,3.0,2.75,1.4,1.04,12.0,1.25,3.75,1.85,2.0,1.8,1.95
31,ENGLAND - LEAGUE ONE,2025-04-08,20:45,Exeter,Wigan, ROUND 31,2.7,3.2,2.6,1.53,2.38,3.5,1.29,1.08,8.0,1.44,2.63,2.4,1.53,2.0,1.75
32,ENGLAND - LEAGUE ONE,2025-04-08,20:45,Huddersfield,Wycombe, ROUND 38,2.7,3.2,2.6,1.5,2.5,3.4,1.3,1.08,8.0,1.4,2.75,2.25,1.62,1.95,1.8
33,ENGLAND - LEAGUE ONE,2025-04-08,20:45,Mansfield,Leyton Orient, ROUND 38,2.35,3.4,2.7,1.44,2.63,3.25,1.33,1.06,10.0,1.33,3.25,2.05,1.75,1.8,1.95
34,ENGLAND - LEAGUE ONE,2025-04-08,20:45,Peterborough,Birmingham, ROUND 31,4.33,4.1,1.62,1.33,3.25,2.5,1.5,1.03,15.0,1.2,4.33,1.67,2.15,1.7,2.05
35,ENGLAND - LEAGUE ONE,2025-04-08,20:45,Shrewsbury,Reading, ROUND 38,3.5,3.3,2.05,1.44,2.63,3.25,1.33,1.06,10.0,1.33,3.25,2.05,1.75,1.8,1.95
36,ENGLAND - NATIONAL LEAGUE,2025-04-08,20:45,Aldershot,Boston Utd, ROUND 41,2.1,3.4,3.25,1.4,2.75,2.75,1.4,1.05,11.0,1.29,3.5,1.9,1.9,1.75,2.0
37,ENGLAND - NATIONAL LEAGUE,2025-04-08,20:45,Oldham,Woking, ROUND 41,1.83,3.3,4.33,1.53,2.38,3.5,1.29,1.1,7.0,1.44,2.63,2.4,1.53,2.2,1.62
38,ENGLAND - NATIONAL LEAGUE,2025-04-08,20:45,Sutton,Rochdale, ROUND 35,2.63,3.4,2.4,1.4,2.75,2.75,1.4,1.05,11.0,1.29,3.5,1.9,1.9,1.7,2.05
39,EUROPE - CHAMPIONS LEAGUE,2025-04-08,21:00,Arsenal,Real Madrid, PLAY OFFS,2.25,3.3,3.3,1.44,2.63,3.25,1.33,1.07,9.0,1.36,3.2,2.1,1.73,1.91,1.91
40,EUROPE - CHAMPIONS LEAGUE,2025-04-08,21:00,Bayern Munich,Inter, PLAY OFFS,1.91,3.6,3.8,1.4,2.75,2.75,1.4,1.05,11.0,1.3,3.5,2.0,1.9,1.8,1.95
41,ENGLAND - CHAMPIONSHIP,2025-04-08,21:00,Middlesbrough,Leeds, ROUND 41,4.1,3.7,1.8,1.36,3.0,2.75,1.4,1.05,11.0,1.25,4.0,1.85,2.0,1.73,2.0
