,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,COLOMBIA - PRIMERA A,2025-03-20,00:30,Santa Fe,Bucaramanga,APERTURA ,1.8,3.1,5.0,1.57,2.25,3.75,1.25,1.1,7.0,1.5,2.5,2.5,1.5,2.25,1.57
2,COLOMBIA - PRIMERA A,2025-03-20,02:30,Atl. Nacional,Deportes Tolima,APERTURA ,1.62,3.9,5.5,1.44,2.63,3.25,1.33,1.07,8.5,1.36,3.0,2.15,1.67,2.2,1.62
3,WORLD - WORLD CHAMPIONSHIP,2025-03-20,10:10,Australia,Indonesia,QUALIFICATION ,1.53,4.0,6.5,1.4,2.75,2.75,1.4,1.05,11.0,1.29,3.5,1.98,1.88,2.0,1.75
4,WORLD - WORLD CHAMPIONSHIP,2025-03-20,11:35,Japan,Bahrain,QUALIFICATION ,1.09,11.0,21.0,1.22,4.0,2.1,1.67,1.02,21.0,1.13,6.0,1.41,2.7,2.75,1.4
5,WORLD - WORLD CHAMPIONSHIP,2025-03-20,12:00,South Korea,Oman,QUALIFICATION ,1.2,6.0,19.0,1.33,3.25,2.5,1.5,1.03,15.0,1.2,4.33,1.63,2.15,2.63,1.44
6,WORLD - WORLD CHAMPIONSHIP,2025-03-20,14:00,Mozambique,Uganda,QUALIFICATION ,2.7,2.9,2.9,1.62,2.2,4.0,1.22,1.13,6.0,1.57,2.25,2.88,1.4,2.2,1.62
7,WORLD - WORLD CHAMPIONSHIP,2025-03-20,17:00,Cape Verde,Mauritius,QUALIFICATION ,1.2,6.0,21.0,1.4,2.75,3.0,1.36,1.05,11.0,1.3,3.4,1.97,1.77,3.5,1.29
8,WORLD - WORLD CHAMPIONSHIP,2025-03-20,17:00,Malawi,Namibia,QUALIFICATION ,2.88,2.7,3.0,1.62,2.2,4.0,1.22,1.13,6.0,1.53,2.38,2.7,1.44,2.1,1.67
9,WORLD - WORLD CHAMPIONSHIP,2025-03-20,17:00,Sierra Leone,Guinea Bissau,QUALIFICATION ,3.5,3.0,2.3,1.57,2.25,3.75,1.25,1.1,7.0,1.5,2.5,2.6,1.48,2.1,1.67
10,WORLD - WORLD CHAMPIONSHIP,2025-03-20,17:00,Zimbabwe,Benin,QUALIFICATION ,3.2,3.0,2.45,1.62,2.2,4.0,1.22,1.13,6.0,1.53,2.38,2.7,1.44,2.2,1.62
11,WORLD - WORLD CHAMPIONSHIP,2025-03-20,17:00,Iran,United Arab Emirates,QUALIFICATION ,1.5,4.0,7.0,1.36,3.0,2.75,1.4,1.05,11.0,1.25,3.75,1.88,1.98,1.95,1.8
12,WORLD - WORLD CHAMPIONSHIP,2025-03-20,17:00,Uzbekistan,Kyrgyzstan,QUALIFICATION ,1.2,6.5,15.0,1.3,3.4,2.5,1.5,1.04,12.0,1.2,4.33,1.63,2.15,2.63,1.44
13,EUROPE - UEFA NATIONS LEAGUE,2025-03-20,18:00,Armenia,Georgia,LEAGUE B/C ,3.8,3.4,2.0,1.44,2.63,3.25,1.33,1.07,9.0,1.36,3.2,2.1,1.73,1.83,1.83
14,EUROPE - UEFA NATIONS LEAGUE,2025-03-20,18:00,Turkey,Hungary,LEAGUE A/B ,1.72,3.4,5.0,1.4,2.75,3.0,1.36,1.06,9.5,1.3,3.5,2.06,1.84,1.83,1.83
15,WORLD - WORLD CHAMPIONSHIP,2025-03-20,19:15,Iraq,Kuwait,QUALIFICATION ,1.3,4.75,12.0,1.4,2.75,2.75,1.4,1.05,11.0,1.29,3.5,1.98,1.88,2.38,1.53
16,WORLD - WORLD CHAMPIONSHIP,2025-03-20,19:15,Jordan,Palestine,QUALIFICATION ,1.53,3.6,8.0,1.5,2.5,3.4,1.3,1.08,8.0,1.4,2.75,2.25,1.58,2.25,1.57
17,WORLD - WORLD CHAMPIONSHIP,2025-03-20,19:15,Qatar,North Korea,QUALIFICATION ,1.55,3.75,7.0,1.4,2.75,3.0,1.36,1.06,10.0,1.3,3.4,2.03,1.83,2.05,1.7
18,WORLD - WORLD CHAMPIONSHIP,2025-03-20,19:15,Saudi Arabia,China,QUALIFICATION ,1.41,4.2,8.0,1.36,3.0,2.75,1.4,1.05,11.0,1.25,3.75,1.88,1.98,2.0,1.75
19,WORLD - WORLD CHAMPIONSHIP,2025-03-20,20:00,Gabon,Seychelles,QUALIFICATION ,1.02,19.0,51.0,1.11,6.5,1.57,2.25,1.01,23.0,1.04,13.0,1.13,5.0,4.0,1.22
20,WORLD - WORLD CHAMPIONSHIP,2025-03-20,20:00,Gambia,Kenya,QUALIFICATION ,2.55,3.0,3.1,1.67,2.1,4.33,1.2,1.14,5.5,1.57,2.25,2.87,1.37,2.25,1.57
21,WORLD - WORLD CHAMPIONSHIP,2025-03-20,20:00,Libya,Angola,QUALIFICATION ,2.8,2.88,2.9,1.67,2.1,4.0,1.22,1.13,6.0,1.57,2.25,2.87,1.37,2.25,1.57
22,EUROPE - UEFA NATIONS LEAGUE,2025-03-20,20:45,Croatia,France,LEAGUE A ,3.6,3.3,2.1,1.4,2.75,3.0,1.36,1.06,10.0,1.3,3.5,2.04,1.86,1.8,1.91
23,EUROPE - UEFA NATIONS LEAGUE,2025-03-20,20:45,Denmark,Portugal,LEAGUE A ,3.6,3.3,2.15,1.4,2.75,3.0,1.36,1.06,10.0,1.3,3.5,2.02,1.88,1.73,2.0
24,EUROPE - UEFA NATIONS LEAGUE,2025-03-20,20:45,Italy,Germany,LEAGUE A ,2.7,3.2,2.7,1.44,2.63,3.25,1.33,1.07,9.0,1.36,3.2,2.1,1.73,1.8,1.91
25,EUROPE - UEFA NATIONS LEAGUE,2025-03-20,20:45,Netherlands,Spain,LEAGUE A ,3.1,3.25,2.37,1.4,2.75,3.0,1.36,1.06,10.0,1.3,3.5,2.03,1.87,1.73,2.0
26,EUROPE - UEFA NATIONS LEAGUE,2025-03-20,20:45,Austria,Serbia,LEAGUE A/B ,1.72,3.4,5.0,1.44,2.63,3.25,1.33,1.07,9.0,1.33,3.4,2.1,1.73,1.91,1.8
27,EUROPE - UEFA NATIONS LEAGUE,2025-03-20,20:45,Bulgaria,Ireland,LEAGUE B/C ,3.4,3.0,2.3,1.57,2.25,3.75,1.25,1.11,6.5,1.53,2.5,2.63,1.5,2.1,1.67
28,EUROPE - UEFA NATIONS LEAGUE,2025-03-20,20:45,Greece,Scotland,LEAGUE A/B ,2.0,3.3,3.9,1.5,2.5,3.4,1.3,1.08,8.0,1.4,3.0,2.3,1.62,2.0,1.73
29,EUROPE - UEFA NATIONS LEAGUE,2025-03-20,20:45,Kosovo,Iceland,LEAGUE B/C ,2.05,3.3,3.5,1.44,2.63,3.4,1.3,1.07,9.0,1.36,3.2,2.2,1.67,1.91,1.8
30,EUROPE - UEFA NATIONS LEAGUE,2025-03-20,20:45,Slovakia,Slovenia,LEAGUE B/C ,2.15,3.25,3.4,1.5,2.5,3.4,1.3,1.08,8.0,1.4,3.0,2.3,1.62,1.91,1.8
31,EUROPE - UEFA NATIONS LEAGUE,2025-03-20,20:45,Ukraine,Belgium,LEAGUE A/B ,4.75,3.5,1.8,1.4,2.75,3.0,1.36,1.06,10.0,1.3,3.5,2.01,1.89,1.8,1.91
32,URUGUAY - LIGA AUF URUGUAYA,2025-03-20,21:00,Montevideo City,Juventud,APERTURA ,1.91,3.4,3.6,1.5,2.5,3.4,1.3,1.07,9.0,1.4,2.75,2.2,1.65,2.0,1.73
33,WORLD - WORLD CHAMPIONSHIP,2025-03-20,22:00,Comoros,Mali,QUALIFICATION ,7.0,3.4,1.65,1.57,2.25,3.75,1.25,1.11,6.5,1.5,2.5,2.5,1.47,2.5,1.5
