,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,SOUTH AMERICA - COPA LIBERTADORES,2025-03-13,01:30,Corinthians (Bra),Barcelona SC (Ecu),QUALIFICATION ,1.36,4.33,8.5,1.29,3.5,2.25,1.57,1.03,15.0,1.14,5.5,1.53,2.4,1.8,1.91
2,EUROPE - EUROPA LEAGUE,2025-03-13,18:45,Ath Bilbao,AS Roma,PLAY OFFS ,1.9,3.6,4.0,1.44,2.63,3.0,1.36,1.06,10.0,1.36,3.2,2.0,1.8,1.91,1.91
3,EUROPE - EUROPA LEAGUE,2025-03-13,18:45,Eintracht Frankfurt,Ajax,PLAY OFFS ,1.91,3.8,3.8,1.33,3.25,2.63,1.44,1.04,13.0,1.22,4.33,1.73,2.1,1.62,2.2
4,EUROPE - EUROPA LEAGUE,2025-03-13,18:45,Lazio,Plzen,PLAY OFFS ,1.38,5.0,8.0,1.33,3.25,2.63,1.44,1.04,13.0,1.25,4.0,1.73,2.1,2.0,1.75
5,EUROPE - EUROPA LEAGUE,2025-03-13,18:45,Olympiacos Piraeus,Bodo/Glimt,PLAY OFFS ,1.55,4.33,5.75,1.33,3.25,2.63,1.44,1.04,13.0,1.22,4.33,1.73,2.1,1.8,1.95
6,EUROPE - CONFERENCE LEAGUE,2025-03-13,18:45,Cercle Brugge KSV,Jagiellonia,PLAY OFFS ,2.05,3.5,3.4,1.37,2.75,2.75,1.37,1.05,11.0,1.25,3.75,1.88,1.98,1.73,2.0
7,EUROPE - CONFERENCE LEAGUE,2025-03-13,18:45,Djurgarden,Pafos,PLAY OFFS ,2.45,3.6,2.63,1.37,2.75,2.75,1.37,1.04,13.0,1.29,3.5,1.88,1.98,1.67,2.1
8,EUROPE - CONFERENCE LEAGUE,2025-03-13,18:45,Lugano,Celje,PLAY OFFS ,1.67,4.0,4.75,1.3,3.25,2.5,1.47,1.03,15.0,1.22,4.0,1.67,2.15,1.67,2.1
9,EUROPE - CONFERENCE LEAGUE,2025-03-13,18:45,SK Rapid,Borac Banja Luka,PLAY OFFS ,1.42,4.5,7.5,1.33,3.0,2.75,1.37,1.05,11.0,1.25,3.75,1.88,1.98,2.1,1.67
10,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,2025-03-13,20:00,Al Fateh,Al Raed,ROUND 25,1.67,3.9,4.75,1.33,3.25,2.63,1.44,1.04,9.0,1.2,4.33,1.67,2.15,1.73,2.0
11,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,2025-03-13,20:00,Al Ittihad,Al Riyadh,ROUND 25,1.33,5.5,7.5,1.22,4.0,2.1,1.67,1.02,12.0,1.13,5.5,1.44,2.63,1.73,2.0
12,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,2025-03-13,20:00,Al Shabab,Al Orubah,ROUND 25,1.3,5.75,8.5,1.25,3.75,2.2,1.62,1.02,11.0,1.14,5.0,1.5,2.5,1.83,1.83
13,EUROPE - EUROPA LEAGUE,2025-03-13,21:00,Lyon,FCSB,PLAY OFFS ,1.27,6.0,11.0,1.33,3.25,2.5,1.5,1.04,13.0,1.22,4.33,1.73,2.1,2.25,1.57
14,EUROPE - EUROPA LEAGUE,2025-03-13,21:00,Manchester Utd,Real Sociedad,PLAY OFFS ,1.85,3.3,4.75,1.5,2.5,3.4,1.3,1.08,8.0,1.4,3.0,2.2,1.67,2.0,1.75
15,EUROPE - EUROPA LEAGUE,2025-03-13,21:00,Rangers,Fenerbahce,PLAY OFFS ,2.6,3.75,2.5,1.3,3.25,2.5,1.47,1.04,13.0,1.2,4.5,1.67,2.2,1.57,2.25
16,EUROPE - EUROPA LEAGUE,2025-03-13,21:00,Tottenham,AZ Alkmaar,PLAY OFFS ,1.42,4.75,6.5,1.27,3.4,2.5,1.47,1.03,15.0,1.2,4.5,1.62,2.3,1.8,1.95
17,EUROPE - CONFERENCE LEAGUE,2025-03-13,21:00,Chelsea,FC Copenhagen,PLAY OFFS ,1.38,4.75,7.5,1.27,3.4,2.37,1.5,1.03,15.0,1.18,4.5,1.62,2.25,1.83,1.83
18,EUROPE - CONFERENCE LEAGUE,2025-03-13,21:00,Fiorentina,Panathinaikos,PLAY OFFS ,1.53,4.0,6.5,1.37,2.75,3.0,1.33,1.05,11.0,1.3,3.4,2.0,1.85,1.91,1.8
19,EUROPE - CONFERENCE LEAGUE,2025-03-13,21:00,Legia,Molde,PLAY OFFS ,1.83,3.7,4.0,1.3,3.25,2.62,1.41,1.04,13.0,1.22,4.0,1.73,2.08,1.62,2.2
20,EUROPE - CONFERENCE LEAGUE,2025-03-13,21:00,Vitoria Guimaraes,Betis,PLAY OFFS ,3.1,3.1,2.38,1.44,2.63,3.25,1.33,1.07,9.0,1.33,3.25,2.08,1.73,1.8,1.91
21,ENGLAND - LEAGUE TWO,2025-03-13,21:00,Bromley,Walsall,ROUND 37,3.6,3.4,2.0,1.4,2.75,3.0,1.36,1.05,11.0,1.3,3.4,2.03,1.83,1.8,1.91
