,League,Date,Time,Round,Home,Away,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_BTTS_Yes,HT_Odd_BTTS_No,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Lay_Home,FT_Odd_Lay_Draw,FT_Odd_Lay_Away,Pre_Match_Home_Expected_Goals,Pre_Match_Away_Expected_Goals,Pre_Match_Total_Expected_Goals,BTTS_First_Half_Potential,BTTS_Second_Half_Potential,BTTS_Potential,Pre_Match_Home_Points_per_Game,Pre_Match_Home_Overall_Points_per_Game,Pre_Match_Away_Points_per_Game,Pre_Match_Away_Overall_Points_per_Game
0,South America Copa Libertadores,2025-05-09,00:00:00,4,Talleres Córdoba,Libertad,2.4,2.0,6.0,1.53,2.38,3.5,1.29,11.0,1.05,0.0,0.0,1.68,3.18,4.75,1.1,6.5,1.48,2.6,2.37,1.48,2.25,1.57,2.05,1.25,1.15,1.95,1.27,3.22,0.0,0.0,17.0,0.0,0.0,2.0,2.0
1,South America Copa Libertadores,2025-05-09,00:00:00,4,Vélez Sarsfield,Olimpia,2.3,2.1,5.5,1.44,2.63,3.25,1.33,9.0,1.07,0.0,0.0,1.67,3.28,4.6,1.07,8.0,1.4,2.9,2.05,1.61,2.05,1.7,2.1,1.22,1.15,1.82,2.34,4.16,0.0,100.0,50.0,2.0,2.0,0.33,0.33
63,Jamaica Jamaica National Premier League,2025-05-09,01:00:00,0,Tivoli Gardens,Montego Bay United,3.1,2.06,3.3,1.38,2.72,2.8,1.36,6.5,1.08,0.0,0.0,2.5,3.3,2.6,1.03,9.0,1.29,3.3,1.91,1.8,1.75,1.93,1.48,1.25,1.25,1.38,1.59,2.97,26.0,11.0,50.0,1.49,1.49,1.92,1.92
2,South America Copa Libertadores,2025-05-09,02:30:00,4,Barcelona,River Plate,4.75,2.1,2.6,1.44,2.63,3.25,1.33,9.0,1.07,0.0,0.0,3.59,3.18,1.9,1.07,8.0,1.4,2.88,2.1,1.61,1.95,1.8,1.25,1.31,1.8,1.27,1.67,2.94,0.0,0.0,24.0,1.57,1.57,1.67,1.67
3,South America Copa Libertadores,2025-05-09,02:30:00,4,Atlético Nacional,Internacional,3.1,2.05,3.75,1.44,2.63,3.25,1.33,9.0,1.07,0.0,0.0,2.2,3.16,2.86,1.07,8.0,1.4,2.9,2.05,1.61,1.91,1.91,1.55,1.33,1.38,1.78,1.47,3.25,0.0,50.0,34.0,1.0,1.0,1.67,1.67
4,Brazil Serie B,2025-05-09,02:35:00,7,Atlético PR,Chapecoense,2.15,2.01,6.0,1.51,2.58,3.36,1.31,7.6,1.05,0.0,0.0,1.42,3.85,6.3,1.07,7.0,1.4,3.0,1.95,1.7,2.25,1.57,2.35,1.24,1.2,1.4,1.83,3.23,17.0,17.0,34.0,2.0,1.5,1.0,1.5
64,Jamaica Jamaica National Premier League,2025-05-09,03:30:00,0,Portmore United,Cavalier,2.93,2.1,3.6,1.36,2.8,2.85,1.36,6.5,1.08,0.0,0.0,2.2,3.25,2.8,1.03,9.0,1.29,3.14,1.91,1.8,1.75,1.88,1.51,1.25,1.26,1.29,1.55,2.84,11.0,10.0,49.0,1.64,1.64,1.74,1.74
5,South America Copa Libertadores,2025-05-09,04:00:00,4,Universitario,CSD Independiente del Valle,3.0,1.95,4.33,1.53,2.38,3.75,1.25,11.0,1.05,0.0,0.0,2.12,2.89,3.3,1.1,6.5,1.48,2.37,2.31,1.62,2.1,1.67,1.63,1.36,1.28,1.15,1.53,2.68,0.0,0.0,17.0,1.0,1.0,1.33,1.33
7,Australia New South Wales NPL,2025-05-09,11:30:00,14,St. George Saints,Western Sydney W. II,2.14,2.66,3.8,1.15,3.7,2.0,1.72,3.8,1.16,0.0,0.0,1.72,4.5,3.39,1.01,18.0,1.1,5.75,1.36,2.89,1.42,2.62,2.0,0.0,1.16,1.89,1.15,3.04,33.0,17.0,48.0,1.5,1.25,0.0,0.38
6,Australia New South Wales NPL,2025-05-09,11:30:00,14,Manly United,Rockdale City Suns,4.4,2.47,2.1,1.25,3.4,2.2,1.6,4.8,1.17,0.0,0.0,4.4,4.2,1.57,1.01,14.0,1.17,5.15,1.47,2.5,1.5,2.35,1.08,0.0,1.2,1.6,2.21,3.81,25.0,40.0,57.0,1.25,1.38,2.5,2.14
8,Australia A-League,2025-05-09,11:35:00,0,Western United,Adelaide United,2.25,2.5,3.6,1.2,3.95,2.0,1.83,4.0,1.2,0.0,0.0,1.74,4.2,3.8,1.01,17.5,1.09,6.0,1.34,3.09,1.4,2.9,2.01,1.23,1.25,1.67,1.64,3.31,27.0,39.0,73.0,1.81,1.81,1.46,1.46
9,Israel Liga Leumit,2025-05-09,15:00:00,6,Hapoel Ra'anana,Ironi Ramat HaSharon,2.11,2.6,3.9,1.23,3.75,2.05,1.7,4.2,1.18,0.0,0.0,1.54,4.3,4.9,1.01,16.0,1.12,5.45,1.55,2.3,1.44,2.45,2.15,1.15,1.21,1.26,1.5,2.76,23.0,20.0,53.0,1.14,1.14,1.14,1.14
10,Croatia Druga HNL,2025-05-09,15:50:00,30,Sesvete,Croatia Zmijavci,2.38,1.91,6.0,1.57,2.25,3.75,1.25,8.5,1.05,0.0,0.0,1.68,2.99,4.58,1.04,6.75,1.52,2.35,2.63,1.44,2.5,1.5,2.0,1.35,1.12,1.51,1.24,2.75,9.0,9.0,47.0,1.53,1.59,0.8,1.07
11,Egypt Egyptian Premier League,2025-05-09,16:00:00,5,Ceramica Cleopatra,Zamalek,4.39,2.05,2.65,1.42,2.44,2.9,1.36,7.0,1.05,0.0,0.0,3.6,3.3,1.87,1.05,6.8,1.33,2.88,2.15,1.72,1.8,1.95,1.22,1.33,1.35,1.56,1.48,3.04,21.0,31.0,53.0,1.5,1.5,1.85,1.85
12,Kazakhstan Kazakhstan Premier League,2025-05-09,16:00:00,20,Zhenys,Kairat,5.6,2.2,2.15,1.37,2.8,2.8,1.38,6.85,1.04,0.0,0.0,5.6,3.88,1.53,1.03,7.7,1.26,3.3,1.91,1.84,1.93,1.83,1.15,1.21,2.3,1.39,1.7,3.09,0.0,30.0,40.0,0.33,0.71,2.2,2.5
13,Bulgaria First League,2025-05-09,16:45:00,3,Arda,Ludogorets,4.0,2.0,2.85,1.44,2.6,3.1,1.33,6.8,1.06,0.0,0.0,2.99,3.2,2.12,1.03,7.75,1.35,2.9,2.1,1.65,1.9,1.81,1.34,1.31,1.28,1.36,1.73,3.09,20.0,33.0,45.0,1.72,1.72,2.5,2.5
14,Romania Liga I,2025-05-09,17:00:00,8,SCM Gloria Buzău,Unirea Slobozia,6.25,2.2,1.98,1.39,2.75,2.8,1.37,7.25,1.08,0.0,0.0,4.33,3.25,1.72,1.05,8.5,1.3,3.3,1.94,1.76,2.15,1.6,1.1,1.21,2.65,1.46,1.25,2.71,13.0,11.0,30.0,0.83,0.7,0.84,0.92
15,Croatia Druga HNL,2025-05-09,17:30:00,30,Cibalia,Rudeš,3.25,2.0,3.25,1.44,2.63,3.25,1.33,7.5,1.07,0.0,0.0,2.38,3.03,2.38,1.05,7.5,1.35,2.74,2.2,1.65,1.91,1.8,1.44,1.35,1.44,1.71,1.42,3.13,7.0,25.0,40.0,1.53,1.31,1.0,1.28
23,Austria 2. Liga,2025-05-09,18:00:00,28,Floridsdorfer AC,Horn,2.3,2.25,4.8,1.35,2.9,2.77,1.42,6.0,1.06,0.0,0.0,1.64,3.64,4.3,1.05,9.3,1.29,3.4,1.83,1.87,1.8,2.0,2.09,0.0,1.22,1.27,1.01,2.28,8.0,20.0,38.0,1.46,1.26,0.77,0.85
21,Poland Ekstraklasa,2025-05-09,18:00:00,32,Motor Lublin,Piast Gliwice,3.1,2.1,3.3,1.4,2.7,2.9,1.35,7.1,1.08,0.0,0.0,2.63,2.95,2.5,1.07,8.5,1.33,3.0,2.01,1.71,1.8,2.0,1.47,0.0,1.36,1.62,1.42,3.04,17.0,25.0,54.0,1.47,1.43,1.27,1.26
22,Estonia Meistriliiga,2025-05-09,18:00:00,12,Harju Jalgpallikool,Tallinna FC Flora,6.5,2.95,1.55,1.16,4.5,1.72,1.82,3.6,1.19,0.0,0.0,9.29,5.48,1.27,1.01,18.5,1.07,7.3,1.27,3.41,1.5,2.35,1.03,1.16,1.06,1.43,2.13,3.56,10.0,20.0,40.0,1.2,1.18,2.6,2.09
19,Austria 2. Liga,2025-05-09,18:00:00,28,Rapid Wien II,Liefering,2.8,2.3,3.1,1.25,3.4,2.23,1.61,4.8,1.15,0.0,0.0,2.26,3.61,2.5,1.01,13.0,1.17,4.85,1.61,2.1,1.48,2.5,1.6,0.0,1.22,1.77,1.38,3.15,16.0,16.0,32.0,1.69,1.37,1.58,1.42
16,Poland 1. Liga,2025-05-09,18:00:00,32,Stal Stalowa Wola,Znicz Pruszków,2.7,2.05,3.8,1.38,2.8,2.99,1.35,7.5,1.08,0.0,0.0,2.14,3.09,3.03,1.03,8.1,1.33,3.1,1.96,1.74,1.8,1.91,1.73,0.0,1.33,1.28,1.34,2.62,34.0,24.0,57.0,0.6,0.74,1.4,1.39
18,Austria 2. Liga,2025-05-09,18:00:00,28,St. Pölten,Schwarz-Weiß Bregenz,1.7,2.88,6.0,1.18,4.33,1.96,1.86,4.2,1.27,0.0,0.0,1.35,4.8,5.8,1.01,23.0,1.09,6.5,1.33,3.04,1.62,2.15,3.25,0.0,1.14,1.66,1.29,2.95,31.0,27.0,62.0,1.54,1.7,1.0,1.35
17,Austria 2. Liga,2025-05-09,18:00:00,28,Austria Lustenau,First Vienna,2.9,2.5,2.9,1.28,3.3,2.34,1.55,4.8,1.15,0.0,0.0,2.29,3.34,2.6,1.01,8.7,1.18,4.33,1.9,1.8,1.5,2.5,1.5,0.0,1.22,1.27,1.5,2.77,31.0,23.0,62.0,0.92,1.22,1.54,1.74
20,Croatia Prva HNL,2025-05-09,18:00:00,34,Osijek,Lokomotiva Zagreb,2.37,2.15,4.2,1.32,3.0,2.55,1.48,5.75,1.1,0.0,0.0,1.82,3.55,4.64,1.05,9.0,1.24,3.55,1.8,1.93,1.73,2.0,1.9,1.29,1.29,1.64,1.48,3.12,25.0,22.0,60.0,1.38,1.21,0.94,1.03
