,League,Date,Time,Round,Home,Away,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_BTTS_Yes,HT_Odd_BTTS_No,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Lay_Home,FT_Odd_Lay_Draw,FT_Odd_Lay_Away,Pre_Match_Home_Expected_Goals,Pre_Match_Away_Expected_Goals,Pre_Match_Total_Expected_Goals,BTTS_First_Half_Potential,BTTS_Second_Half_Potential,BTTS_Potential,Pre_Match_Home_Points_per_Game,Pre_Match_Home_Overall_Points_per_Game,Pre_Match_Away_Points_per_Game,Pre_Match_Away_Overall_Points_per_Game
0,Brazil Serie B,2025-07-24,00:00:00,0,Novorizontino,Goiás,3.25,1.75,4.2,1.7,2.15,4.45,1.15,11.0,1.01,0,0,2.46,2.72,3.73,1.18,6.1,1.76,2.14,3.35,1.34,2.4,1.53,1.57,1.39,1.44,1.86,1.39,3.25,29,18,53,2.33,1.82,2.0,2.12
1,Brazil Serie A,2025-07-24,00:00:00,0,Ceará,Mirassol,2.75,1.89,4.75,1.57,2.25,3.3,1.25,10.0,1.02,0,0,2.0,3.15,4.24,1.1,6.0,1.58,2.4,2.6,1.47,2.15,1.67,1.83,1.35,1.38,1.41,1.34,2.75,29,14,50,1.86,1.29,1.0,1.62
2,Brazil Serie A,2025-07-24,00:00:00,0,Fluminense,Palmeiras,3.75,1.85,3.4,1.5,2.19,3.82,1.19,10.0,1.02,0,0,2.8,3.05,2.75,1.13,5.65,1.62,2.25,2.8,1.4,2.25,1.57,1.4,1.34,1.42,2.07,1.52,3.59,17,17,67,2.17,1.54,2.5,2.0
3,Brazil Serie B,2025-07-24,00:00:00,0,Chapecoense,Volta Redonda,2.8,1.88,4.75,1.57,2.25,3.66,1.22,10.5,1.0,0,0,2.1,3.2,3.95,1.11,6.0,1.53,2.4,2.6,1.44,2.1,1.7,1.7,1.28,1.36,1.51,1.34,2.85,12,31,49,2.0,1.53,0.33,1.06
4,Brazil Serie A,2025-07-24,00:30:00,0,Corinthians,Cruzeiro,3.7,1.85,3.5,1.57,2.25,3.58,1.25,10.0,1.02,0,0,2.75,2.85,2.75,1.07,5.75,1.52,2.3,2.7,1.42,2.2,1.62,1.44,1.34,1.4,1.64,1.51,3.15,7,14,29,1.86,1.27,1.57,2.2
5,Brazil Serie A,2025-07-24,02:30:00,0,Santos,Internacional,3.1,2.0,3.6,1.53,2.59,3.28,1.29,10.0,1.03,0,0,2.55,3.0,2.95,1.1,7.0,1.44,2.6,2.4,1.53,2.05,1.73,1.51,1.32,1.36,1.67,1.32,2.99,7,17,45,1.33,1.0,0.57,1.21
6,Brazil Serie B,2025-07-24,02:30:00,0,Cuiabá,América Mineiro,3.02,1.86,4.11,1.5,2.4,3.45,1.29,8.5,1.04,0,0,2.2,3.0,3.5,1.11,6.25,1.5,2.45,2.55,1.5,2.19,1.66,1.62,1.33,1.38,1.7,1.66,3.36,19,13,38,2.0,1.47,0.75,1.18
7,Brazil Serie B,2025-07-24,02:30:00,0,Amazonas,Paysandu,3.0,1.91,3.86,1.55,2.3,3.6,1.25,9.0,1.03,0,0,2.25,2.87,3.1,1.09,6.0,1.5,2.4,2.44,1.48,2.1,1.65,1.57,1.38,1.4,1.46,1.21,2.67,17,11,33,1.67,1.0,1.0,1.06
8,Brazil Serie A,2025-07-24,02:30:00,0,Vitória,Sport Recife,2.86,1.97,4.15,1.57,2.25,3.58,1.25,10.5,1.02,0,0,2.36,2.88,3.6,1.08,5.75,1.57,2.25,2.62,1.42,2.25,1.57,1.62,1.32,1.38,1.49,1.48,2.97,0,22,50,1.57,1.0,0.14,0.23
9,Brazil Serie A,2025-07-24,02:30:00,0,Bragantino,Flamengo,4.5,2.07,2.63,1.45,2.4,3.18,1.3,7.9,1.04,0,0,4.0,3.25,1.98,1.07,7.0,1.42,2.62,2.3,1.57,2.03,1.7,1.24,1.34,1.33,1.63,1.6,3.23,21,15,36,1.75,1.8,1.67,2.14
