,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,SOUTH AMERICA - COPA LIBERTADORES,2025-03-14,01:30,Bahia (Bra),Boston River (Uru),QUALIFICATION ,1.2,6.25,12.0,1.3,3.4,2.5,1.5,1.03,15.0,1.22,4.0,1.7,2.1,2.5,1.5
2,AUSTRALIA - A-LEAGUE,2025-03-14,09:35,Adelaide United,Macarthur FC,ROUND 23,1.62,4.5,4.75,1.2,4.33,2.0,1.8,1.02,21.0,1.1,7.0,1.33,3.4,1.4,2.75
3,PARAGUAY - COPA DE PRIMERA,2025-03-14,13:00,2 de Mayo,General Caballero JLM,APERTURA ,2.2,3.0,3.5,1.57,2.25,3.75,1.25,1.1,7.0,1.44,2.63,2.4,1.53,2.1,1.67
4,TURKEY - 1. LIG,2025-03-14,14:00,Bandirmaspor,Adanaspor AS,ROUND 30,1.65,3.9,4.75,1.36,3.0,2.63,1.44,1.04,13.0,1.25,3.75,1.83,1.98,1.8,1.91
5,BULGARIA - PARVA LIGA,2025-03-14,14:15,Slavia Sofia,Beroe,ROUND 25,2.0,3.2,3.9,1.5,2.5,3.5,1.29,1.08,8.0,1.4,2.75,2.25,1.62,2.0,1.73
6,ROMANIA - SUPERLIGA,2025-03-14,16:00,Petrolul,FC Botosani,RELEGATION GROUP ,2.3,3.1,2.9,1.62,2.2,4.0,1.22,1.11,6.5,1.53,2.38,2.6,1.48,2.2,1.62
7,BULGARIA - PARVA LIGA,2025-03-14,16:45,Krumovgrad,Lok. Plovdiv,ROUND 25,3.1,3.1,2.38,1.57,2.25,3.75,1.25,1.1,7.0,1.5,2.5,2.5,1.5,2.1,1.67
8,CROATIA - HNL,2025-03-14,18:00,Gorica,Slaven Belupo,ROUND 26,2.7,3.25,2.4,1.44,2.63,3.4,1.3,1.07,9.0,1.4,2.75,2.2,1.65,1.83,1.83
9,HUNGARY - OTP BANK LIGA,2025-03-14,18:00,Gyor,Debrecen,ROUND 24,2.05,3.5,3.3,1.33,3.25,2.63,1.44,1.04,13.0,1.2,4.33,1.7,2.1,1.62,2.2
10,POLAND - EKSTRAKLASA,2025-03-14,18:00,Radomiak Radom,Lechia Gdansk,ROUND 25,1.95,3.4,3.8,1.36,3.0,2.63,1.44,1.04,12.0,1.25,3.75,1.83,2.03,1.67,2.1
11,GERMANY - 2. BUNDESLIGA,2025-03-14,18:30,Magdeburg,Hamburger SV,ROUND 26,2.5,3.6,2.6,1.25,3.75,2.2,1.62,1.03,17.0,1.14,5.5,1.5,2.5,1.44,2.63
12,GERMANY - 2. BUNDESLIGA,2025-03-14,18:30,Schalke,Hannover,ROUND 26,2.5,3.6,2.6,1.36,3.0,2.63,1.44,1.04,13.0,1.22,4.0,1.75,2.05,1.62,2.2
13,TURKEY - SUPER LIG,2025-03-14,18:30,Galatasaray,Antalyaspor,ROUND 28,1.25,6.0,9.0,1.22,4.0,2.0,1.73,1.02,21.0,1.11,6.5,1.4,2.88,1.8,1.91
14,TURKEY - 1. LIG,2025-03-14,18:30,Sanliurfaspor,Erokspor,ROUND 30,2.38,3.25,2.88,1.4,2.75,3.0,1.36,1.06,10.0,1.29,3.5,1.95,1.85,1.73,2.0
15,DENMARK - 1ST DIVISION,2025-03-14,19:00,Hillerod,B.93,ROUND 22,1.3,5.0,10.0,1.29,3.5,2.38,1.53,1.03,15.0,1.18,4.5,1.6,2.3,2.0,1.73
16,DENMARK - 1ST DIVISION,2025-03-14,19:00,Horsens,Esbjerg,ROUND 22,1.75,3.8,4.1,1.33,3.25,2.63,1.44,1.04,13.0,1.22,4.0,1.7,2.1,1.67,2.1
17,DENMARK - 1ST DIVISION,2025-03-14,19:00,Hvidovre IF,Odense,ROUND 22,3.1,3.25,2.3,1.44,2.63,3.25,1.33,1.07,9.0,1.3,3.4,2.05,1.75,1.8,1.91
18,DENMARK - 1ST DIVISION,2025-03-14,19:00,Koge,Roskilde,ROUND 22,2.45,3.3,2.8,1.4,2.75,3.0,1.36,1.05,11.0,1.29,3.5,1.93,1.93,1.73,2.0
19,DENMARK - 1ST DIVISION,2025-03-14,19:00,Kolding IF,Hobro,ROUND 22,1.67,3.5,5.5,1.4,2.75,3.0,1.36,1.07,9.0,1.3,3.4,2.03,1.83,1.91,1.8
20,DENMARK - 1ST DIVISION,2025-03-14,19:00,Vendsyssel,Fredericia,ROUND 22,3.75,3.6,1.9,1.33,3.25,2.5,1.5,1.03,15.0,1.2,4.33,1.67,2.15,1.62,2.2
21,GERMANY - 3. LIGA,2025-03-14,19:00,Saarbrucken,Stuttgart II,ROUND 29,1.67,4.0,4.5,1.33,3.25,2.63,1.44,1.04,13.0,1.22,4.0,1.75,2.05,1.73,2.0
22,ROMANIA - SUPERLIGA,2025-03-14,19:00,Univ. Craiova,U. Cluj,CHAMPIONSHIP GROUP ,1.8,3.6,3.9,1.5,2.5,3.4,1.3,1.07,8.5,1.4,2.75,2.2,1.65,2.1,1.67
23,PORTUGAL - LIGA PORTUGAL 2,2025-03-14,19:45,Portimonense,Feirense,ROUND 26,2.25,3.1,3.1,1.44,2.63,3.4,1.3,1.07,9.0,1.36,3.0,2.15,1.67,1.83,1.83
24,NETHERLANDS - EREDIVISIE,2025-03-14,20:00,Almere City,NAC Breda,ROUND 26,2.4,3.4,2.8,1.4,2.75,3.0,1.36,1.06,10.0,1.3,3.4,2.03,1.83,1.8,1.95
25,BELGIUM - CHALLENGER PRO LEAGUE,2025-03-14,20:00,Beveren,RWDM,ROUND 26,3.4,3.4,1.95,1.4,2.75,3.0,1.36,1.06,10.0,1.3,3.4,2.0,1.85,1.8,1.91
26,BELGIUM - CHALLENGER PRO LEAGUE,2025-03-14,20:00,Club Brugge KV U23,Genk U23,ROUND 26,1.85,3.5,3.6,1.29,3.5,2.38,1.53,1.03,15.0,1.17,5.0,1.57,2.35,1.53,2.38
27,BELGIUM - CHALLENGER PRO LEAGUE,2025-03-14,20:00,RAAL La Louviere,K. Lierse S.K.,ROUND 26,1.45,4.5,5.75,1.33,3.25,2.63,1.44,1.03,15.0,1.22,4.0,1.7,2.1,1.91,1.8
28,FRANCE - LIGUE 2,2025-03-14,20:00,AC Ajaccio,Red Star,ROUND 27,2.5,2.88,2.9,1.57,2.25,3.75,1.25,1.1,7.0,1.5,2.5,2.5,1.5,2.1,1.67
29,FRANCE - LIGUE 2,2025-03-14,20:00,Amiens,Caen,ROUND 27,2.88,3.2,2.35,1.44,2.63,3.25,1.33,1.06,10.0,1.33,3.25,2.08,1.73,1.83,1.83
30,FRANCE - LIGUE 2,2025-03-14,20:00,Annecy,Rodez,ROUND 27,2.55,3.4,2.45,1.36,3.0,2.75,1.4,1.04,13.0,1.25,3.75,1.85,2.0,1.67,2.1
31,FRANCE - LIGUE 2,2025-03-14,20:00,Clermont,Grenoble,ROUND 27,2.25,3.2,3.0,1.44,2.63,3.25,1.33,1.06,10.0,1.33,3.25,2.1,1.7,1.83,1.83
32,FRANCE - LIGUE 2,2025-03-14,20:00,Martigues,Pau FC,ROUND 27,3.4,3.25,2.05,1.4,2.75,2.75,1.4,1.05,11.0,1.25,3.75,1.93,1.93,1.73,2.0
