,Unnamed: 0,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,1,MTZPrgS6,2025-03-12,09:00,AUSTRALIA - A-LEAGUE,Melbourne City,Newcastle Jets,ROUND 14,1.62,4.2,5.0,1.27,3.4,1.03,15.0,1.2,4.5,1.62,2.3,1.67,2.1
2,2,KQAPYN4F,2025-03-12,13:30,INDONESIA - LIGA 1,Malut United,Persita,ROUND 27,1.44,4.0,6.5,1.38,2.8,1.03,9.0,1.3,3.2,1.95,1.75,2.1,1.65
3,3,ppf4pg9a,2025-03-12,14:00,SERBIA - SUPER LIGA,OFK Beograd,Zeleznicar Pancevo,ROUND 24,2.0,3.2,3.4,1.44,2.55,1.05,7.0,1.33,2.9,2.0,1.7,1.85,1.85
4,4,E5qQa5mf,2025-03-12,14:15,MALAYSIA - SUPER LEAGUE,Kuching City FC,Kedah,ROUND 19,1.4,4.2,6.0,1.33,2.95,1.02,10.0,1.25,3.6,1.73,1.95,1.95,1.75
5,5,Gh4YW1ZR,2025-03-12,14:30,INDONESIA - LIGA 1,Persebaya,PSIS Semarang,ROUND 27,1.48,4.0,5.75,1.33,3.0,1.02,10.0,1.25,3.6,1.75,1.95,1.91,1.8
6,6,Wp0yNDdU,2025-03-12,15:00,INDIA - ISL,Hyderabad,Kerala Blasters,ROUND 26,4.0,3.8,1.73,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,1.62,2.2
7,7,SA4p2GkJ,2025-03-12,15:00,SLOVENIA - PRVA LIGA,Primorje,Maribor,ROUND 25,5.0,3.75,1.55,1.4,2.75,1.04,7.5,1.29,3.2,1.85,1.8,1.91,1.8
8,8,YVeJjE04,2025-03-12,17:00,LATVIA - VIRSLIGA,FK Liepaja,Tukums 2000,ROUND 2,1.36,4.33,6.5,1.29,3.4,1.02,9.0,1.17,4.2,1.57,2.2,1.8,1.88
9,9,n1dx4xL6,2025-03-12,17:30,SLOVENIA - PRVA LIGA,O. Ljubljana,Mura,ROUND 25,1.48,3.85,5.75,1.4,2.75,1.04,7.5,1.3,3.1,1.9,1.77,2.05,1.7
10,10,xbDea3zG,2025-03-12,18:00,CZECH REPUBLIC - CHANCE LIGA,Dukla Prague,Karvina,ROUND 21,3.0,3.3,2.35,1.37,2.75,1.05,11.0,1.25,3.75,1.93,1.93,1.7,2.05
11,11,tdaRlhVG,2025-03-12,18:00,LATVIA - VIRSLIGA,Super Nova,Metta,ROUND 2,2.1,3.3,3.0,1.36,2.8,1.04,7.5,1.25,3.3,1.85,1.8,1.72,1.98
12,12,Oz9o7RH7,2025-03-12,18:45,EUROPE - CHAMPIONS LEAGUE,Lille,Dortmund,PLAY OFFS ,2.63,3.4,2.63,1.4,2.75,1.05,11.0,1.29,3.75,1.91,1.91,1.7,2.05
13,13,hvVsbgm2,2025-03-12,19:00,GERMANY - 3. LIGA,Hansa Rostock,Aue,ROUND 28,1.95,3.1,4.0,1.36,3.0,1.06,10.0,1.25,3.75,1.88,1.98,1.67,2.1
14,14,vDMLhbBM,2025-03-12,19:00,GERMANY - 3. LIGA,Mannheim,Sandhausen,ROUND 28,1.95,3.6,3.4,1.36,3.0,1.04,13.0,1.22,4.0,1.75,2.05,1.67,2.1
15,15,hxz23lPs,2025-03-12,19:00,GERMANY - 3. LIGA,SG Dynamo Dresden,Dortmund II,ROUND 28,1.42,4.75,5.5,1.25,3.75,1.02,19.0,1.14,5.5,1.48,2.6,1.67,2.1
16,16,OpbhmxZq,2025-03-12,19:00,GERMANY - 3. LIGA,Viktoria Koln,RW Essen,ROUND 28,3.0,3.2,2.35,1.33,3.25,1.04,12.0,1.22,4.0,1.75,2.05,1.57,2.25
17,17,byITLdu9,2025-03-12,19:00,GERMANY - 3. LIGA,Wehen,Munich 1860,ROUND 28,2.15,3.4,3.0,1.4,2.75,1.05,11.0,1.29,3.5,1.95,1.85,1.73,2.0
18,18,M1TsUtPF,2025-03-12,20:30,EGYPT - PREMIER LEAGUE,Ghazl El Mahallah,ZED,RELEGATION GROUP ,3.3,2.7,2.25,1.6,2.15,1.13,5.25,1.55,2.25,2.7,1.4,2.25,1.57
19,19,M53Vl2rh,2025-03-12,20:30,EGYPT - PREMIER LEAGUE,Pharco,National Bank Egypt,CHAMPIONSHIP GROUP ,3.6,2.75,2.1,1.55,2.2,1.1,5.75,1.5,2.35,2.55,1.42,2.2,1.62
20,20,IXdvmtD4,2025-03-12,20:30,EGYPT - PREMIER LEAGUE,Pyramids,Al Masry,CHAMPIONSHIP GROUP ,1.62,3.3,5.0,1.42,2.55,1.05,8.0,1.35,2.85,2.15,1.6,2.05,1.7
21,21,OMNIEsgc,2025-03-12,20:45,ENGLAND - CHAMPIONSHIP,Hull,Oxford Utd,ROUND 37,1.7,3.6,5.0,1.44,2.63,1.07,9.0,1.36,3.2,2.2,1.67,2.0,1.73
22,22,AwMQCLN9,2025-03-12,20:45,ENGLAND - CHAMPIONSHIP,Leeds,Millwall,ROUND 37,1.3,5.0,9.5,1.4,2.75,1.05,11.0,1.3,3.5,1.98,1.88,2.5,1.5
23,23,EmEgEDsH,2025-03-12,20:45,ENGLAND - CHAMPIONSHIP,Portsmouth,Plymouth,ROUND 37,1.7,3.7,5.0,1.4,2.75,1.05,11.0,1.29,3.75,1.93,1.93,1.83,1.83
24,24,rPNt6POp,2025-03-12,20:45,ENGLAND - CHAMPIONSHIP,Watford,Swansea,ROUND 37,2.25,3.25,3.2,1.44,2.63,1.07,9.0,1.36,3.2,2.1,1.73,1.83,1.83
25,25,AwGUsNNc,2025-03-12,20:45,NORTHERN IRELAND - NIFL PREMIERSHIP,Cliftonville,Dungannon,ROUND 24,1.9,3.35,3.45,1.35,2.8,1.03,8.0,1.25,3.4,1.8,1.85,1.73,2.0
