,Unnamed: 0,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,1,0SWOeaZg,2025-02-01,00:00,VENEZUELA - LIGA FUTVE,Anzoategui FC,Rayo Zuliano,APERTURA ,2.15,3.0,3.1,1.57,2.25,1.1,6.5,1.5,2.45,2.45,1.5,2.15,1.65
2,2,QZ1b1ob2,2025-02-01,02:00,MEXICO - LIGA MX,Mazatlan FC,Club Leon,CLAUSURA ,2.6,3.1,2.88,1.5,2.5,1.07,9.0,1.36,3.0,2.1,1.7,1.91,1.91
3,3,8bRr9cH8,2025-02-01,04:05,MEXICO - LIGA MX,Club Tijuana,Cruz Azul,CLAUSURA ,3.2,3.5,2.2,1.36,3.0,1.04,13.0,1.25,3.75,1.85,2.0,1.67,2.1
4,4,SKqs94b2,2025-02-01,05:00,AUSTRALIA - A-LEAGUE,Auckland FC,Macarthur FC,ROUND 17,1.7,3.9,4.75,1.3,3.4,1.03,15.0,1.2,4.5,1.62,2.3,1.62,2.2
5,5,CfEeGCnn,2025-02-01,07:00,AUSTRALIA - A-LEAGUE,Sydney FC,Adelaide United,ROUND 17,2.25,4.0,2.75,1.2,4.33,1.02,21.0,1.1,7.0,1.36,3.2,1.33,3.25
6,6,jBn18iHM,2025-02-01,09:30,INDONESIA - LIGA 1,Madura United,Persis Solo,ROUND 21,2.15,3.2,2.9,1.36,2.9,1.02,10.0,1.28,3.3,1.85,1.83,1.73,2.0
7,7,KKH3EjHb,2025-02-01,09:35,AUSTRALIA - A-LEAGUE,Central Coast Mariners,Newcastle Jets,ROUND 17,2.1,3.5,3.4,1.33,3.25,1.05,11.0,1.25,4.0,1.8,2.0,1.62,2.2
8,8,4UlKAdI6,2025-02-01,11:30,TURKEY - SUPER LIG,Hatayspor,Antalyaspor,ROUND 22,2.2,3.3,3.0,1.36,3.0,1.04,13.0,1.25,3.75,1.83,2.03,1.67,2.1
9,9,dAYoVdJE,2025-02-01,11:30,TURKEY - 1. LIG,Erzurumspor,Kocaelispor,ROUND 22,2.5,3.0,2.8,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,2.0,1.73
10,10,tz6CCUoB,2025-02-01,11:45,AUSTRALIA - A-LEAGUE,Perth Glory,Melbourne Victory,ROUND 17,6.5,5.0,1.42,1.22,4.0,1.02,19.0,1.14,5.5,1.44,2.75,1.62,2.2
11,11,nwhldxyG,2025-02-01,12:00,PORTUGAL - LIGA PORTUGAL 2,Feirense,Felgueiras,ROUND 20,2.9,2.88,2.63,1.5,2.5,1.08,8.0,1.4,2.75,2.3,1.6,1.83,1.83
12,12,IoAkTZ0D,2025-02-01,12:30,INDIA - ISL,Punjab,Bengaluru FC,ROUND 20,2.1,3.6,2.88,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,1.5,2.5
13,13,xrmXPryJ,2025-02-01,12:30,THAILAND - THAI LEAGUE 1,Nong Bua Pitchaya,Pathum United,ROUND 20,3.6,3.6,1.8,1.3,3.2,1.01,11.0,1.2,4.0,1.65,2.1,1.61,2.15
14,14,l0uFVn7s,2025-02-01,12:30,THAILAND - THAI LEAGUE 1,Ratchaburi,Lamphun Warrior,ROUND 20,1.83,3.3,3.7,1.36,2.88,1.03,9.0,1.3,3.25,1.91,1.8,1.8,1.91
15,15,SUlh5Tkd,2025-02-01,13:00,GERMANY - 2. BUNDESLIGA,Braunschweig,FC Koln,ROUND 20,4.5,4.0,1.67,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.73,2.0
16,16,EqrxDKi5,2025-02-01,13:00,GERMANY - 2. BUNDESLIGA,Dusseldorf,Ulm,ROUND 20,1.7,3.8,4.75,1.36,3.0,1.04,13.0,1.22,4.0,1.8,2.0,1.73,2.0
17,17,SKovTWs3,2025-02-01,13:00,GERMANY - 2. BUNDESLIGA,Regensburg,Hertha Berlin,ROUND 20,4.33,3.75,1.8,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,1.67,2.1
18,18,zqOX2Vvp,2025-02-01,13:00,INDONESIA - LIGA 1,Persib Bandung,PSM Makassar,ROUND 21,1.7,3.5,4.2,1.38,2.8,1.03,9.0,1.28,3.3,1.85,1.83,1.85,1.85
19,19,pEgkFRM0,2025-02-01,13:00,THAILAND - THAI LEAGUE 1,Rayong FC,Uthai Thani,ROUND 20,2.3,3.3,2.62,1.33,3.0,1.02,10.0,1.25,3.5,1.8,1.91,1.67,2.1
20,20,bBUC6jLa,2025-02-01,13:15,WALES - CYMRU PREMIER,Penybont,Haverfordwest,CHAMPIONSHIP GROUP ,2.05,3.1,3.25,1.5,2.4,1.07,7.0,1.4,2.7,2.2,1.6,2.0,1.73
21,21,v9YLQH0n,2025-02-01,13:30,ENGLAND - PREMIER LEAGUE,Nottingham,Brighton,ROUND 24,2.45,3.4,2.88,1.4,2.75,1.05,11.0,1.29,3.75,1.95,1.95,1.7,2.05
22,22,QNJeYZVa,2025-02-01,13:30,CZECH REPUBLIC - CHANCE LIGA,Karvina,Teplice,ROUND 20,2.25,3.4,3.1,1.4,2.75,1.06,10.0,1.29,3.5,1.98,1.88,1.75,2.0
23,23,lEp1Jj6U,2025-02-01,13:30,ENGLAND - CHAMPIONSHIP,Oxford Utd,Bristol City,ROUND 30,3.1,3.3,2.25,1.5,2.5,1.08,8.0,1.4,3.0,2.2,1.67,1.91,1.8
24,24,SvGBwfin,2025-02-01,13:30,ENGLAND - CHAMPIONSHIP,Plymouth,West Brom,ROUND 30,5.0,3.75,1.67,1.36,3.0,1.05,11.0,1.29,3.75,1.9,1.95,1.83,1.83
25,25,2HAzYkLN,2025-02-01,13:30,ENGLAND - CHAMPIONSHIP,Watford,Norwich,ROUND 30,2.63,3.3,2.63,1.4,2.75,1.05,11.0,1.29,3.75,1.88,1.98,1.67,2.1
