,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,SOUTH AMERICA - COPA LIBERTADORES,2025-04-10,00:00,Nacional (Uru),Bahia (Bra), GROUP STAGE,3.0,3.25,2.38,1.5,2.5,3.4,1.3,1.07,9.0,1.36,3.0,2.2,1.65,1.95,1.8
2,SOUTH AMERICA - COPA LIBERTADORES,2025-04-10,00:00,Olimpia Asuncion (Par),Velez Sarsfield (Arg), GROUP STAGE,2.88,2.88,2.8,1.67,2.1,4.33,1.2,1.13,6.0,1.57,2.25,2.88,1.4,2.25,1.57
3,SOUTH AMERICA - COPA SUDAMERICANA,2025-04-10,00:00,Huracan (Arg),Racing Montevideo (Uru), GROUP STAGE,1.57,3.9,6.25,1.5,2.37,3.5,1.25,1.08,8.0,1.44,2.63,2.35,1.57,2.5,1.47
4,SOUTH AMERICA - COPA SUDAMERICANA,2025-04-10,00:00,Palestino (Chi),Union de Santa Fe (Arg), GROUP STAGE,2.9,3.4,2.4,1.47,2.5,3.4,1.27,1.07,9.0,1.36,3.0,2.15,1.67,1.8,1.8
5,ECUADOR - LIGA PRO,2025-04-10,02:00,Vinotinto,Delfin, ROUND 8,1.65,3.6,4.5,1.44,2.63,3.25,1.33,1.06,9.5,1.33,3.25,2.05,1.75,2.0,1.73
6,SOUTH AMERICA - COPA LIBERTADORES,2025-04-10,02:30,Bolivar (Bol),Sporting Cristal (Per), GROUP STAGE,1.25,6.5,10.0,1.2,4.33,1.95,1.85,1.01,26.0,1.08,8.0,1.3,3.5,1.7,2.05
7,SOUTH AMERICA - COPA LIBERTADORES,2025-04-10,02:30,Flamengo RJ (Bra),Central Cordoba (Arg), GROUP STAGE,1.3,5.0,9.5,1.33,3.25,2.63,1.44,1.04,13.0,1.22,4.0,1.73,2.08,2.1,1.67
8,SOUTH AMERICA - COPA LIBERTADORES,2025-04-10,02:30,Palmeiras (Bra),Cerro Porteno (Par), GROUP STAGE,1.33,5.25,8.5,1.36,3.0,2.75,1.4,1.04,13.0,1.29,3.5,1.88,1.98,2.25,1.57
9,SOUTH AMERICA - COPA SUDAMERICANA,2025-04-10,02:30,Cruzeiro (Bra),Mushuc Runa (Ecu), GROUP STAGE,1.38,4.5,9.5,1.33,3.0,2.75,1.37,1.06,10.0,1.25,3.75,1.88,1.98,2.2,1.58
10,SOUTH AMERICA - COPA SUDAMERICANA,2025-04-10,02:30,Lanus (Arg),FBC Melgar (Per), GROUP STAGE,1.55,3.75,7.0,1.41,2.62,3.4,1.27,1.07,9.0,1.4,2.75,2.25,1.62,2.25,1.54
