,Unnamed: 0,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,1,8xMr8uq2,2025-01-31,01:30,ARGENTINA - TORNEO BETANO,Argentinos Jrs,Tigre,APERTURA ,2.0,3.3,3.9,1.62,2.2,1.11,6.5,1.57,2.25,2.88,1.4,2.38,1.53
2,2,tj2iyvDl,2025-01-31,01:30,ARGENTINA - TORNEO BETANO,Central Cordoba,Atl. Tucuman,APERTURA ,2.4,3.0,3.25,1.62,2.2,1.11,6.5,1.53,2.38,2.7,1.44,2.2,1.62
3,3,0l8a8xJa,2025-01-31,01:30,VENEZUELA - LIGA FUTVE,Monagas,Dep. Tachira,APERTURA ,2.6,2.8,2.62,1.57,2.25,1.1,6.0,1.5,2.45,2.45,1.48,2.1,1.67
4,4,dS9LrQVN,2025-01-31,03:00,COSTA RICA - PRIMERA DIVISION,Zeledon,Herediano,CLAUSURA ,3.7,3.1,2.05,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,2.1,1.67
5,5,OrTiCZHc,2025-01-31,09:30,INDONESIA - LIGA 1,Persik Kediri,Barito Putera,ROUND 21,2.2,3.15,2.75,1.32,3.05,1.03,9.0,1.24,3.55,1.8,1.89,1.61,2.08
6,6,YTrod91U,2025-01-31,09:35,AUSTRALIA - A-LEAGUE,Brisbane Roar,WS Wanderers,ROUND 17,2.75,3.75,2.35,1.25,3.75,1.02,19.0,1.13,6.0,1.44,2.75,1.4,2.75
7,7,roqgADnA,2025-01-31,13:00,INDONESIA - LIGA 1,Persebaya,Persita,ROUND 21,1.4,4.0,6.4,1.33,3.0,1.02,9.0,1.28,3.2,1.91,1.78,2.06,1.63
8,8,f1U3YkYP,2025-01-31,14:45,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Feiha,Al Taawon,ROUND 18,2.3,3.0,3.0,1.57,2.25,1.1,6.5,1.5,2.5,2.5,1.5,2.1,1.67
9,9,KQGQBhj3,2025-01-31,15:00,EGYPT - PREMIER LEAGUE,El Gouna,Haras El Hodood,ROUND 11,2.25,2.65,3.55,1.67,2.07,1.11,4.8,1.61,2.1,3.05,1.3,2.33,1.49
10,10,GhAZ9WKF,2025-01-31,15:00,EGYPT - PREMIER LEAGUE,El Ismaily,El Gaish,ROUND 11,2.48,2.55,3.15,1.68,2.02,1.12,4.8,1.61,2.08,3.05,1.3,2.28,1.52
11,11,bqflVeW0,2025-01-31,15:00,INDIA - ISL,Mumbai City,East Bengal,ROUND 20,1.6,3.9,4.75,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,1.67,2.1
12,12,0ShErAUj,2025-01-31,16:00,ROMANIA - SUPERLIGA,FC Hermannstadt,UTA Arad,ROUND 24,2.0,3.0,4.1,1.5,2.5,1.08,8.0,1.4,2.75,2.3,1.6,1.91,1.8
