,League,Date,Time,Round,Home,Away,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_BTTS_Yes,HT_Odd_BTTS_No,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Lay_Home,FT_Odd_Lay_Draw,FT_Odd_Lay_Away,Pre_Match_Home_Expected_Goals,Pre_Match_Away_Expected_Goals,Pre_Match_Total_Expected_Goals,BTTS_First_Half_Potential,BTTS_Second_Half_Potential,BTTS_Potential,Pre_Match_Home_Points_per_Game,Pre_Match_Home_Overall_Points_per_Game,Pre_Match_Away_Points_per_Game,Pre_Match_Away_Overall_Points_per_Game
0,Argentina Primera División,2025-05-19,00:00:00,0,Rosario Central,Huracán,3.5,1.83,4.0,1.67,2.1,4.33,1.2,15.0,1.03,0.0,0.0,2.7,2.7,3.2,1.15,5.25,1.67,2.15,3.1,1.36,2.25,1.57,1.44,1.38,1.38,1.42,1.5,2.92,26.0,7.0,38.0,2.24,2.24,1.76,1.76
1,Jamaica Jamaica National Premier League,2025-05-19,00:00:00,0,Mount Pleasant Academy FC,Montego Bay United,2.25,2.1,5.33,1.43,2.55,2.93,1.32,7.6,1.05,0.0,0.0,1.58,3.65,5.2,1.04,8.4,1.33,3.1,2.1,1.67,2.07,1.76,1.95,1.2,1.15,1.89,1.53,3.42,14.0,6.0,37.0,2.46,2.46,1.88,1.88
2,Brazil Serie C,2025-05-19,00:00:00,6,Figueirense,Ituano,2.54,2.0,4.6,1.45,2.62,3.0,1.33,8.4,1.04,0.0,0.0,1.88,3.26,3.55,1.08,7.7,1.35,2.74,2.1,1.65,1.95,1.77,1.76,1.25,1.25,1.85,1.09,2.94,50.0,75.0,75.0,0.5,0.4,3.0,2.0
3,Brazil Serie C,2025-05-19,00:00:00,6,Retrô,Itabaiana,1.99,2.15,6.2,1.45,2.5,3.05,1.35,7.0,1.05,0.0,0.0,1.57,3.56,5.0,1.02,8.2,1.41,2.78,2.05,1.65,2.28,1.52,2.36,1.21,1.13,1.3,1.89,3.19,25.0,25.0,50.0,2.0,0.8,0.0,0.8
4,Chile Primera División,2025-05-19,00:30:00,26,Universidad Chile,Huachipato,1.95,2.38,6.5,1.33,3.25,2.63,1.44,6.5,1.11,0.0,0.0,1.44,4.2,7.0,1.01,11.0,1.21,3.6,1.8,2.0,1.91,1.8,2.71,1.19,1.09,2.19,1.22,3.41,0.0,13.0,23.0,3.0,2.0,1.0,1.7
5,Paraguay Division Profesional,2025-05-19,00:30:00,19,Guaraní,Sportivo Ameliano,2.95,1.88,3.9,1.45,2.45,3.48,1.26,10.0,1.0,0.0,0.0,2.08,3.0,3.1,1.03,7.0,1.42,2.49,2.4,1.53,2.04,1.7,1.61,1.27,1.29,1.32,1.3,2.62,22.0,17.0,42.0,1.78,1.78,1.17,1.17
6,USA MLS,2025-05-19,01:00:00,0,Inter Miami,Orlando City,2.25,2.5,4.33,1.25,3.75,2.2,1.62,5.0,1.17,0.0,0.0,1.69,3.66,3.93,1.01,13.0,1.18,4.75,1.5,2.48,1.53,2.38,2.05,1.2,1.2,1.4,1.39,2.79,42.0,34.0,67.0,1.83,1.83,1.17,1.62
7,USA USL Championship,2025-05-19,01:00:00,0,Lexington,Tulsa Roughnecks,2.8,1.97,3.76,1.4,2.75,2.9,1.33,6.8,1.06,0.0,0.0,2.24,3.01,3.11,1.07,8.7,1.28,3.05,1.94,1.76,1.8,1.85,1.57,1.32,1.35,1.53,1.2,2.73,10.0,44.0,54.0,1.2,0.78,2.0,1.63
8,Brazil Serie A,2025-05-19,01:30:00,9,Cruzeiro,Atlético Mineiro,3.24,2.0,3.3,1.56,2.35,3.4,1.26,9.5,1.0,0.0,0.0,2.56,2.79,2.7,1.05,7.1,1.55,2.3,2.31,1.51,2.05,1.7,1.53,1.36,1.35,1.65,2.32,3.97,25.0,13.0,50.0,3.0,2.0,1.0,1.5
9,Brazil Serie A,2025-05-19,01:30:00,9,Internacional,Mirassol,2.09,2.2,6.0,1.41,2.71,2.79,1.36,6.75,1.06,0.0,0.0,1.45,3.86,5.9,1.02,8.2,1.3,3.08,1.93,1.77,2.05,1.75,2.45,1.2,1.21,2.04,1.66,3.7,54.0,0.0,54.0,2.0,1.13,0.5,1.25
10,USA MLS,2025-05-19,03:00:00,0,LA Galaxy,Los Angeles FC,3.2,2.3,3.0,1.3,3.4,2.5,1.5,6.0,1.13,0.0,0.0,2.52,3.25,2.41,1.04,10.0,1.22,4.2,1.65,2.1,1.57,2.25,1.45,1.25,1.5,1.53,1.47,3.0,34.0,27.0,64.0,0.2,0.23,0.83,1.62
11,UAE Arabian Gulf League,2025-05-19,16:10:00,25,Al Ittihad Kalba,Al Nasr,3.25,2.5,2.5,1.25,3.75,2.1,1.67,4.5,1.17,0.0,0.0,3.1,3.55,1.96,1.0,14.0,1.17,4.75,1.55,2.37,1.44,2.63,1.33,1.22,1.75,1.49,1.42,2.91,9.0,46.0,63.0,1.5,1.29,1.0,1.46
12,UAE Arabian Gulf League,2025-05-19,16:10:00,25,Al Ain,Ajman,1.73,2.75,6.0,1.2,4.33,1.91,1.8,4.0,1.22,0.0,0.0,1.29,5.2,6.8,1.0,18.0,1.09,6.5,1.36,3.0,1.57,2.25,3.2,1.1,1.05,1.95,1.14,3.09,17.0,21.0,55.0,2.0,1.67,0.83,1.13
13,Bulgaria First League,2025-05-19,16:45:00,6,CSKA 1948 Sofia,Levski Krumovgrad,1.85,2.48,5.0,1.32,2.95,2.69,1.41,6.75,1.1,0.0,0.0,1.37,4.5,8.0,1.0,9.2,1.25,3.5,1.85,1.85,2.1,1.6,3.05,1.22,1.18,1.71,1.09,2.8,17.0,20.0,32.0,1.17,1.17,0.94,0.94
14,Serbia Prva Liga,2025-05-19,17:00:00,6,Semendrija 1924,Trajal Krusevac,2.63,1.91,4.75,1.57,2.25,3.8,1.22,11.0,1.01,0.0,0.0,1.91,2.9,4.0,1.08,6.5,1.5,2.4,2.63,1.44,2.25,1.57,1.73,1.3,1.17,1.18,1.28,2.46,14.0,15.0,39.0,1.44,1.09,1.17,1.2
15,Serbia Prva Liga,2025-05-19,17:00:00,6,Dubočica,Sloven Ruma,2.5,1.91,5.0,1.57,2.25,3.75,1.22,10.0,1.04,0.0,0.0,1.77,3.1,4.9,1.08,6.5,1.5,2.4,2.63,1.44,2.4,1.5,1.83,1.3,1.12,1.42,1.08,2.5,22.0,34.0,58.0,1.11,1.14,0.56,1.03
16,Uzbekistan Uzbekistan Super League,2025-05-19,17:00:00,10,AGMK,Neftchi,2.95,1.97,3.6,1.5,2.35,3.1,1.3,8.2,1.04,0.0,0.0,2.34,3.15,2.8,1.01,8.8,1.33,2.81,2.3,1.6,1.93,1.75,1.47,1.28,1.25,1.56,1.33,2.89,45.0,23.0,55.0,2.6,2.44,2.0,1.88
17,Algeria Ligue 1,2025-05-19,18:00:00,26,ASO Chlef,CR Belouizdad,3.9,2.0,2.75,1.43,2.5,2.85,1.32,7.0,1.06,0.0,0.0,3.6,3.3,2.0,1.06,7.5,1.3,2.88,2.1,1.7,1.86,1.86,1.2,1.28,1.27,1.55,1.14,2.69,13.0,25.0,34.0,1.75,1.28,1.58,1.76
18,Israel Liga Leumit,2025-05-19,18:00:00,7,Hapoel Kfar Saba,Hapoel Tel Aviv,4.9,2.1,2.25,1.4,2.65,2.65,1.4,6.5,1.08,0.0,0.0,3.75,3.4,1.79,1.01,9.9,1.23,3.4,1.8,1.83,1.76,1.93,1.14,1.22,1.22,1.27,1.74,3.01,24.0,24.0,49.0,1.31,1.31,2.36,2.36
19,Israel Liga Leumit,2025-05-19,18:00:00,7,Hapoel Ramat Gan,Bnei Yehuda,2.15,2.4,4.6,1.3,3.1,2.35,1.5,6.3,1.12,0.0,0.0,1.79,3.5,3.65,1.01,10.5,1.2,3.9,1.7,1.95,1.69,2.05,2.0,1.21,1.18,1.62,1.45,3.07,9.0,34.0,43.0,1.89,1.89,1.39,1.39
20,Israel Liga Leumit,2025-05-19,18:00:00,7,Maccabi Herzliya,Hapoel Petah Tikva,4.5,2.15,2.3,1.35,2.85,2.5,1.45,5.5,1.1,0.0,0.0,4.0,3.6,1.69,1.01,11.0,1.25,3.6,1.73,1.91,1.65,2.01,1.22,1.2,1.18,1.39,1.6,2.99,21.0,21.0,45.0,1.42,1.42,2.36,2.36
21,Algeria Ligue 1,2025-05-19,18:00:00,26,MC Alger,ES Sétif,1.9,2.25,7.0,1.41,2.8,2.65,1.33,5.5,1.1,0.0,0.0,1.34,4.1,7.4,1.04,8.5,1.25,3.2,1.8,1.7,2.35,1.5,2.75,1.15,1.15,2.17,1.23,3.4,18.0,22.0,35.0,1.64,1.92,1.08,1.52
22,Estonia Meistriliiga,2025-05-19,18:00:00,13,Tallinna Kalev,Trans,5.0,2.66,2.0,1.22,3.8,2.08,1.65,4.4,1.16,0.0,0.0,5.7,4.5,1.38,1.01,15.0,1.15,5.0,1.47,2.5,1.55,2.25,1.14,1.15,2.5,1.52,1.9,3.42,27.0,29.0,65.0,1.0,0.58,2.0,1.83
32,UAE Arabian Gulf League,2025-05-19,19:00:00,25,Al Wahda,Al Jazira,2.1,2.5,4.5,1.25,3.75,2.2,1.62,4.5,1.17,0.0,0.0,1.6,3.9,4.4,1.03,10.0,1.18,4.5,1.55,2.2,1.62,2.2,2.2,1.18,1.15,1.66,1.51,3.17,38.0,29.0,67.0,2.08,1.83,1.33,1.5
31,Sweden Allsvenskan,2025-05-19,19:00:00,10,Degerfors,IFK Göteborg,3.25,2.25,3.0,1.33,3.25,2.63,1.44,6.5,1.11,0.0,0.0,2.64,3.34,2.26,1.05,10.0,1.25,4.0,1.66,2.08,1.62,2.2,1.4,1.25,1.57,1.62,1.19,2.81,13.0,13.0,38.0,1.0,1.44,1.5,1.11
30,Poland 1. Liga,2025-05-19,19:00:00,33,Miedź Legnica,Nieciecza,3.1,2.29,3.0,1.32,3.25,2.63,1.46,6.5,1.1,0.0,0.0,2.44,3.55,2.65,1.01,11.0,1.2,3.9,1.77,1.98,1.64,2.1,1.49,1.26,1.26,1.82,1.66,3.48,31.0,32.0,57.0,1.88,1.75,2.06,2.03
29,Poland 1. Liga,2025-05-19,19:00:00,33,Chrobry Głogów,Ruch Chorzów,3.38,2.12,2.83,1.35,3.04,2.69,1.41,7.0,1.1,0.0,0.0,2.75,3.4,2.2,1.0,9.1,1.27,3.5,1.85,1.87,1.65,2.05,1.22,1.26,1.33,1.37,1.44,2.81,19.0,29.0,54.0,1.31,0.91,1.5,1.44
28,Poland Ekstraklasa,2025-05-19,19:00:00,33,Widzew Łódź,Puszcza Niepołomice,2.28,2.19,5.0,1.35,3.0,2.7,1.4,5.8,1.09,0.0,0.0,1.71,3.75,4.75,1.05,9.5,1.21,3.6,1.85,1.93,1.79,1.99,2.08,1.2,1.25,1.49,1.11,2.6,25.0,16.0,41.0,1.44,1.16,0.56,0.84
