,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,ENGLAND - LEAGUE ONE,2025-03-18,20:45,Rotherham,Wycombe,ROUND 26,3.1,3.4,2.2,1.44,2.63,3.25,1.33,1.06,10.0,1.33,3.25,2.05,1.75,1.8,1.95
2,PARAGUAY - COPA DE PRIMERA,2025-03-18,00:30,Nacional Asuncion,Sportivo Trinidense,APERTURA ,2.3,3.1,3.25,1.5,2.5,3.5,1.29,1.08,8.0,1.4,2.75,2.25,1.62,1.91,1.8
3,ECUADOR - LIGA PRO,2025-03-18,01:00,Tecnico U.,Barcelona SC,ROUND 5,2.5,3.25,2.7,1.44,2.63,3.25,1.33,1.07,9.0,1.33,3.25,2.1,1.7,1.83,1.83
4,ARGENTINA - TORNEO BETANO,2025-03-18,01:15,Atl. Tucuman,Velez Sarsfield,APERTURA ,2.5,2.9,3.2,1.57,2.25,3.75,1.25,1.11,6.5,1.5,2.5,2.6,1.48,2.05,1.7
5,ARGENTINA - TORNEO BETANO,2025-03-18,01:15,San Martin S.J.,Platense,APERTURA ,2.9,2.75,2.9,1.85,1.95,6.0,1.13,1.18,4.5,1.83,1.83,4.0,1.25,2.75,1.4
6,URUGUAY - LIGA AUF URUGUAYA,2025-03-18,01:15,River Plate,Boston River,APERTURA ,2.5,3.1,2.7,1.44,2.63,3.25,1.33,1.07,9.0,1.36,3.0,2.15,1.67,1.83,1.83
