,League,Date,Time,Round,Home,Away,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_BTTS_Yes,HT_Odd_BTTS_No,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Lay_Home,FT_Odd_Lay_Draw,FT_Odd_Lay_Away,Pre_Match_Home_Expected_Goals,Pre_Match_Away_Expected_Goals,Pre_Match_Total_Expected_Goals,BTTS_First_Half_Potential,BTTS_Second_Half_Potential,BTTS_Potential,Pre_Match_Home_Points_per_Game,Pre_Match_Home_Overall_Points_per_Game,Pre_Match_Away_Points_per_Game,Pre_Match_Away_Overall_Points_per_Game
0,South America Copa Libertadores,2025-05-07,00:00:00,4,Carabobo,Botafogo,8.0,2.1,2.1,1.5,2.5,3.4,1.3,10.0,1.06,0.0,0.0,5.7,3.73,1.48,1.07,8.0,1.44,2.7,2.25,1.53,2.63,1.44,1.11,1.26,2.37,0.89,1.6,2.49,25.0,0.0,17.0,0.33,0.33,1.0,1.0
1,South America Copa Libertadores,2025-05-07,00:00:00,4,Alianza Lima,São Paulo,4.0,1.95,3.1,1.53,2.38,3.5,1.29,11.0,1.05,0.0,0.0,3.17,2.92,2.17,1.1,6.5,1.49,2.6,2.37,1.48,2.0,1.75,1.35,1.36,1.53,1.59,1.62,3.21,10.0,10.0,56.0,1.67,1.67,2.33,2.33
2,South America Copa Libertadores,2025-05-07,00:00:00,4,Atlético Bucaramanga,Racing Club,4.0,2.0,3.0,1.5,2.5,3.4,1.3,10.0,1.06,0.0,0.0,3.07,3.02,2.16,1.09,7.0,1.45,2.7,2.25,1.53,2.0,1.75,1.34,1.34,1.58,1.73,2.1,3.83,25.0,25.0,84.0,1.67,1.67,1.33,1.33
3,Brazil Serie B,2025-05-07,00:30:00,6,CRB,Cuiabá,3.17,1.86,3.75,1.57,2.38,3.3,1.27,7.5,1.04,0.0,0.0,2.05,2.73,3.77,1.13,6.0,1.5,2.61,2.2,1.55,2.18,1.71,1.56,1.34,1.46,1.78,1.61,3.39,0.0,0.0,25.0,3.0,2.0,2.0,2.2
4,South America Copa Libertadores,2025-05-07,02:30:00,4,Fortaleza,Colo-Colo,2.65,1.95,4.2,1.47,2.45,3.2,1.31,8.75,1.06,0.0,0.0,1.92,3.04,3.69,1.08,7.0,1.41,2.65,2.2,1.55,2.0,1.7,1.75,1.33,1.25,1.35,1.23,2.58,50.0,50.0,50.0,1.33,1.33,0.67,0.67
5,Brazil Serie B,2025-05-07,02:30:00,6,Athletic Club,Vila Nova,2.92,1.91,4.33,1.54,2.51,3.2,1.27,9.5,1.03,0.0,0.0,2.29,2.79,3.07,1.11,6.5,1.5,2.4,2.2,1.55,2.09,1.77,1.7,1.38,1.4,1.76,0.88,2.64,25.0,50.0,75.0,1.5,0.6,0.5,2.0
6,South America Copa Libertadores,2025-05-07,04:00:00,4,San Antonio Bulo Bulo,Peñarol,4.33,2.2,2.5,1.36,3.0,2.75,1.4,8.0,1.08,0.0,0.0,3.45,3.3,1.9,1.06,8.5,1.3,3.4,1.9,1.8,1.75,2.0,1.26,1.29,1.8,1.23,1.42,2.65,0.0,75.0,50.0,2.0,2.0,1.33,1.33
7,Ukraine Ukrainian Premier League,2025-05-07,12:00:00,21,Hirnyk,Livyi Bereh,2.2,2.05,6.0,1.5,2.5,3.4,1.3,8.0,1.06,0.0,0.0,1.5,4.0,6.5,1.08,7.0,1.5,2.3,2.19,1.68,2.38,1.53,2.2,1.27,1.15,1.63,0.68,2.31,9.0,17.0,34.0,1.5,1.54,0.92,0.88
9,Egypt Egyptian Premier League,2025-05-07,16:00:00,5,El Gounah,Coca-Cola,3.3,1.75,3.6,1.7,2.05,4.1,1.16,15.0,1.03,0.0,0.0,3.51,2.47,2.32,1.16,4.4,1.65,2.05,3.09,1.32,2.38,1.5,1.3,0.0,1.45,1.16,1.12,2.28,16.0,17.0,32.0,1.29,1.29,0.8,0.8
8,Bulgaria First League,2025-05-07,16:00:00,3,CSKA 1948 Sofia,Hebar 1918,1.71,2.48,8.0,1.3,3.1,2.38,1.5,5.25,1.12,0.0,0.0,1.55,3.85,5.0,1.04,12.5,1.2,4.0,1.65,2.05,1.93,1.67,3.25,1.16,1.11,1.72,1.14,2.86,28.0,31.0,52.0,1.16,1.16,0.53,0.53
10,Georgia Erovnuli Liga,2025-05-07,17:00:00,13,Dila,Torpedo Kutaisi,2.3,2.05,5.5,1.4,2.75,3.0,1.36,7.0,1.08,0.0,0.0,1.69,3.4,5.1,1.03,6.75,1.32,2.8,2.1,1.62,2.0,1.73,2.0,1.3,1.15,1.98,1.44,3.42,9.0,42.0,59.0,2.17,1.92,1.33,1.25
