,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,ECUADOR - LIGA PRO,2025-03-17,00:00,Emelec,LDU Quito,ROUND 5,5.5,3.4,1.73,1.44,2.63,3.25,1.33,1.07,9.0,1.33,3.25,2.1,1.7,2.0,1.73
2,USA - MLS,2025-03-17,00:00,Atlanta Utd,Inter Miami,-,2.5,3.8,2.5,1.22,4.0,2.1,1.67,1.02,21.0,1.11,6.5,1.4,2.88,1.36,3.0
3,CHILE - LIGA DE PRIMERA,2025-03-17,00:30,Deportes Iquique,U. Espanola,ROUND 5,2.0,3.75,3.5,1.3,3.4,2.5,1.5,1.03,15.0,1.2,4.33,1.65,2.2,1.57,2.25
4,PARAGUAY - COPA DE PRIMERA,2025-03-17,00:30,Recoleta,Sp. Luqueno,APERTURA ,2.3,3.1,3.2,1.5,2.5,3.4,1.3,1.07,9.0,1.36,3.0,2.15,1.67,1.83,1.83
5,ARGENTINA - TORNEO BETANO,2025-03-17,01:00,Belgrano,Barracas Central,APERTURA ,1.8,3.4,5.0,1.5,2.5,3.5,1.29,1.08,7.5,1.4,2.75,2.35,1.57,2.1,1.67
6,ARGENTINA - TORNEO BETANO,2025-03-17,01:00,Lanus,Instituto,APERTURA ,1.83,3.3,4.75,1.57,2.25,3.75,1.25,1.1,7.0,1.5,2.5,2.6,1.48,2.38,1.53
7,COSTA RICA - PRIMERA DIVISION,2025-03-17,01:00,Sporting San Jose,Herediano,CLAUSURA ,3.5,2.88,2.25,1.44,2.63,3.4,1.3,1.08,8.0,1.36,3.0,2.2,1.65,1.83,1.83
8,MEXICO - LIGA MX,2025-03-17,01:00,UNAM Pumas,Monterrey,CLAUSURA ,2.8,3.4,2.4,1.44,2.63,3.25,1.33,1.06,9.5,1.33,3.25,2.08,1.73,1.91,1.91
9,MEXICO - LIGA MX,2025-03-17,03:00,Pachuca,Club Tijuana,CLAUSURA ,1.4,5.0,6.5,1.22,4.0,2.05,1.72,1.02,21.0,1.1,7.0,1.36,3.1,1.57,2.25
10,ROMANIA - SUPERLIGA,2025-03-17,19:00,Sepsi Sf. Gheorghe,Gloria Buzau,RELEGATION GROUP ,1.48,4.1,6.0,1.4,2.75,2.75,1.4,1.05,11.0,1.29,3.5,1.95,1.9,2.0,1.73
11,SPAIN - LALIGA2,2025-03-17,20:30,Castellon,Dep. La Coruna,ROUND 31,2.2,3.4,3.2,1.36,3.0,2.75,1.4,1.04,13.0,1.25,3.75,1.83,2.03,1.67,2.1
12,ARGENTINA - TORNEO BETANO,2025-03-17,23:00,Tigre,Central Cordoba,APERTURA ,2.3,3.0,3.5,1.57,2.25,3.75,1.25,1.11,6.5,1.5,2.5,2.6,1.48,2.1,1.67
13,ARGENTINA - TORNEO BETANO,2025-03-17,23:00,Union de Santa Fe,Banfield,APERTURA ,2.0,2.9,4.75,1.67,2.1,4.5,1.18,1.17,5.0,1.67,2.1,3.1,1.36,2.5,1.5
14,URUGUAY - LIGA AUF URUGUAYA,2025-03-17,23:00,Cerro Largo,CA Cerro,APERTURA ,2.0,3.25,3.5,1.57,2.25,3.75,1.25,1.11,6.5,1.53,2.38,2.6,1.48,2.25,1.57
