,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,URUGUAY - LIGA AUF URUGUAYA,2025-03-24,00:00,Wanderers,Miramar,APERTURA ,2.15,3.2,3.25,1.5,2.5,3.5,1.29,1.07,9.0,1.4,2.75,2.25,1.62,2.0,1.73
2,COLOMBIA - PRIMERA A,2025-03-24,02:00,Aguilas,Envigado,APERTURA ,1.53,3.9,6.25,1.53,2.38,3.5,1.29,1.08,8.0,1.44,2.63,2.35,1.57,2.63,1.44
3,WORLD - WORLD CHAMPIONSHIP,2025-03-24,07:00,New Caledonia,New Zealand,QUALIFICATION ,51.0,19.0,1.03,1.1,7.0,1.5,2.5,1.01,34.0,1.03,17.0,1.13,6.0,3.0,1.36
4,WORLD - WORLD CHAMPIONSHIP,2025-03-24,14:00,Namibia,Equatorial Guinea,QUALIFICATION ,2.9,3.0,2.7,1.57,2.25,3.75,1.25,1.11,6.5,1.53,2.38,2.7,1.44,2.1,1.67
5,WORLD - WORLD CHAMPIONSHIP,2025-03-24,17:00,Central Africa,Mali,QUALIFICATION ,9.5,4.2,1.4,1.4,2.75,3.0,1.36,1.06,10.0,1.3,3.4,2.03,1.83,2.25,1.57
6,WORLD - WORLD CHAMPIONSHIP,2025-03-24,17:00,Guinea Bissau,Burkina Faso,QUALIFICATION ,3.3,2.9,2.45,1.53,2.38,3.75,1.25,1.1,7.0,1.44,2.63,2.4,1.53,2.0,1.73
7,WORLD - WORLD CHAMPIONSHIP,2025-03-24,17:00,Liberia,Sao Tome and Principe,QUALIFICATION ,1.29,4.75,15.0,1.44,2.63,3.25,1.33,1.08,8.0,1.33,3.25,2.08,1.73,2.75,1.4
8,WORLD - WORLD CHAMPIONSHIP,2025-03-24,18:00,Lithuania,Finland,QUALIFICATION,3.9,3.0,2.1,1.53,2.38,3.5,1.29,1.1,7.0,1.44,2.63,2.4,1.53,2.05,1.7
9,WORLD - WORLD CHAMPIONSHIP,2025-03-24,20:00,Ivory Coast,Gambia,QUALIFICATION ,1.36,4.5,10.0,1.36,3.0,2.75,1.4,1.06,10.0,1.25,3.75,1.9,1.95,2.2,1.62
10,WORLD - WORLD CHAMPIONSHIP,2025-03-24,20:00,Madagascar,Ghana,QUALIFICATION ,5.0,3.5,1.75,1.5,2.5,3.5,1.29,1.08,7.5,1.4,2.75,2.35,1.57,2.2,1.62
11,SPAIN - LALIGA2,2025-03-24,20:30,Zaragoza,Cordoba,ROUND 32,2.0,3.5,3.6,1.44,2.63,3.25,1.33,1.06,10.0,1.33,3.25,2.05,1.75,1.83,1.83
12,WORLD - WORLD CHAMPIONSHIP,2025-03-24,20:45,Albania,Andorra,QUALIFICATION,1.17,6.25,19.0,1.36,3.0,2.75,1.4,1.05,11.0,1.29,3.5,1.95,1.95,3.4,1.3
13,WORLD - WORLD CHAMPIONSHIP,2025-03-24,20:45,Bosnia & Herzegovina,Cyprus,QUALIFICATION,1.38,4.5,9.0,1.33,3.25,2.63,1.44,1.04,13.0,1.22,4.0,1.75,2.05,2.05,1.7
14,WORLD - WORLD CHAMPIONSHIP,2025-03-24,20:45,England,Latvia,QUALIFICATION,1.03,19.0,41.0,1.14,5.5,1.73,2.0,1.01,34.0,1.06,10.0,1.25,4.0,4.0,1.22
15,WORLD - WORLD CHAMPIONSHIP,2025-03-24,20:45,Poland,Malta,QUALIFICATION,1.2,6.5,13.0,1.29,3.5,2.38,1.53,1.03,17.0,1.18,4.5,1.57,2.35,2.25,1.57
16,WORLD - WORLD CHAMPIONSHIP,2025-03-24,20:45,San Marino,Romania,QUALIFICATION,29.0,13.0,1.05,1.22,4.0,2.1,1.78,1.01,23.0,1.11,6.5,1.4,2.88,3.5,1.29
17,WORLD - WORLD CHAMPIONSHIP,2025-03-24,22:00,Ethiopia,Djibouti,QUALIFICATION ,1.36,4.33,11.0,1.44,2.63,3.4,1.3,1.08,7.5,1.36,3.0,2.2,1.65,2.75,1.4
18,WORLD - WORLD CHAMPIONSHIP,2025-03-24,22:00,Tunisia,Malawi,QUALIFICATION ,1.27,5.0,15.0,1.36,3.0,2.63,1.44,1.06,10.0,1.25,3.75,1.83,2.03,2.5,1.5
19,COLOMBIA - PRIMERA A,2025-03-24,22:00,Deportes Tolima,Llaneros,APERTURA ,1.4,4.2,9.0,1.44,2.63,3.25,1.33,1.06,10.0,1.33,3.25,2.1,1.7,2.5,1.5
20,PARAGUAY - COPA DE PRIMERA,2025-03-24,23:30,Atl. Tembetary,Ameliano,APERTURA ,2.7,3.1,2.55,1.5,2.5,3.4,1.3,1.08,8.0,1.4,2.75,2.3,1.6,1.91,1.8
