,League,Date,Time,Round,Home,Away,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_BTTS_Yes,HT_Odd_BTTS_No,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Lay_Home,FT_Odd_Lay_Draw,FT_Odd_Lay_Away,Pre_Match_Home_Expected_Goals,Pre_Match_Away_Expected_Goals,Pre_Match_Total_Expected_Goals,BTTS_First_Half_Potential,BTTS_Second_Half_Potential,BTTS_Potential,Pre_Match_Home_Points_per_Game,Pre_Match_Home_Overall_Points_per_Game,Pre_Match_Away_Points_per_Game,Pre_Match_Away_Overall_Points_per_Game
0,England Premier League,2025-08-17,15:00:00,1,Chelsea,Crystal Palace,2.05,2.5,5.5,1.29,3.5,2.38,1.53,5.5,1.14,0,0,1.58,4.3,5.4,1.03,11.0,1.2,4.33,1.7,2.15,1.7,2.05,2.35,1.18,1.15,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1,Czech Republic First League,2025-08-17,15:00:00,5,Karviná,Bohemians 1905,2.75,2.3,3.5,1.33,3.25,2.5,1.5,6.5,1.11,0,0,2.24,3.71,2.9,1.04,9.0,1.22,3.9,1.66,2.07,1.62,2.2,1.67,1.25,1.35,1.38,1.42,2.8,0,0,0,1.5,2.25,0.0,0.75
2,Sweden Superettan,2025-08-17,15:00:00,19,Örebro,Örgryte,4.0,2.5,2.38,1.25,3.75,2.2,1.62,5.0,1.17,0,0,3.06,3.74,1.9,1.03,12.0,1.18,5.0,1.6,2.2,1.5,2.5,1.3,1.22,1.77,1.4,1.55,2.95,32,25,63,0.75,0.5,1.5,1.94
3,Portugal LigaPro,2025-08-17,15:00:00,2,FC Penafiel,UD Oliveirense,2.75,2.29,3.76,1.32,3.12,2.87,1.42,7.0,1.04,0,0,2.24,3.5,2.9,1.05,9.3,1.28,3.7,1.85,1.93,1.6,2.05,1.62,0.0,1.35,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0
4,England Premier League,2025-08-17,15:00:00,1,Nottingham Forest,Brentford,2.63,2.2,4.0,1.36,3.0,2.75,1.4,7.0,1.1,0,0,2.1,3.55,3.4,1.06,8.5,1.3,3.45,1.78,2.03,1.7,2.05,1.73,1.25,1.28,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
5,Uzbekistan Uzbekistan Super League,2025-08-17,15:00:00,19,Kokand-1912,Termez Surkhon,3.5,1.99,3.3,1.5,2.4,3.16,1.32,9.0,1.03,0,0,2.75,3.1,2.38,1.03,7.2,1.43,2.69,2.33,1.57,1.98,1.75,1.4,1.34,1.42,1.33,1.41,2.74,22,22,44,0.89,0.83,0.56,1.28
6,France Ligue 1,2025-08-17,15:00:00,1,Brest,Lille,3.75,2.2,2.75,1.36,3.0,2.75,1.4,7.0,1.1,0,0,3.53,3.53,1.99,1.05,9.0,1.28,3.55,1.83,1.91,1.7,2.05,1.3,1.25,1.73,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
7,Russia FNL,2025-08-17,15:00:00,5,Spartak Kostroma,Chelyabinsk,3.14,1.95,3.79,1.49,2.44,3.17,1.28,8.1,1.02,0,0,2.51,3.38,2.74,1.04,6.85,1.39,2.6,2.44,1.59,1.94,1.79,1.52,1.33,1.35,0.72,0.87,1.59,50,25,75,0.5,1.75,1.5,2.25
8,Romania Liga I,2025-08-17,15:15:00,6,Csikszereda,CS U Craiova,5.25,2.15,2.15,1.36,2.85,2.65,1.42,7.0,1.1,0,0,4.7,3.65,1.58,1.05,8.5,1.28,3.4,1.79,1.91,1.8,1.83,1.11,1.22,2.2,1.34,1.12,2.46,25,50,75,0.5,0.25,2.0,2.6
9,Hungary NB I,2025-08-17,15:30:00,4,Debrecen,Nyíregyháza Spartacus,2.15,2.31,4.61,1.25,3.3,2.3,1.55,5.0,1.14,0,0,1.67,3.68,4.0,1.01,12.0,1.18,4.5,1.7,2.02,1.53,2.2,2.06,1.22,1.25,1.38,0.53,1.91,50,0,50,3.0,2.33,0.0,0.33
