,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,BRAZIL - SERIE B,2025-04-18,00:00,Goias,Vila Nova FC, ROUND 3,1.67,3.4,5.75,1.57,2.25,3.75,1.25,1.1,7.0,1.5,2.5,2.5,1.47,2.5,1.5
2,CHILE - LIGA DE PRIMERA,2025-04-18,00:00,U. De Chile,La Serena, ROUND 8,1.38,4.2,8.5,1.4,2.75,3.0,1.36,1.05,11.0,1.3,3.4,2.0,1.85,2.25,1.57
3,VENEZUELA - LIGA FUTVE,2025-04-18,00:00,La Guaira,Carabobo, APERTURA,2.3,2.9,3.2,1.57,2.25,3.6,1.25,1.1,5.75,1.53,2.38,2.63,1.44,2.2,1.62
4,BRAZIL - SERIE B,2025-04-18,01:00,Botafogo SP,Remo, ROUND 3,2.38,3.0,3.3,1.57,2.25,3.75,1.25,1.1,7.0,1.44,2.63,2.5,1.47,2.1,1.67
5,BRAZIL - SERIE B,2025-04-18,01:00,CRB,Volta Redonda, ROUND 3,2.15,3.1,3.6,1.5,2.5,3.5,1.29,1.08,8.0,1.4,2.75,2.3,1.6,2.0,1.73
6,BRAZIL - SERIE B,2025-04-18,01:00,Criciuma,Athletic Club, ROUND 3,1.7,3.7,4.75,1.4,2.75,2.75,1.4,1.06,10.0,1.29,3.5,1.93,1.93,1.83,1.83
7,BRAZIL - SERIE B,2025-04-18,02:00,Ferroviaria,Atletico GO, ROUND 3,2.6,3.0,2.88,1.57,2.25,3.75,1.25,1.11,6.5,1.5,2.5,2.5,1.5,2.1,1.67
8,COLOMBIA - PRIMERA A,2025-04-18,02:00,Fortaleza,Llaneros, APERTURA,1.9,3.3,4.2,1.5,2.5,3.5,1.29,1.08,8.0,1.4,2.75,2.3,1.6,2.1,1.67
9,BRAZIL - SERIE A BETANO,2025-04-18,02:30,Cruzeiro,Bahia, ROUND 4,2.3,3.1,3.4,1.5,2.5,3.4,1.3,1.08,8.0,1.4,3.0,2.15,1.61,1.91,1.91
10,BRAZIL - SERIE B,2025-04-18,02:35,America MG,Amazonas, ROUND 3,1.67,3.4,5.75,1.44,2.63,3.25,1.33,1.07,9.0,1.36,3.0,2.15,1.67,2.1,1.67
11,PERU - LIGA 1,2025-04-18,03:00,Alianza Huanuco,Grau, APERTURA,2.4,3.1,3.0,1.44,2.63,3.25,1.33,1.06,10.0,1.33,3.25,2.05,1.75,1.8,1.91
12,INDONESIA - LIGA 1,2025-04-18,10:30,Borneo,PSM Makassar, ROUND 29,2.0,3.0,3.75,1.36,2.9,2.6,1.44,1.03,9.0,1.25,3.6,1.85,1.85,1.67,2.1
13,AUSTRALIA - A-LEAGUE,2025-04-18,11:35,Adelaide United,Wellington Phoenix, ROUND 27,1.6,4.5,4.75,1.22,4.0,2.05,1.75,1.02,21.0,1.11,6.5,1.36,3.2,1.44,2.63
14,PORTUGAL - LIGA PORTUGAL 2,2025-04-18,12:00,Felgueiras,Leixoes, ROUND 30,2.05,3.0,3.5,1.5,2.5,3.4,1.3,1.08,7.5,1.4,2.75,2.25,1.62,1.91,1.8
15,PORTUGAL - LIGA PORTUGAL 2,2025-04-18,12:00,Leiria,Benfica B, ROUND 30,2.0,3.25,3.3,1.4,2.75,3.0,1.36,1.05,11.0,1.29,3.5,1.95,1.9,1.73,2.0
16,UKRAINE - PREMIER LEAGUE,2025-04-18,12:00,Vorskla Poltava,Oleksandriya, ROUND 25,3.3,3.0,2.15,1.5,2.4,3.3,1.29,1.08,6.5,1.44,2.6,2.3,1.55,2.0,1.73
17,BULGARIA - PARVA LIGA,2025-04-18,13:00,Lok. Sofia,Botev Plovdiv, ROUND 30,2.55,3.3,2.7,1.44,2.63,3.25,1.33,1.06,10.0,1.33,3.25,2.1,1.7,1.83,1.83
18,DENMARK - 1ST DIVISION,2025-04-18,13:00,Horsens,Esbjerg, PROMOTION GROUP,1.67,4.1,4.33,1.3,3.4,2.5,1.5,1.03,15.0,1.2,4.33,1.65,2.2,1.67,2.1
19,ENGLAND - CHAMPIONSHIP,2025-04-18,13:30,Derby,Luton, ROUND 43,2.5,3.0,3.0,1.57,2.25,3.75,1.25,1.11,6.5,1.53,2.5,2.63,1.5,2.1,1.67
20,ENGLAND - NATIONAL LEAGUE,2025-04-18,13:30,Gateshead,York City, ROUND 43,2.9,3.4,2.2,1.33,3.25,2.5,1.5,1.04,13.0,1.2,4.33,1.67,2.15,1.57,2.25
21,ESTONIA - MEISTRILIIGA,2025-04-18,13:30,Flora,Paide, ROUND 8,2.3,3.2,2.9,1.4,2.7,2.88,1.36,1.03,9.0,1.29,3.4,1.83,1.83,1.7,2.05
22,ENGLAND - LEAGUE ONE,2025-04-18,14:00,Exeter,Burton, ROUND 43,2.8,3.1,2.55,1.44,2.63,3.25,1.33,1.07,9.0,1.33,3.25,2.1,1.7,1.8,1.95
23,INDONESIA - LIGA 1,2025-04-18,14:00,Malut United,PSBS Biak Numfor, ROUND 29,1.85,3.3,4.0,1.4,2.75,2.8,1.38,1.03,9.0,1.3,3.25,1.91,1.8,1.8,1.91
24,INDONESIA - LIGA 1,2025-04-18,14:00,Persib Bandung,Bali United, ROUND 29,1.75,3.4,4.33,1.33,3.0,2.63,1.44,1.02,10.0,1.25,3.75,1.8,1.91,1.73,2.0
25,LATVIA - VIRSLIGA,2025-04-18,14:00,Metta,Jelgava, ROUND 8,2.4,3.3,2.7,1.36,2.88,2.88,1.36,1.02,10.0,1.29,3.4,1.83,1.83,1.73,2.0
26,PORTUGAL - LIGA PORTUGAL 2,2025-04-18,15:00,Portimonense,Pacos Ferreira, ROUND 30,2.55,2.9,2.63,1.4,2.75,3.0,1.36,1.05,11.0,1.25,3.75,1.95,1.9,1.67,2.1
27,SWEDEN - ALLSVENSKAN,2025-04-18,15:00,Malmo FF,Sirius, ROUND 4,1.3,5.5,8.5,1.25,3.75,2.25,1.57,1.02,19.0,1.17,5.0,1.53,2.4,1.91,1.91
28,SWEDEN - ALLSVENSKAN,2025-04-18,15:00,Mjallby,Hammarby, ROUND 4,2.6,3.25,2.7,1.44,2.63,3.0,1.36,1.06,10.0,1.3,3.4,2.05,1.8,1.8,1.95
29,BULGARIA - PARVA LIGA,2025-04-18,15:30,Cherno More,Beroe, ROUND 30,1.67,3.4,5.75,1.57,2.25,3.75,1.25,1.1,7.0,1.5,2.5,2.6,1.48,2.5,1.5
30,CROATIA - HNL,2025-04-18,16:00,Lok. Zagreb,Slaven Belupo, ROUND 30,2.3,2.8,3.1,1.4,2.75,3.0,1.36,1.05,11.0,1.25,3.75,1.93,1.93,1.67,2.1
31,ENGLAND - CHAMPIONSHIP,2025-04-18,16:00,Blackburn,Millwall, ROUND 43,2.35,3.1,3.2,1.57,2.25,3.75,1.25,1.11,6.5,1.5,2.63,2.63,1.5,2.1,1.67
