,League,Date,Time,Round,Home,Away,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_BTTS_Yes,HT_Odd_BTTS_No,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Lay_Home,FT_Odd_Lay_Draw,FT_Odd_Lay_Away,Pre_Match_Home_Expected_Goals,Pre_Match_Away_Expected_Goals,Pre_Match_Total_Expected_Goals,BTTS_First_Half_Potential,BTTS_Second_Half_Potential,BTTS_Potential,Pre_Match_Home_Points_per_Game,Pre_Match_Home_Overall_Points_per_Game,Pre_Match_Away_Points_per_Game,Pre_Match_Away_Overall_Points_per_Game
0,South America Copa Libertadores,2025-05-14,00:00:00,5,Deportivo Táchira,Central Córdoba SdE,4.0,2.0,3.0,1.5,2.5,3.4,1.3,10.0,1.06,0.0,0.0,2.5,3.12,2.5,1.08,7.5,1.44,2.75,2.3,1.5,2.0,1.75,1.3,1.28,1.65,1.7,1.66,3.36,0.0,25.0,63.0,0.0,0.0,2.0,2.0
1,South America Copa Libertadores,2025-05-14,02:30:00,5,Fortaleza,Atlético Bucaramanga,1.95,2.15,7.0,1.42,2.65,2.95,1.35,7.0,1.06,0.0,0.0,1.48,3.55,6.2,1.07,8.0,1.4,2.88,2.1,1.6,2.3,1.55,2.6,1.2,1.08,1.59,1.64,3.23,0.0,50.0,50.0,1.75,1.75,1.25,1.25
2,South America Copa Libertadores,2025-05-14,02:30:00,5,Universidad Chile,Carabobo,1.8,2.38,9.5,1.36,3.0,2.75,1.4,8.0,1.08,0.0,0.0,1.24,4.75,10.0,1.05,9.5,1.3,3.35,1.78,1.92,2.5,1.5,3.1,1.17,1.05,1.25,1.09,2.34,0.0,0.0,50.0,1.75,1.75,0.25,0.25
3,South America Copa Libertadores,2025-05-14,02:30:00,5,Sporting Cristal,Cerro Porteño,3.1,2.05,3.25,1.4,2.75,2.8,1.38,6.5,1.08,0.0,0.0,2.41,3.3,2.85,1.06,8.5,1.33,3.3,1.91,1.75,1.7,2.05,1.48,1.28,1.44,1.05,1.89,2.94,0.0,50.0,63.0,1.0,1.0,2.0,2.0
4,Japan J1 League,2025-05-14,12:00:00,14,Kawasaki Frontale,Yokohama,2.5,2.05,4.33,1.42,2.62,2.95,1.35,8.5,1.07,0.0,0.0,1.86,3.12,3.84,1.07,8.0,1.38,3.0,2.1,1.6,1.85,1.8,1.83,1.25,1.22,1.64,1.2,2.84,10.0,27.0,27.0,1.6,1.38,0.33,1.0
5,Japan J1 League,2025-05-14,12:00:00,14,Yokohama F. Marinos,Kashiwa Reysol,3.2,2.0,3.2,1.42,2.65,2.9,1.36,8.0,1.07,0.0,0.0,2.55,2.94,2.58,1.07,8.0,1.36,3.1,1.95,1.75,1.77,1.91,1.45,1.28,1.45,1.35,1.32,2.67,7.0,16.0,54.0,1.17,0.62,2.14,2.0
6,Bulgaria First League,2025-05-14,14:15:00,5,Lokomotiv Sofia 1929,CSKA 1948 Sofia,3.0,2.07,3.5,1.44,2.65,3.1,1.32,7.4,1.06,0.0,0.0,2.25,2.89,3.03,1.07,6.5,1.4,3.03,2.15,1.57,1.8,1.83,1.56,1.37,1.38,1.31,1.71,3.02,10.0,18.0,44.0,1.12,1.12,1.21,1.21
7,Bulgaria First League,2025-05-14,16:45:00,4,Beroe,Botev Plovdiv,3.7,2.07,2.91,1.36,2.8,3.15,1.37,7.5,1.05,0.0,0.0,2.75,2.95,2.45,1.0,9.1,1.25,3.25,2.05,1.61,1.7,1.84,1.35,1.32,1.31,1.38,1.5,2.88,10.0,16.0,39.0,1.39,1.39,1.61,1.61
8,Greece Super League,2025-05-14,17:00:00,8,Levadiakos,Panaitolikos,2.38,2.0,5.0,1.48,2.45,3.3,1.28,8.7,1.01,0.0,0.0,1.58,3.9,5.2,1.03,9.0,1.36,2.88,1.85,1.75,2.15,1.57,2.05,1.25,1.13,1.32,0.98,2.3,16.0,13.0,41.0,1.25,1.33,1.19,1.18
15,Sweden Allsvenskan,2025-05-14,19:00:00,9,Hammarby,Sirius,1.83,2.4,6.25,1.28,3.3,2.3,1.55,5.4,1.11,0.0,0.0,1.38,4.3,6.2,1.02,14.0,1.17,5.0,1.55,2.2,1.77,1.91,2.88,1.15,1.08,2.05,1.33,3.38,38.0,25.0,63.0,2.5,2.13,1.25,1.13
14,Sweden Allsvenskan,2025-05-14,19:00:00,9,Häcken,AIK,3.1,2.05,3.2,1.4,2.75,2.85,1.36,7.5,1.03,0.0,0.0,2.43,3.23,2.51,1.04,11.0,1.32,3.45,1.95,1.75,1.73,1.95,1.5,1.25,1.45,1.87,1.29,3.16,0.0,38.0,50.0,1.0,1.25,2.5,2.5
13,Greece Super League,2025-05-14,19:00:00,8,Volos NFC,Lamia,1.73,2.45,7.5,1.33,3.0,2.55,1.45,6.4,1.05,0.0,0.0,1.29,4.9,9.6,1.04,9.0,1.25,3.7,1.75,1.85,2.2,1.55,3.44,1.16,1.04,1.29,0.97,2.26,10.0,28.0,38.0,0.81,1.09,0.5,0.61
10,Spain La Liga,2025-05-14,19:00:00,36,Villarreal,Leganés,1.73,2.6,8.0,1.29,3.5,2.38,1.53,5.5,1.14,0.0,0.0,1.33,5.0,8.5,1.03,11.0,1.2,4.5,1.62,2.3,1.95,1.8,3.1,1.12,1.07,1.74,1.05,2.79,32.0,33.0,68.0,1.65,1.74,0.71,0.97
11,Spain La Liga,2025-05-14,19:00:00,36,Deportivo Alavés,Valencia CF,2.75,2.0,4.33,1.5,2.5,3.5,1.29,10.0,1.06,0.0,0.0,2.1,3.2,3.7,1.09,7.0,1.45,2.7,2.38,1.57,2.05,1.7,1.73,1.28,1.25,1.23,1.07,2.3,15.0,24.0,50.0,1.18,1.0,0.82,1.29
9,Sweden Allsvenskan,2025-05-14,19:00:00,9,Halmstad,GAIS,4.5,1.95,2.62,1.48,2.45,3.2,1.3,8.2,1.02,0.0,0.0,4.2,3.16,1.76,1.06,9.0,1.4,2.85,2.15,1.57,1.95,1.73,1.25,1.28,1.77,1.28,1.51,2.79,13.0,25.0,50.0,1.5,1.25,0.75,1.0
