,League,Date,Time,Round,Home,Away,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_BTTS_Yes,HT_Odd_BTTS_No,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Lay_Home,FT_Odd_Lay_Draw,FT_Odd_Lay_Away,Pre_Match_Home_Expected_Goals,Pre_Match_Away_Expected_Goals,Pre_Match_Total_Expected_Goals,BTTS_First_Half_Potential,BTTS_Second_Half_Potential,BTTS_Potential,Pre_Match_Home_Points_per_Game,Pre_Match_Home_Overall_Points_per_Game,Pre_Match_Away_Points_per_Game,Pre_Match_Away_Overall_Points_per_Game
0,Brazil Serie C,2025-06-16,00:00:00,9,Guarani,Itabaiana,2.1,2.0,6.75,1.48,2.5,3.22,1.3,8.0,1.05,0.0,0.0,1.66,3.26,4.75,1.07,7.0,1.42,2.62,2.3,1.5,2.38,1.47,2.6,1.28,1.25,1.87,1.59,3.46,25.0,38.0,38.0,1.0,1.0,0.0,0.88
1,Brazil Serie C,2025-06-16,00:00:00,9,Ypiranga Erechim,Confiança,3.0,1.85,3.8,1.55,2.3,3.52,1.22,10.0,1.02,0.0,0.0,1.71,3.55,3.94,1.04,6.85,1.55,2.3,2.1,1.6,2.1,1.73,1.48,1.33,1.33,1.4,1.4,2.8,25.0,25.0,25.0,2.25,1.63,0.25,0.88
2,Canada Canadian Premier League,2025-06-16,01:00:00,0,Atlético Ottawa,Valour FC,1.93,2.3,4.75,1.27,3.0,2.45,1.4,6.5,1.09,0.0,0.0,1.43,4.2,5.8,1.02,11.0,1.25,3.9,1.73,1.91,1.75,1.95,2.1,1.26,1.18,1.74,1.4,3.14,25.0,50.0,75.0,2.5,2.1,0.25,0.89
9,USA MLS Next Pro,2025-06-16,01:00:00,0,Philadelphia Union II,Crown Legacy,2.1,2.51,4.45,1.22,3.6,2.07,1.69,4.35,1.17,0.0,0.0,1.83,3.8,3.25,1.01,17.0,1.12,4.8,1.42,2.55,1.45,2.45,1.97,1.13,1.17,2.84,1.11,3.95,10.0,33.0,65.0,1.75,1.78,1.0,1.18
3,Brazil Serie B,2025-06-16,01:30:00,12,Criciúma,Amazonas,2.31,1.95,5.5,1.5,2.56,3.2,1.25,7.9,1.04,0.0,0.0,1.84,2.98,4.2,1.09,7.5,1.53,2.25,2.41,1.5,2.1,1.65,2.11,1.3,1.15,1.99,1.12,3.11,19.0,9.0,37.0,1.33,1.09,0.2,0.91
4,Chile Primera División,2025-06-16,02:00:00,14,Ñublense,Audax Italiano,3.1,2.05,3.75,1.44,2.63,3.25,1.33,10.0,1.06,0.0,0.0,2.33,3.26,3.09,1.07,7.5,1.38,2.88,2.15,1.67,1.91,1.8,1.55,1.32,1.39,1.78,1.21,2.99,9.0,38.0,54.0,1.14,1.15,1.17,2.0
5,Sweden Damallsvenskan,2025-06-16,19:00:00,11,Hammarby,Djurgården W,1.37,3.0,10.5,1.21,3.9,2.14,1.68,4.0,1.18,0.0,0.0,1.17,6.3,12.5,1.02,19.0,1.1,5.7,1.4,2.7,2.1,1.65,3.8,1.11,1.13,1.84,1.75,3.59,0.0,68.0,68.0,3.0,2.2,2.25,2.1
6,Republic of Ireland Premier Division,2025-06-16,20:45:00,25,St Patrick's Athl.,Shelbourne,2.75,2.0,4.0,1.49,2.5,3.08,1.3,8.0,1.06,0.0,0.0,2.05,3.16,3.52,1.06,7.0,1.35,2.65,2.25,1.6,1.95,1.75,1.67,1.34,1.25,1.64,1.49,3.13,26.0,32.0,48.0,2.0,1.5,1.22,1.35
7,Republic of Ireland Premier Division,2025-06-16,20:45:00,25,Drogheda United,Shamrock Rovers,5.21,2.2,2.42,1.4,2.7,2.98,1.36,7.0,1.07,0.0,0.0,3.75,3.45,1.73,1.06,8.25,1.34,3.02,2.12,1.73,2.04,1.82,1.2,1.3,1.25,1.43,1.66,3.09,42.0,21.0,68.0,1.78,1.55,1.8,1.95
8,Iceland Úrvalsdeild,2025-06-16,21:15:00,11,Víkingur Reykjavík,KR,1.95,2.87,3.75,1.15,4.75,1.75,2.07,3.22,1.3,0.0,0.0,1.58,4.6,4.0,1.0,23.0,1.03,9.0,1.26,3.48,1.31,3.1,2.25,1.18,1.2,1.75,1.93,3.68,70.0,50.0,80.0,3.0,2.0,0.6,1.3
