,Unnamed: 0,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,1,xtdct65F,2025-01-06,09:00,AUSTRALIA - A-LEAGUE,Macarthur FC,Adelaide United,ROUND 12,3.0,3.8,2.2,1.2,4.33,1.01,23.0,1.1,7.0,1.36,3.2,1.33,3.25
2,2,GMD30P9C,2025-01-06,15:00,INDIA - ISL,East Bengal,Mumbai City,ROUND 15,3.4,3.5,1.9,1.36,3.0,1.03,12.0,1.22,3.75,1.83,1.98,1.73,2.0
3,3,0OY6wupo,2025-01-06,17:00,GREECE - SUPER LEAGUE,Panetolikos,Olympiacos Piraeus,ROUND 17,8.5,4.5,1.38,1.44,2.63,1.06,10.0,1.33,3.25,2.05,1.75,2.38,1.53
4,4,ptrROuvh,2025-01-06,18:00,TURKEY - 1. LIG,Sakaryaspor,Genclerbirligi,ROUND 18,2.38,3.4,2.7,1.4,2.75,1.03,11.0,1.25,3.5,1.95,1.85,1.73,2.0
5,5,fZZXQHWa,2025-01-06,19:00,ISRAEL - LIGAT HA'AL,Maccabi Bnei Raina,Hapoel Jerusalem,ROUND 17,2.25,3.2,3.2,1.53,2.38,1.05,8.0,1.41,2.62,2.4,1.53,2.1,1.67
6,6,OrDEIVnf,2025-01-06,19:00,PORTUGAL - LIGA PORTUGAL 2,Benfica B,FC Porto B,ROUND 17,1.83,3.5,3.8,1.36,3.0,1.03,11.0,1.22,3.75,1.85,2.0,1.73,2.0
7,7,xzwPOn7T,2025-01-06,19:30,ISRAEL - LIGAT HA'AL,Maccabi Haifa,Beitar Jerusalem,ROUND 17,1.73,3.8,4.33,1.29,3.5,1.02,17.0,1.11,5.5,1.53,2.4,1.53,2.38
8,8,2g6Z30ht,2025-01-06,21:00,ENGLAND - PREMIER LEAGUE,Wolves,Nottingham,ROUND 20,3.4,3.2,2.25,1.44,2.63,1.07,9.0,1.36,3.2,2.1,1.73,1.8,1.95
9,9,Ms17RYu1,2025-01-06,21:00,ENGLAND - CHAMPIONSHIP,QPR,Luton,ROUND 26,2.38,3.2,3.0,1.5,2.5,1.08,8.0,1.4,3.0,2.2,1.67,1.91,1.8
10,10,8tbVgaNa,2025-01-06,21:15,PORTUGAL - LIGA PORTUGAL,Gil Vicente,Rio Ave,ROUND 17,2.2,3.2,3.4,1.44,2.63,1.05,9.0,1.33,3.0,2.15,1.67,1.91,1.91
