,League,Date,Time,Round,Home,Away,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_BTTS_Yes,HT_Odd_BTTS_No,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Lay_Home,FT_Odd_Lay_Draw,FT_Odd_Lay_Away,Pre_Match_Home_Expected_Goals,Pre_Match_Away_Expected_Goals,Pre_Match_Total_Expected_Goals,BTTS_First_Half_Potential,BTTS_Second_Half_Potential,BTTS_Potential,Pre_Match_Home_Points_per_Game,Pre_Match_Home_Overall_Points_per_Game,Pre_Match_Away_Points_per_Game,Pre_Match_Away_Overall_Points_per_Game
0,Brazil Serie B,2025-06-17,00:00:00,12,Chapecoense,Ferroviária,2.99,1.62,5.2,1.62,2.25,3.8,1.22,7.8,1.03,0.0,0.0,1.95,2.87,3.89,1.15,5.0,1.48,2.37,2.5,1.5,2.25,1.6,1.67,1.36,1.4,1.66,1.47,3.13,19.0,29.0,47.0,2.4,1.45,1.0,1.36
1,Brazil Serie C,2025-06-17,00:30:00,9,Náutico,Maringá,2.92,2.03,3.5,1.42,2.62,2.84,1.35,6.8,1.07,0.0,0.0,2.28,3.1,2.8,1.04,9.5,1.29,3.15,2.05,1.73,1.67,2.0,1.52,1.3,1.33,1.52,1.73,3.25,25.0,25.0,50.0,1.25,1.13,1.25,1.63
2,Brazil Serie C,2025-06-17,00:30:00,9,CSA,Floresta,2.19,2.03,7.23,1.5,2.4,3.25,1.26,9.1,1.03,0.0,0.0,1.6,3.4,5.5,1.07,7.0,1.44,2.59,2.35,1.53,2.3,1.55,2.3,1.31,1.09,1.89,1.15,3.04,25.0,13.0,38.0,1.75,1.5,1.25,1.5
3,Chile Primera B,2025-06-17,02:00:00,0,Copiapó,San Luis,2.3,2.19,4.73,1.34,3.1,2.62,1.43,6.2,1.09,0.0,0.0,2.01,3.21,3.21,1.01,10.0,1.26,3.5,2.0,1.67,1.73,1.9,1.99,0.0,1.19,2.03,1.49,3.52,7.0,35.0,38.0,2.33,2.0,1.0,1.33
4,Chile Primera División,2025-06-17,02:00:00,14,Deportes Iquique,Everton,3.2,2.0,3.75,1.5,2.5,3.4,1.3,10.0,1.06,0.0,0.0,2.68,3.32,2.53,1.04,7.1,1.5,2.52,2.35,1.57,2.0,1.73,1.52,1.36,1.37,1.6,1.47,3.07,17.0,0.0,33.0,0.5,0.38,0.67,0.85
5,South Korea K League 1,2025-06-17,12:30:00,19,Daegu,Pohang Steelers,4.33,2.25,2.5,1.36,3.0,2.63,1.44,7.0,1.1,0.0,0.0,3.53,3.25,1.89,1.05,9.5,1.28,3.55,1.86,1.84,1.73,2.0,1.28,1.25,1.77,1.83,1.48,3.31,17.0,17.0,62.0,1.11,0.67,1.33,1.56
6,South Korea K League 1,2025-06-17,12:30:00,19,Jeonbuk Motors,Suwon,2.2,2.25,5.5,1.36,3.0,2.75,1.4,7.0,1.1,0.0,0.0,1.6,3.55,4.7,1.05,9.0,1.3,3.45,1.87,1.83,1.83,1.83,2.2,1.2,1.15,1.6,1.27,2.87,22.0,22.0,61.0,1.78,2.11,0.44,0.89
7,South Korea K League 1,2025-06-17,12:30:00,19,FC Seoul,Gangwon,2.25,2.05,5.25,1.48,2.5,3.2,1.3,7.8,1.02,0.0,0.0,1.6,3.32,5.2,1.08,7.5,1.42,2.8,2.0,1.72,2.1,1.62,2.15,1.25,1.14,1.66,0.92,2.58,11.0,25.0,54.0,1.13,1.39,1.33,1.17
8,China Chinese Super League,2025-06-17,13:35:00,6,Beijing Guoan,Qingdao Youth Island,1.91,2.5,6.0,1.29,3.5,2.25,1.57,5.5,1.14,0.0,0.0,1.32,5.1,7.0,1.03,10.0,1.17,4.75,1.36,2.9,1.7,2.05,2.7,1.14,1.08,1.97,1.22,3.19,29.0,29.0,74.0,2.67,2.23,1.0,1.38
9,Estonia Meistriliiga,2025-06-17,17:00:00,17,Kuressaare,Tammeka,2.5,2.3,3.75,1.3,3.1,2.35,1.5,5.0,1.12,0.0,0.0,2.09,3.35,3.2,1.04,13.0,1.2,4.2,1.67,2.1,1.57,2.3,1.7,1.25,1.3,1.51,1.22,2.73,13.0,44.0,63.0,1.13,0.81,0.5,0.81
