,League,Date,Time,Round,Home,Away,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_BTTS_Yes,HT_Odd_BTTS_No,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Lay_Home,FT_Odd_Lay_Draw,FT_Odd_Lay_Away,Pre_Match_Home_Expected_Goals,Pre_Match_Away_Expected_Goals,Pre_Match_Total_Expected_Goals,BTTS_First_Half_Potential,BTTS_Second_Half_Potential,BTTS_Potential,Pre_Match_Home_Points_per_Game,Pre_Match_Home_Overall_Points_per_Game,Pre_Match_Away_Points_per_Game,Pre_Match_Away_Overall_Points_per_Game
16,South America Copa Libertadores,2025-05-08,00:00:00,4,Bahia,Nacional,2.05,2.3,6.5,1.4,2.75,2.75,1.4,8.0,1.08,0.0,0.0,1.47,3.8,5.7,1.05,9.0,1.3,3.35,1.91,1.79,2.05,1.7,2.37,1.23,1.13,1.92,1.38,3.3,25.0,13.0,31.0,2.14,2.14,0.33,0.33
15,South America Copa Libertadores,2025-05-08,00:00:00,4,Deportivo Táchira,LDU Quito,4.75,2.0,2.63,1.5,2.5,3.5,1.29,10.0,1.06,0.0,0.0,3.41,3.13,1.97,1.09,7.0,1.48,2.37,2.26,1.64,2.1,1.67,1.33,1.36,1.58,1.05,1.68,2.73,0.0,0.0,17.0,0.0,0.0,1.67,1.67
0,South America Copa Libertadores,2025-05-08,02:00:00,4,Universidad Chile,Estudiantes,3.1,1.95,4.0,1.53,2.38,3.5,1.29,11.0,1.05,0.0,0.0,2.23,2.91,3.05,1.09,7.0,1.49,2.62,2.37,1.48,2.1,1.67,1.57,1.28,1.36,1.12,1.64,2.76,0.0,0.0,50.0,2.33,2.33,2.0,2.0
1,South America Copa Libertadores,2025-05-08,02:30:00,4,Cerro Porteño,Palmeiras,5.0,2.1,2.5,1.44,2.63,3.25,1.33,10.0,1.06,0.0,0.0,4.2,3.07,1.8,1.08,7.5,1.42,2.8,2.15,1.57,2.0,1.75,1.22,1.28,1.85,1.94,1.95,3.89,50.0,75.0,62.0,2.29,2.29,3.0,3.0
2,South America Copa Libertadores,2025-05-08,02:30:00,4,Central Córdoba SdE,Flamengo,6.0,2.1,2.25,1.44,2.63,3.25,1.33,9.0,1.07,0.0,0.0,5.1,3.45,1.57,1.07,8.0,1.4,2.88,2.1,1.61,2.1,1.67,1.14,1.22,2.1,1.8,1.65,3.45,25.0,0.0,50.0,2.33,2.33,1.33,1.33
3,South America Copa Libertadores,2025-05-08,04:00:00,4,Sporting Cristal,Bolívar,2.6,2.4,3.75,1.29,3.5,2.25,1.57,5.5,1.14,0.0,0.0,1.93,3.5,3.17,1.04,10.0,1.2,4.33,1.55,2.2,1.5,2.5,1.7,1.22,1.33,1.09,2.27,3.36,50.0,100.0,67.0,0.33,0.33,1.0,1.0
4,Georgia Erovnuli Liga,2025-05-08,17:00:00,13,Dinamo Tbilisi,Telavi,1.62,2.6,11.0,1.3,3.2,2.63,1.44,6.0,1.11,0.0,0.0,1.18,5.7,14.0,1.02,13.0,1.2,4.33,1.92,1.75,2.38,1.53,3.9,1.12,1.04,1.46,0.55,2.01,0.0,42.0,50.0,2.17,1.58,0.5,0.92
5,Oman Professional League,2025-05-08,17:15:00,22,Al Seeb,Al Nasr,1.72,2.4,6.2,1.33,2.92,2.61,1.41,5.6,1.1,0.0,0.0,1.29,4.6,9.2,1.02,10.0,1.22,3.7,1.76,1.94,2.15,1.6,3.2,0.0,1.1,1.93,1.0,2.93,5.0,33.0,35.0,2.4,2.38,1.6,1.29
6,Oman Professional League,2025-05-08,17:15:00,22,Al-Nahda,Al-Rustaq,2.4,2.05,5.18,1.44,2.62,3.2,1.3,8.5,1.05,0.0,0.0,1.74,3.25,4.6,1.06,7.5,1.36,2.88,2.21,1.59,2.1,1.7,1.91,0.0,1.29,1.38,1.06,2.44,5.0,25.0,35.0,2.0,2.1,1.3,1.1
7,Oman Professional League,2025-05-08,17:15:00,22,Sohar,Oman Club,2.8,2.05,3.2,1.38,2.72,2.84,1.35,7.0,1.07,0.0,0.0,2.23,3.35,2.84,1.03,9.0,1.3,3.2,1.94,1.76,1.8,1.87,1.47,0.0,1.25,1.18,1.12,2.3,5.0,31.0,35.0,1.4,1.0,2.6,2.0
