,League,Date,Time,Round,Home,Away,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_BTTS_Yes,HT_Odd_BTTS_No,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Lay_Home,FT_Odd_Lay_Draw,FT_Odd_Lay_Away,Pre_Match_Home_Expected_Goals,Pre_Match_Away_Expected_Goals,Pre_Match_Total_Expected_Goals,BTTS_First_Half_Potential,BTTS_Second_Half_Potential,BTTS_Potential,Pre_Match_Home_Points_per_Game,Pre_Match_Home_Overall_Points_per_Game,Pre_Match_Away_Points_per_Game,Pre_Match_Away_Overall_Points_per_Game
0,Brazil Serie B,2025-06-03,00:00:00,10,Chapecoense,Amazonas,2.62,2.05,4.33,1.44,2.5,3.2,1.32,9.0,1.06,0.0,0.0,2.04,2.93,3.47,1.08,8.0,1.36,2.8,2.37,1.48,1.91,1.83,1.73,1.31,1.25,1.63,1.1,2.73,25.0,25.0,63.0,2.25,1.44,0.25,0.78
1,Chile Primera División,2025-06-03,00:00:00,13,Cobresal,Deportes Iquique,2.32,2.23,4.45,1.32,3.1,2.53,1.46,5.95,1.07,0.0,0.0,1.82,3.72,4.05,1.02,10.0,1.19,3.8,1.75,2.04,1.65,2.11,1.95,1.26,1.23,1.73,1.31,3.04,17.0,34.0,67.0,1.83,1.58,0.33,0.45
2,Brazil Serie C,2025-06-03,00:30:00,8,São Bernardo,CSA,2.68,1.91,4.7,1.48,2.45,3.5,1.3,9.5,1.04,0.0,0.0,1.63,3.36,4.8,1.06,7.0,1.4,2.7,2.0,1.67,2.0,1.72,1.69,1.33,1.38,1.7,1.14,2.84,0.0,33.0,33.0,1.67,1.57,0.67,1.29
3,Brazil Serie B,2025-06-03,02:00:00,10,Paysandu,Criciúma,2.88,1.85,4.05,1.52,2.4,3.3,1.27,8.2,1.02,0.0,0.0,2.25,2.81,3.14,1.08,7.0,1.46,2.6,2.25,1.53,1.95,1.72,1.6,1.34,1.4,1.81,1.31,3.12,38.0,13.0,63.0,0.5,0.44,0.25,0.67
4,Chile Primera División,2025-06-03,21:00:00,13,Unión Española,Deportes Limache,2.75,2.38,3.4,1.3,3.4,2.38,1.53,6.0,1.13,0.0,0.0,2.16,3.75,3.03,1.01,11.0,1.14,4.45,1.65,2.2,1.53,2.38,1.62,1.3,1.36,1.56,1.66,3.22,0.0,40.0,60.0,0.6,0.55,0.2,0.92
