,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,MEXICO - LIGA MX,2025-04-21,05:00,Juarez,Queretaro, CLAUSURA,1.57,4.1,5.25,1.4,2.75,2.75,1.4,1.04,13.0,1.25,3.75,1.88,1.98,1.95,1.8
2,BRAZIL - SERIE B,2025-04-21,00:00,Athletico-PR,CRB, ROUND 4,1.45,4.1,7.5,1.44,2.63,3.25,1.33,1.06,10.0,1.33,3.25,2.1,1.7,2.25,1.57
3,COSTA RICA - PRIMERA DIVISION,2025-04-21,00:00,Herediano,Santa Ana, CLAUSURA,1.42,4.5,6.5,1.36,3.0,2.63,1.44,1.04,12.0,1.25,3.75,1.75,2.05,2.0,1.73
4,VENEZUELA - LIGA FUTVE,2025-04-21,00:00,Portuguesa,Metropolitanos, APERTURA,2.55,3.0,2.7,1.5,2.5,3.3,1.29,1.07,7.0,1.4,2.75,2.25,1.57,1.95,1.75
5,URUGUAY - LIGA AUF URUGUAYA,2025-04-21,00:30,Defensor Sp.,Progreso, APERTURA,1.55,3.7,6.5,1.36,3.0,2.75,1.4,1.05,11.0,1.25,3.75,1.88,1.98,1.83,1.83
6,BRAZIL - SERIE B,2025-04-21,01:00,America MG,Goias, ROUND 4,2.0,3.1,4.1,1.5,2.5,3.4,1.3,1.08,7.5,1.36,3.0,2.25,1.62,1.91,1.8
7,COLOMBIA - PRIMERA B,2025-04-21,01:00,Cartagena,Jaguares de Cordoba, APERTURA,2.0,3.3,3.4,1.36,2.88,2.88,1.36,1.05,8.0,1.36,2.88,2.2,1.62,1.91,1.8
8,COLOMBIA - PRIMERA B,2025-04-21,01:00,Huila,Leones, APERTURA,1.4,4.33,6.5,1.33,3.0,2.75,1.4,1.02,10.0,1.29,3.4,1.83,1.83,2.0,1.73
9,ECUADOR - LIGA PRO,2025-04-21,01:00,Delfin,Macara, ROUND 9,2.35,3.1,3.2,1.53,2.38,3.75,1.25,1.08,8.0,1.44,2.63,2.4,1.53,2.0,1.73
10,MEXICO - LIGA MX,2025-04-21,01:00,Santos Laguna,Club Tijuana, CLAUSURA,2.55,3.5,2.63,1.22,4.0,2.05,1.75,1.02,21.0,1.1,7.0,1.4,2.88,1.36,3.0
11,PARAGUAY - COPA DE PRIMERA,2025-04-21,01:15,Cerro Porteno,Sportivo Trinidense, APERTURA,1.67,3.7,4.75,1.4,2.75,2.75,1.4,1.05,11.0,1.3,3.4,1.98,1.83,1.83,1.83
12,COLOMBIA - PRIMERA A,2025-04-21,01:20,Dep. Cali,Atl. Nacional, APERTURA,3.25,3.0,2.4,1.5,2.5,3.4,1.3,1.08,7.5,1.36,3.0,2.25,1.62,1.83,1.83
13,ARGENTINA - TORNEO BETANO,2025-04-21,01:30,Rosario Central,Instituto, APERTURA,2.05,3.0,4.33,1.67,2.1,4.5,1.18,1.13,6.0,1.62,2.2,3.1,1.36,2.5,1.5
14,BOLIVIA - DIVISION PROFESIONAL,2025-04-21,01:30,Wilstermann,Academia del Balompie, ROUND 4,1.9,3.9,3.6,1.36,3.0,2.63,1.44,1.04,13.0,1.22,4.0,1.73,2.08,1.73,2.0
15,BRAZIL - SERIE A BETANO,2025-04-21,01:30,Bragantino,Cruzeiro, ROUND 5,2.25,3.2,3.4,1.44,2.63,3.4,1.3,1.08,8.0,1.36,3.2,2.15,1.67,1.91,1.91
16,CHILE - LIGA DE PRIMERA,2025-04-21,02:00,Nublense,Coquimbo, ROUND 8,2.75,3.4,2.4,1.5,2.5,3.5,1.29,1.07,8.5,1.4,2.75,2.25,1.62,2.0,1.73
17,COSTA RICA - PRIMERA DIVISION,2025-04-21,02:00,Sporting San Jose,Zeledon, CLAUSURA,1.73,3.5,4.75,1.44,2.63,3.25,1.33,1.06,10.0,1.33,3.25,2.08,1.73,2.0,1.73
18,MEXICO - LIGA MX,2025-04-21,03:00,Atl. San Luis,Pachuca, CLAUSURA,4.75,4.5,1.6,1.25,3.75,2.2,1.62,1.02,19.0,1.14,5.5,1.48,2.6,1.57,2.25
19,MEXICO - LIGA MX,2025-04-21,03:05,Club Leon,Monterrey, CLAUSURA,2.63,3.4,2.63,1.33,3.25,2.63,1.44,1.04,13.0,1.2,4.33,1.67,2.15,1.57,2.25
20,AUSTRIA - 2. LIGA,2025-04-21,10:30,Bregenz,Floridsdorfer AC, ROUND 25,2.9,3.4,2.2,1.3,3.2,2.63,1.44,1.02,10.0,1.25,3.75,1.73,2.0,1.6,2.2
21,POLAND - EKSTRAKLASA,2025-04-21,12:15,Puszcza,Radomiak Radom, ROUND 29,2.8,3.3,2.4,1.44,2.63,3.0,1.36,1.06,9.5,1.3,3.4,2.05,1.8,1.8,1.95
22,ITALY - SERIE A,2025-04-21,12:30,Torino,Udinese, ROUND 33,2.4,2.88,3.4,1.53,2.38,3.75,1.25,1.11,6.5,1.5,2.63,2.5,1.53,2.0,1.75
23,ITALY - SERIE B,2025-04-21,12:30,Sudtirol,Bari, ROUND 34,2.63,2.8,3.1,1.5,2.5,3.5,1.29,1.08,8.0,1.4,2.75,2.3,1.6,1.95,1.8
24,DENMARK - 1ST DIVISION,2025-04-21,13:00,Hvidovre IF,Odense, PROMOTION GROUP,3.6,3.6,1.95,1.4,2.75,3.0,1.36,1.06,10.0,1.3,3.4,2.0,1.85,1.8,1.91
25,SWEDEN - SUPERETTAN,2025-04-21,13:00,Varberg,Umea FC, ROUND 4,1.7,3.8,4.2,1.36,3.0,2.63,1.44,1.04,13.0,1.25,3.75,1.8,2.0,1.8,1.95
26,ENGLAND - LEAGUE TWO,2025-04-21,13:30,Newport,Walsall, ROUND 44,6.0,3.75,1.55,1.36,3.0,2.63,1.44,1.04,13.0,1.22,4.0,1.8,2.0,1.83,1.83
