,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,ARGENTINA - TORNEO BETANO,2025-04-28,00:00,Instituto,Sarmiento Junin, APERTURA,1.83,3.4,4.75,1.57,2.25,3.75,1.25,1.1,7.0,1.5,2.5,2.6,1.48,2.25,1.57
2,ARGENTINA - TORNEO BETANO,2025-04-28,00:00,Lanus,San Martin S.J., APERTURA,1.57,3.5,7.0,1.53,2.38,3.5,1.29,1.1,7.0,1.5,2.5,2.6,1.48,2.5,1.5
3,BRAZIL - SERIE B SUPERBET,2025-04-28,00:00,Cuiaba,Ferroviaria, ROUND 5,1.7,3.4,5.5,1.53,2.38,3.5,1.29,1.1,7.0,1.44,2.63,2.4,1.53,2.38,1.53
4,COLOMBIA - PRIMERA B,2025-04-28,00:00,Barranquilla,Huila, APERTURA,4.0,3.4,1.8,1.44,2.63,3.0,1.33,1.05,8.0,1.36,2.88,2.1,1.67,1.95,1.75
5,COSTA RICA - PRIMERA DIVISION,2025-04-28,01:00,Puntarenas FC,Alajuelense, CLAUSURA,3.5,3.5,1.95,1.5,2.5,3.4,1.3,1.08,8.0,1.44,2.63,2.35,1.57,2.1,1.67
6,ECUADOR - LIGA PRO,2025-04-28,01:00,Emelec,Tecnico U., ROUND 10,2.2,3.2,3.3,1.5,2.5,3.5,1.29,1.1,7.0,1.44,2.63,2.4,1.53,2.1,1.67
7,MEXICO - LIGA MX,2025-04-28,01:00,Juarez,UNAM Pumas, CLAUSURA,2.7,3.1,2.8,1.44,2.63,3.25,1.33,1.07,9.0,1.36,3.0,2.2,1.65,1.95,1.8
8,PERU - LIGA 1,2025-04-28,01:00,U. de Deportes,Cajamarca, APERTURA,1.17,8.5,11.0,1.29,3.5,2.25,1.57,1.03,17.0,1.18,4.5,1.57,2.35,2.63,1.44
9,USA - MLS,2025-04-28,01:00,Los Angeles FC,St. Louis City,-,1.48,4.33,6.5,1.3,3.4,2.5,1.5,1.03,15.0,1.2,4.33,1.67,2.15,1.8,1.95
10,PARAGUAY - COPA DE PRIMERA,2025-04-28,01:15,Ameliano,Libertad Asuncion, APERTURA,4.2,3.2,1.85,1.5,2.5,3.5,1.29,1.08,8.0,1.44,2.63,2.4,1.53,2.2,1.62
