,League,Date,Time,Round,Home,Away,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_BTTS_Yes,HT_Odd_BTTS_No,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Lay_Home,FT_Odd_Lay_Draw,FT_Odd_Lay_Away,Pre_Match_Home_Expected_Goals,Pre_Match_Away_Expected_Goals,Pre_Match_Total_Expected_Goals,BTTS_First_Half_Potential,BTTS_Second_Half_Potential,BTTS_Potential,Pre_Match_Home_Points_per_Game,Pre_Match_Home_Overall_Points_per_Game,Pre_Match_Away_Points_per_Game,Pre_Match_Away_Overall_Points_per_Game
0,Sweden Damallsvenskan,2025-06-14,15:00:00,11,Häcken W,AIK Women,1.39,3.52,15.0,1.14,4.9,1.86,2.0,3.6,1.29,0,0,1.03,14.0,19.0,1.0,21.0,1.05,6.5,1.22,3.83,2.2,1.48,8.3,1.03,1.0,2.4,1.19,3.59,20,40,50,2.4,2.1,0.8,1.6
1,Kazakhstan Kazakhstan Premier League,2025-06-14,15:00:00,12,Kyzyl-Zhar,Aktobe,3.6,2.05,2.78,1.4,2.61,3.0,1.33,8.7,1.06,0,0,3.03,3.23,2.17,1.0,9.3,1.35,3.1,1.94,1.76,1.8,1.85,1.32,1.31,1.62,1.65,1.45,3.1,24,24,63,1.33,1.18,1.86,2.08
2,Sweden Damallsvenskan,2025-06-14,15:00:00,11,Växjö,Norrköping W,4.25,2.08,2.47,1.41,2.65,2.92,1.34,7.0,1.06,0,0,2.84,3.25,2.28,1.06,9.0,1.3,3.2,1.9,1.8,1.78,2.0,1.25,1.26,1.25,1.7,1.35,3.05,19,27,55,0.67,1.0,1.2,1.0
3,Kazakhstan Kazakhstan Premier League,2025-06-14,15:00:00,12,Atyrau,Ulytau,2.7,2.2,3.68,1.32,2.95,2.76,1.37,7.5,1.08,0,0,2.53,3.25,2.53,1.06,7.0,1.29,3.3,1.93,1.77,1.71,1.97,1.73,1.34,1.29,0.97,1.01,1.98,7,40,46,0.5,0.31,0.67,0.73
4,Sweden Superettan,2025-06-14,15:00:00,12,Östersunds FK,Oddevold,2.88,2.2,3.75,1.4,2.75,2.75,1.4,8.0,1.08,0,0,2.15,3.19,2.92,1.07,8.5,1.33,3.3,1.92,1.78,1.8,1.95,1.65,1.25,1.33,1.68,1.37,3.05,40,40,60,1.6,1.45,2.6,1.82
5,Sweden Damallsvenskan,2025-06-14,15:00:00,11,Kristianstad,Brommapojkarna W,1.76,2.62,5.75,1.22,3.6,2.15,1.62,4.9,1.14,0,0,1.34,4.6,7.2,1.03,17.0,1.15,4.75,1.57,2.25,1.65,2.1,2.8,1.12,1.2,1.46,1.2,2.66,13,25,38,2.5,1.9,0.0,1.2
6,Sweden Damallsvenskan,2025-06-14,15:00:00,11,Vittsjö,Alingsås,1.74,2.55,7.2,1.27,3.3,2.35,1.5,5.5,1.11,0,0,1.26,5.7,7.7,1.01,11.5,1.2,4.3,1.61,2.05,2.12,1.67,3.2,1.1,1.18,2.17,0.93,3.1,10,50,60,2.0,1.2,0.0,0.4
7,Sweden Damallsvenskan,2025-06-14,15:00:00,11,Linköping,Rosengard Women,4.55,2.35,2.1,1.27,3.3,2.2,1.55,5.25,1.12,0,0,3.8,3.8,1.74,1.0,13.0,1.16,4.4,1.57,2.2,1.62,2.2,1.2,1.19,1.22,0.91,1.45,2.36,9,29,47,0.4,0.5,0.67,1.3
8,Kazakhstan Kazakhstan Premier League,2025-06-14,15:00:00,12,Zhetysu,Kairat,5.75,2.2,2.1,1.39,2.72,3.0,1.36,7.1,1.04,0,0,6.2,4.4,1.41,1.0,9.0,1.31,2.97,1.85,1.85,2.0,1.7,1.13,1.19,1.25,1.39,1.77,3.16,10,25,58,1.0,0.82,2.13,2.17
9,Sweden Superettan,2025-06-14,15:00:00,12,Kalmar,Landskrona,2.25,2.3,5.0,1.33,3.25,2.63,1.44,6.5,1.11,0,0,1.57,3.72,4.6,1.05,10.0,1.25,3.85,1.76,1.94,1.8,1.95,2.05,1.22,1.18,1.96,1.97,3.93,0,30,40,3.0,2.09,1.6,1.55
