,League,Date,Time,Round,Home,Away,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_BTTS_Yes,HT_Odd_BTTS_No,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Lay_Home,FT_Odd_Lay_Draw,FT_Odd_Lay_Away,Pre_Match_Home_Expected_Goals,Pre_Match_Away_Expected_Goals,Pre_Match_Total_Expected_Goals,BTTS_First_Half_Potential,BTTS_Second_Half_Potential,BTTS_Potential,Pre_Match_Home_Points_per_Game,Pre_Match_Home_Overall_Points_per_Game,Pre_Match_Away_Points_per_Game,Pre_Match_Away_Overall_Points_per_Game
0,Argentina Primera División,2025-07-22,00:00:00,2,Estudiantes,Huracán,3.0,1.91,4.75,1.62,2.2,4.0,1.22,13.0,1.04,0.0,0.0,2.15,3.0,3.8,1.12,5.75,1.6,2.2,2.88,1.4,2.38,1.53,1.66,1.37,1.26,1.99,1.23,3.22,22.0,7.0,42.0,2.0,1.11,1.6,1.55
1,Brazil Serie C,2025-07-22,00:30:00,0,Náutico,Caxias,2.71,1.87,4.3,1.57,2.25,3.6,1.25,10.0,1.02,0.0,0.0,2.0,2.88,3.7,1.11,6.25,1.55,2.3,2.69,1.42,2.24,1.6,1.75,1.31,1.24,1.6,1.22,2.82,34.0,9.0,50.0,1.5,1.42,1.5,2.25
2,Brazil Serie C,2025-07-22,00:30:00,0,Anápolis,Guarani,3.4,1.79,3.43,1.59,2.2,3.75,1.22,13.0,1.03,0.0,0.0,2.8,2.64,2.75,1.11,5.5,1.53,2.32,2.66,1.39,2.2,1.62,1.46,1.36,1.44,1.66,1.6,3.26,0.0,19.0,19.0,1.17,1.0,1.0,1.33
3,Chile Primera División,2025-07-22,01:00:00,16,Huachipato,O'Higgins,3.25,2.1,3.25,1.4,2.75,3.0,1.36,8.0,1.08,0.0,0.0,2.55,3.3,2.55,1.06,8.0,1.33,3.1,2.05,1.75,1.8,1.91,1.46,1.31,1.47,1.54,1.64,3.18,21.0,14.0,35.0,1.86,1.2,1.38,1.73
4,Argentina Primera División,2025-07-22,02:15:00,2,Defensa y Justicia,Aldosivi,2.5,2.05,5.0,1.44,2.63,3.4,1.3,10.0,1.06,0.0,0.0,1.83,3.3,4.5,1.08,7.5,1.42,2.85,2.25,1.62,2.05,1.7,1.85,1.32,1.21,1.78,1.59,3.37,7.0,34.0,41.0,1.14,1.17,0.88,0.94
5,Chile Primera B,2025-07-22,02:30:00,0,Santiago Wanderers,Unión San Felipe,2.48,2.08,4.3,1.4,2.75,2.7,1.4,6.5,1.06,0.0,0.0,1.87,3.45,3.62,1.03,10.0,1.29,3.3,1.93,1.81,1.78,1.91,1.87,1.27,1.2,2.08,1.53,3.61,14.0,41.0,75.0,1.75,1.69,0.43,0.81
6,South Korea K League 1,2025-07-22,12:30:00,23,Pohang Steelers,Suwon,2.55,2.05,4.0,1.4,2.7,2.85,1.37,7.5,1.08,0.0,0.0,1.9,3.29,3.45,1.06,8.5,1.33,3.25,1.96,1.74,1.83,1.85,1.78,1.3,1.26,1.75,1.3,3.05,10.0,19.0,48.0,1.73,1.45,0.4,0.9
7,South Korea K League 1,2025-07-22,12:30:00,23,Anyang,Daegu,2.55,2.1,3.8,1.36,2.87,2.6,1.44,6.5,1.1,0.0,0.0,1.9,3.32,3.45,1.05,9.0,1.28,3.6,1.7,2.02,1.7,2.0,1.75,1.29,1.28,1.48,1.27,2.75,14.0,36.0,69.0,1.09,1.09,0.27,0.64
8,South Korea K League 1,2025-07-22,12:30:00,23,Gwangju,Sangju Sangmu,3.25,2.2,3.25,1.4,2.75,2.75,1.4,8.0,1.08,0.0,0.0,2.56,3.06,2.48,1.06,8.5,1.31,3.45,1.91,1.79,1.67,2.1,1.44,1.33,1.47,1.5,1.75,3.25,23.0,32.0,60.0,1.36,1.41,1.55,1.59
9,Europe UEFA Champions League,2025-07-22,17:00:00,0,KuPS,Kairat,2.95,1.98,3.6,1.46,2.5,3.1,1.32,8.25,1.06,0.0,0.0,2.5,3.35,2.65,1.02,7.9,1.35,2.83,2.2,1.61,1.88,1.8,1.55,1.33,1.37,1.05,0.9,1.95,0.0,50.0,25.0,2.0,2.0,2.0,2.0
11,Europe UEFA Champions League,2025-07-22,18:00:00,0,Artsakh,Ferencváros,3.6,2.05,2.8,1.4,2.7,2.85,1.37,7.5,1.08,0.0,0.0,3.1,3.2,2.2,1.06,8.5,1.32,3.1,2.05,1.73,1.78,1.9,1.34,1.31,1.62,1.69,0.0,1.69,0.0,0.0,25.0,2.0,2.0,0.0,0.0
10,Europe UEFA Champions League,2025-07-22,18:00:00,0,Lincoln Red Imps,Red Star Belgrade,8.75,2.65,1.61,1.28,3.4,2.25,1.55,5.25,1.14,0.0,0.0,11.0,6.0,1.2,1.01,17.0,1.14,4.33,1.53,2.4,2.25,1.57,1.03,1.11,4.2,2.0,0.0,2.0,0.0,0.0,25.0,3.0,3.0,0.0,0.0
12,Europe UEFA Champions League,2025-07-22,19:00:00,0,Hamrun Spartans,Dynamo Kyiv,5.5,2.45,1.87,1.27,3.4,2.25,1.55,5.25,1.14,0.0,0.0,7.0,4.5,1.41,1.02,13.5,1.19,4.33,1.57,2.3,1.8,1.88,1.11,1.18,2.75,2.15,0.0,2.15,0.0,0.0,0.0,1.5,1.5,0.0,0.0
13,Europe UEFA Champions League,2025-07-22,19:00:00,0,København,Drita,1.4,3.1,12.0,1.2,4.33,1.91,1.8,4.0,1.22,0.0,0.0,1.13,7.6,18.0,1.01,19.0,1.12,5.47,1.42,2.75,2.25,1.57,6.75,1.06,1.01,0.0,1.38,1.38,50.0,50.0,25.0,0.0,0.0,3.0,3.0
14,Europe UEFA Champions League,2025-07-22,19:00:00,0,Paphos,Maccabi Tel Aviv,2.63,2.2,3.75,1.36,3.0,2.75,1.4,6.5,1.1,0.0,0.0,2.13,3.4,3.3,1.04,9.0,1.22,3.9,1.88,1.72,1.8,1.91,1.72,1.29,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Europe UEFA Champions League,2025-07-22,19:00:00,0,Viktoria Plzeň,Servette,2.2,2.3,4.75,1.33,3.25,2.63,1.44,6.0,1.11,0.0,0.0,1.77,3.3,4.3,1.04,9.0,1.25,3.8,1.75,1.95,1.8,1.91,2.15,1.25,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Europe UEFA Champions League,2025-07-22,19:00:00,0,Rīgas FS,Malmö FF,3.5,1.98,2.95,1.42,2.6,2.8,1.37,7.25,1.08,0.0,0.0,3.75,3.4,1.97,1.01,8.3,1.3,3.08,1.89,1.81,1.78,1.9,1.36,1.35,1.55,1.55,1.86,3.41,0.0,50.0,50.0,3.0,3.0,3.0,3.0
17,Europe UEFA Champions League,2025-07-22,20:00:00,0,Shkendija,FCSB,4.1,1.98,2.7,1.47,2.45,3.1,1.31,8.5,1.06,0.0,0.0,3.6,3.15,2.05,1.08,7.25,1.4,2.75,2.2,1.61,1.98,1.73,1.27,1.33,1.71,1.92,1.56,3.48,50.0,50.0,75.0,2.0,2.0,1.5,1.5
18,Europe UEFA Champions League,2025-07-22,20:15:00,0,Slovan Bratislava,Zrinjski,2.3,2.15,4.5,1.36,2.85,2.65,1.42,6.5,1.09,0.0,0.0,1.8,3.5,4.4,1.05,9.5,1.28,3.4,1.78,1.82,1.8,1.88,2.0,1.27,1.2,0.0,2.25,2.25,0.0,0.0,25.0,0.0,0.0,3.0,3.0
19,Europe UEFA Champions League,2025-07-22,20:30:00,0,Lech Poznań,Breidablik,1.7,2.65,6.5,1.24,3.6,2.15,1.61,4.8,1.16,0.0,0.0,1.3,6.5,6.0,1.02,15.5,1.17,4.75,1.56,2.27,1.88,1.8,3.3,1.14,1.08,0.0,1.64,1.64,0.0,0.0,0.0,0.0,0.0,1.5,1.5
20,Europe UEFA Champions League,2025-07-22,20:45:00,0,Rijeka,Ludogorets,2.85,1.98,3.75,1.44,2.55,2.95,1.34,8.0,1.07,0.0,0.0,2.22,3.25,3.2,1.08,7.5,1.37,2.87,2.29,1.55,1.87,1.82,1.61,1.33,1.32,0.0,2.06,2.06,0.0,50.0,25.0,0.0,0.0,2.0,2.0
21,Europe UEFA Champions League,2025-07-22,20:45:00,0,Rangers,Panathinaikos,2.3,2.25,4.33,1.36,3.0,2.63,1.44,6.5,1.1,0.0,0.0,1.87,3.3,3.8,1.04,10.0,1.22,4.2,1.8,1.9,1.73,2.0,1.93,1.27,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
