,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,WORLD - WORLD CHAMPIONSHIP,2025-03-21,00:00,Paraguay,Chile,QUALIFICATION ,1.83,3.1,5.25,1.57,2.25,3.75,1.25,1.1,7.0,1.5,2.5,2.6,1.48,2.25,1.57
2,URUGUAY - LIGA AUF URUGUAYA,2025-03-21,00:00,Penarol,Liverpool M.,APERTURA ,1.55,3.6,5.75,1.44,2.63,3.25,1.33,1.07,9.0,1.33,3.25,2.05,1.75,2.1,1.67
3,ARGENTINA - TORNEO BETANO,2025-03-21,01:00,Union de Santa Fe,Racing Club,APERTURA ,3.25,3.0,2.45,1.53,2.38,3.5,1.29,1.08,7.5,1.4,2.75,2.35,1.57,1.95,1.8
4,WORLD - WORLD CHAMPIONSHIP,2025-03-21,01:45,Brazil,Colombia,QUALIFICATION ,1.65,3.7,5.5,1.5,2.5,3.4,1.3,1.07,9.0,1.36,3.0,2.2,1.65,2.2,1.62
5,WORLD - WORLD CHAMPIONSHIP,2025-03-21,02:30,Peru,Bolivia,QUALIFICATION ,1.42,4.2,9.5,1.44,2.63,3.25,1.33,1.07,9.0,1.36,3.0,2.15,1.67,2.5,1.5
6,WORLD - WORLD CHAMPIONSHIP,2025-03-21,03:00,New Caledonia,Tahiti,QUALIFICATION ,1.62,3.4,5.0,1.4,2.75,2.75,1.4,1.05,11.0,1.25,3.75,1.9,1.9,1.83,1.83
7,WORLD - WORLD CHAMPIONSHIP,2025-03-21,07:00,New Zealand,Fiji,QUALIFICATION ,1.04,17.0,41.0,1.14,5.5,1.67,2.1,1.01,34.0,1.05,11.0,1.2,4.33,3.0,1.36
8,WORLD - WORLD CHAMPIONSHIP,2025-03-21,14:00,Botswana,Algeria,QUALIFICATION ,6.25,3.5,1.67,1.57,2.25,3.75,1.25,1.11,6.5,1.5,2.5,2.5,1.5,2.5,1.5
9,WORLD - WORLD CHAMPIONSHIP,2025-03-21,14:00,Equatorial Guinea,Sao Tome and Principe,QUALIFICATION ,1.17,6.5,23.0,1.36,3.0,2.75,1.4,1.06,9.5,1.29,3.5,1.93,1.93,3.75,1.25
10,WORLD - WORLD CHAMPIONSHIP,2025-03-21,17:00,Burkina Faso,Djibouti,QUALIFICATION ,1.07,12.0,29.0,1.25,3.75,2.2,1.62,1.04,13.0,1.17,5.0,1.53,2.4,3.75,1.25
11,WORLD - WORLD CHAMPIONSHIP,2025-03-21,17:00,D.R. Congo,South Sudan,QUALIFICATION ,1.13,8.0,26.0,1.36,3.0,2.63,1.44,1.06,10.0,1.25,3.75,1.85,2.0,3.75,1.25
12,WORLD - WORLD CHAMPIONSHIP,2025-03-21,17:00,Rwanda,Nigeria,QUALIFICATION ,5.25,2.88,1.95,1.62,2.2,4.0,1.22,1.13,6.0,1.53,2.38,2.7,1.44,2.38,1.53
