,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,ARGENTINA - TORNEO BETANO,2025-04-05,00:00,Estudiantes L.P.,Belgrano, APERTURA,1.8,3.4,4.75,1.44,2.63,3.25,1.33,1.07,9.0,1.36,3.0,2.15,1.67,2.0,1.75
2,BRAZIL - SERIE B,2025-04-05,00:00,Goias,Amazonas, ROUND 1,1.65,3.75,5.25,1.44,2.63,3.25,1.33,1.07,8.5,1.36,3.0,2.1,1.7,2.1,1.67
3,PERU - LIGA 1,2025-04-05,00:30,Binacional,Ayacucho, APERTURA,1.8,3.8,4.0,1.33,3.25,2.5,1.5,1.04,13.0,1.2,4.33,1.7,2.1,1.67,2.1
4,PARAGUAY - COPA DE PRIMERA,2025-04-05,01:30,Ameliano,Sportivo Trinidense, APERTURA,2.55,3.2,2.7,1.5,2.5,3.3,1.29,1.08,6.5,1.42,2.55,2.35,1.57,1.95,1.75
5,BOLIVIA - DIVISION PROFESIONAL,2025-04-05,02:00,Guabira,Aurora, ROUND 2,2.35,3.5,2.75,1.4,2.75,2.75,1.4,1.05,11.0,1.29,3.5,1.87,1.87,1.73,2.0
6,BRAZIL - SERIE B,2025-04-05,02:00,Criciuma,Operario-PR, ROUND 1,1.8,3.3,4.75,1.5,2.5,3.4,1.3,1.08,8.0,1.4,2.75,2.25,1.62,2.0,1.73
7,BRAZIL - SERIE B,2025-04-05,02:00,Paysandu PA,Athletico-PR, ROUND 1,2.55,3.2,2.75,1.44,2.63,3.25,1.33,1.07,9.0,1.36,3.0,2.15,1.67,1.83,1.83
8,COLOMBIA - PRIMERA A,2025-04-05,02:00,Santa Fe,Dep. Pasto, APERTURA,1.7,3.3,5.75,1.57,2.25,3.75,1.25,1.1,7.0,1.5,2.5,2.5,1.5,2.5,1.5
9,ECUADOR - LIGA PRO,2025-04-05,02:00,Libertad,EL Nacional, ROUND 7,2.5,3.2,2.9,1.44,2.63,3.0,1.36,1.06,9.5,1.3,3.4,2.03,1.75,1.73,2.0
10,VENEZUELA - LIGA FUTVE,2025-04-05,02:00,Anzoategui FC,Yaracuyanos, APERTURA,1.65,3.4,5.0,1.48,2.5,3.0,1.33,1.06,7.5,1.38,2.8,2.2,1.6,2.1,1.65
11,ARGENTINA - TORNEO BETANO,2025-04-05,03:00,San Martin S.J.,San Lorenzo, APERTURA,3.4,2.8,2.5,1.75,2.05,5.0,1.17,1.14,5.5,1.73,2.0,3.4,1.33,2.5,1.5
12,COSTA RICA - PRIMERA DIVISION,2025-04-05,03:00,San Carlos,Zeledon, CLAUSURA,1.85,3.4,4.2,1.5,2.5,3.4,1.3,1.08,8.0,1.4,2.75,2.25,1.62,2.1,1.67
13,MEXICO - LIGA MX,2025-04-05,03:00,Queretaro,Club Leon, CLAUSURA,4.33,3.7,1.8,1.36,3.0,2.75,1.4,1.05,11.0,1.25,3.75,1.88,1.98,1.8,1.95
14,PERU - LIGA 1,2025-04-05,03:00,Sport Huancayo,Deportivo Garcilaso, APERTURA,2.1,3.2,3.4,1.4,2.75,3.0,1.36,1.06,10.0,1.3,3.4,2.03,1.83,1.8,1.91
15,MEXICO - LIGA MX,2025-04-05,05:00,Club Tijuana,Necaxa, CLAUSURA,2.5,3.75,2.6,1.25,3.75,2.25,1.57,1.02,19.0,1.14,5.5,1.5,2.5,1.44,2.63
16,MEXICO - LIGA MX,2025-04-05,05:05,Puebla,Tigres UANL, CLAUSURA,3.9,3.5,1.95,1.4,2.75,3.0,1.36,1.06,10.0,1.29,3.5,1.98,1.88,1.8,1.95
17,AUSTRALIA - A-LEAGUE,2025-04-05,06:00,Auckland FC,WS Wanderers, ROUND 25,1.91,3.9,3.6,1.29,3.5,2.38,1.53,1.03,15.0,1.17,5.0,1.57,2.38,1.53,2.38
18,JAPAN - J2 LEAGUE,2025-04-05,06:00,Vegalta Sendai,Blaublitz, ROUND 8,2.15,3.1,3.6,1.5,2.5,3.5,1.29,1.08,8.0,1.4,2.75,2.35,1.57,2.0,1.73
19,JAPAN - J2 LEAGUE,2025-04-05,06:30,Kofu,Iwaki, ROUND 8,2.2,3.1,3.5,1.5,2.5,3.4,1.3,1.07,9.0,1.36,3.0,2.15,1.67,1.83,1.83
20,JAPAN - J1 LEAGUE,2025-04-05,07:00,Yokohama F. Marinos,Verdy, ROUND 9,2.2,3.4,3.3,1.4,2.75,3.0,1.36,1.05,11.0,1.29,3.5,1.98,1.88,1.75,2.0
21,JAPAN - J2 LEAGUE,2025-04-05,07:00,Chiba,Mito, ROUND 8,1.8,3.6,4.33,1.4,2.75,2.75,1.4,1.05,11.0,1.29,3.5,1.93,1.93,1.8,1.91
22,JAPAN - J2 LEAGUE,2025-04-05,07:00,Hokkaido Consadole Sapporo,Tokushima, ROUND 8,2.35,3.2,3.0,1.5,2.5,3.5,1.29,1.08,8.0,1.4,2.75,2.25,1.62,1.91,1.8
23,JAPAN - J2 LEAGUE,2025-04-05,07:00,Montedio Yamagata,Iwata, ROUND 8,2.4,3.6,2.7,1.36,3.0,2.75,1.4,1.04,12.0,1.25,3.75,1.83,2.03,1.67,2.1
24,JAPAN - J2 LEAGUE,2025-04-05,07:00,Omiya Ardija,Oita Trinita, ROUND 8,1.9,3.4,4.0,1.53,2.38,3.5,1.29,1.08,8.0,1.44,2.63,2.35,1.57,2.1,1.67
