,Unnamed: 0,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
25,25,Umt6fbth,2025-03-15,11:30,BULGARIA - PARVA LIGA,Hebar,Lok. Sofia,ROUND 25,3.7,3.4,2.0,1.5,2.5,3.4,1.3,1.08,8.0,1.4,2.75,2.2,1.65,2.0,1.73
26,26,8rNoQjzp,2025-03-15,11:30,TURKEY - SUPER LIG,Gaziantep,Kayserispor,ROUND 28,2.25,3.1,3.4,1.36,3.0,2.63,1.44,1.05,11.0,1.22,4.0,1.8,2.0,1.62,2.2
27,27,bgLXb2Da,2025-03-15,11:30,TURKEY - 1. LIG,Manisa FK,Pendikspor,ROUND 30,2.3,3.25,3.0,1.4,2.75,3.0,1.36,1.06,10.0,1.29,3.5,1.98,1.83,1.73,2.0
28,28,S6diaECm,2025-03-15,11:45,AUSTRALIA - A-LEAGUE,Perth Glory,Brisbane Roar,ROUND 23,2.7,3.5,2.5,1.3,3.4,2.5,1.5,1.03,15.0,1.2,4.5,1.62,2.3,1.5,2.5
29,29,UHs8m2M9,2025-03-15,12:00,PORTUGAL - LIGA PORTUGAL 2,Academico Viseu,Penafiel,ROUND 26,2.0,3.1,4.0,1.5,2.5,3.4,1.3,1.07,9.0,1.36,3.0,2.15,1.67,1.91,1.8
30,30,0hznS5Fa,2025-03-15,13:00,GERMANY - 2. BUNDESLIGA,Dusseldorf,Regensburg,ROUND 26,1.57,4.5,4.75,1.33,3.25,2.63,1.44,1.03,15.0,1.22,4.0,1.7,2.1,1.8,1.91
31,31,vaNDt5Uh,2025-03-15,13:00,GERMANY - 2. BUNDESLIGA,Elversberg,Preussen Munster,ROUND 26,1.67,3.8,4.75,1.36,3.0,2.75,1.4,1.05,11.0,1.25,3.75,1.88,1.98,1.83,1.83
32,32,UXR2ONEO,2025-03-15,13:00,GERMANY - 2. BUNDESLIGA,Paderborn,Kaiserslautern,ROUND 26,1.75,3.7,4.5,1.3,3.4,2.38,1.53,1.03,15.0,1.17,5.0,1.6,2.3,1.57,2.25
33,33,E1BWzrAl,2025-03-15,13:30,CZECH REPUBLIC - CHANCE LIGA,Mlada Boleslav,Bohemians,ROUND 26,2.05,3.5,3.4,1.33,3.25,2.63,1.44,1.04,13.0,1.22,4.0,1.73,2.08,1.62,2.2
34,34,je2t7jil,2025-03-15,13:30,ENGLAND - CHAMPIONSHIP,Millwall,Stoke,ROUND 38,2.15,3.1,3.6,1.57,2.25,3.75,1.25,1.11,6.5,1.53,2.5,2.63,1.5,2.2,1.62
35,35,GC47Lk6s,2025-03-15,13:30,ENGLAND - CHAMPIONSHIP,QPR,Leeds,ROUND 38,6.0,4.33,1.5,1.4,2.75,2.75,1.4,1.05,11.0,1.3,3.5,2.0,1.85,2.0,1.73
36,36,MLLT05qC,2025-03-15,13:30,ENGLAND - LEAGUE ONE,Bolton,Stockport County,ROUND 37,2.55,3.4,2.63,1.44,2.63,3.25,1.33,1.06,10.0,1.33,3.25,2.05,1.75,1.8,1.95
37,37,fZJyaqEO,2025-03-15,13:30,ENGLAND - LEAGUE ONE,Cambridge Utd,Peterborough,ROUND 37,3.0,3.6,2.2,1.36,3.0,2.63,1.44,1.04,13.0,1.22,4.0,1.75,2.05,1.67,2.1
38,38,4jYCxUj2,2025-03-15,13:30,ENGLAND - LEAGUE TWO,Crewe,Doncaster,ROUND 37,3.2,3.3,2.25,1.44,2.63,3.25,1.33,1.07,9.0,1.33,3.25,2.08,1.73,1.83,1.83
39,39,v9nek7z8,2025-03-15,13:30,ENGLAND - LEAGUE TWO,Swindon,Cheltenham,ROUND 37,1.95,3.5,3.75,1.4,2.75,2.75,1.4,1.05,11.0,1.29,3.5,1.95,1.9,1.73,2.0
40,40,GppsqB6r,2025-03-15,14:00,SPAIN - LALIGA,Valladolid,Celta Vigo,ROUND 28,5.0,3.8,1.67,1.4,2.75,2.75,1.4,1.06,10.0,1.33,3.4,2.05,1.85,1.95,1.8
41,41,21vEhxB4,2025-03-15,14:00,BULGARIA - PARVA LIGA,Ludogorets,Botev Vratsa,ROUND 25,1.1,9.5,21.0,1.25,3.75,2.2,1.62,1.03,15.0,1.14,5.5,1.5,2.5,2.75,1.4
42,42,nPADhypo,2025-03-15,14:00,FRANCE - LIGUE 2,Dunkerque,Metz,ROUND 27,2.8,3.2,2.35,1.44,2.63,3.25,1.33,1.06,10.0,1.33,3.25,2.05,1.75,1.83,1.83
43,43,fuB7EI64,2025-03-15,14:00,FRANCE - LIGUE 2,Laval,Paris FC,ROUND 27,3.6,3.2,2.0,1.5,2.5,3.4,1.3,1.07,9.0,1.36,3.0,2.2,1.65,2.0,1.73
44,44,EoL0ANxP,2025-03-15,14:00,GERMANY - 3. LIGA,Dortmund II,Viktoria Koln,ROUND 29,2.4,3.5,2.8,1.33,3.25,2.63,1.44,1.04,13.0,1.2,4.33,1.7,2.1,1.57,2.25
45,45,8Yk0Cq8C,2025-03-15,14:00,GERMANY - 3. LIGA,Hannover II,Wehen,ROUND 29,3.1,3.5,2.2,1.36,3.0,2.63,1.44,1.04,12.0,1.22,4.0,1.75,2.05,1.62,2.2
46,46,vgbqGR8m,2025-03-15,14:00,GERMANY - 3. LIGA,RW Essen,SG Dynamo Dresden,ROUND 29,3.3,3.3,2.2,1.3,3.4,2.5,1.5,1.04,13.0,1.18,4.5,1.65,2.2,1.53,2.38
