,Unnamed: 0,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
108,108,GE1UB2RO,2025-03-15,16:00,SCOTLAND - CHAMPIONSHIP,Queen's Park,Falkirk,ROUND 29,4.5,4.0,1.57,1.36,3.0,2.63,1.44,1.04,9.0,1.22,4.0,1.75,2.05,1.83,1.83
109,109,2FJLJdV9,2025-03-15,16:15,SPAIN - LALIGA,Mallorca,Espanyol,ROUND 28,1.75,3.3,5.0,1.57,2.25,3.75,1.25,1.1,7.0,1.5,2.63,2.63,1.5,2.25,1.57
110,110,KEtX0rDU,2025-03-15,16:15,SPAIN - LALIGA2,Albacete,Malaga,ROUND 31,1.91,3.4,4.0,1.44,2.63,3.4,1.3,1.07,9.0,1.36,3.0,2.15,1.67,2.0,1.73
111,111,SrbsHf3S,2025-03-15,16:15,SPAIN - LALIGA2,FC Cartagena SAD,Burgos CF,ROUND 31,4.33,3.1,1.95,1.62,2.2,4.0,1.22,1.13,6.0,1.57,2.25,2.7,1.44,2.38,1.53
112,112,ChBIlDfl,2025-03-15,16:30,NETHERLANDS - EREDIVISIE,Utrecht,Nijmegen,ROUND 26,1.75,3.75,4.33,1.33,3.25,2.5,1.5,1.03,15.0,1.2,4.33,1.67,2.15,1.67,2.1
113,113,pQ7mxHQN,2025-03-15,16:30,BULGARIA - PARVA LIGA,CSKA Sofia,Cherno More,ROUND 25,1.73,3.4,5.0,1.5,2.5,3.4,1.3,1.07,9.0,1.36,3.0,2.2,1.65,2.1,1.67
114,114,QPlJS4hg,2025-03-15,16:30,GERMANY - 3. LIGA,Munich 1860,Unterhaching,ROUND 29,1.8,3.8,4.0,1.36,3.0,2.63,1.44,1.04,13.0,1.22,4.0,1.73,2.08,1.73,2.0
115,115,x6qi0lFq,2025-03-15,16:30,NETHERLANDS - EERSTE DIVISIE,FC Volendam,Cambuur,ROUND 30,2.4,3.5,2.75,1.3,3.4,2.5,1.5,1.03,15.0,1.18,4.5,1.62,2.25,1.5,2.5
116,116,dGafu9Rk,2025-03-15,16:30,PORTUGAL - LIGA PORTUGAL,Gil Vicente,Santa Clara,ROUND 26,3.0,2.9,2.55,1.67,2.1,4.33,1.2,1.14,5.5,1.67,2.1,3.1,1.36,2.38,1.53
117,117,vHMQwH7r,2025-03-15,16:30,PORTUGAL - LIGA PORTUGAL,SC Farense,Braga,ROUND 26,4.33,3.4,1.85,1.5,2.5,3.4,1.3,1.07,9.0,1.4,2.75,2.25,1.62,2.0,1.75
118,118,OGzHotiM,2025-03-15,16:30,PORTUGAL - LIGA PORTUGAL 2,Chaves,Oliveirense,ROUND 26,1.57,3.9,5.25,1.36,3.0,2.75,1.4,1.05,11.0,1.29,3.5,1.93,1.93,1.91,1.8
119,119,OEiKK3Et,2025-03-15,17:00,FRANCE - LIGUE 1,Nantes,Lille,ROUND 26,3.6,3.2,2.15,1.44,2.63,3.25,1.33,1.07,9.0,1.33,3.4,2.1,1.73,1.8,1.95
120,120,OAiFyXTi,2025-03-15,17:00,ROMANIA - SUPERLIGA,Farul Constanta,Poli Iasi,RELEGATION GROUP ,1.75,3.6,4.1,1.4,2.75,3.0,1.36,1.05,11.0,1.3,3.4,2.0,1.85,1.83,1.83
121,121,21MxYITa,2025-03-15,17:15,ITALY - SERIE B,Pisa,Mantova,ROUND 30,1.65,3.75,5.25,1.4,2.75,3.0,1.36,1.06,10.0,1.3,3.4,2.05,1.8,1.95,1.8
122,122,M7WHdVJD,2025-03-15,17:30,CROATIA - HNL,D. Zagreb,Lok. Zagreb,ROUND 26,1.38,4.75,6.5,1.3,3.4,2.38,1.53,1.03,15.0,1.18,4.5,1.6,2.3,1.83,1.83
123,123,hAZc72mm,2025-03-15,17:30,ISRAEL - LIGAT HA'AL,Ironi Tiberias,Hapoel Hadera,RELEGATION GROUP ,2.15,3.1,3.4,1.5,2.5,3.4,1.3,1.08,7.5,1.4,2.75,2.25,1.62,1.91,1.8
124,124,EFtNN0dn,2025-03-15,17:30,POLAND - EKSTRAKLASA,Gornik Zabrze,Motor Lublin,ROUND 25,2.1,3.6,3.25,1.33,3.25,2.63,1.44,1.04,13.0,1.22,4.0,1.8,2.0,1.62,2.2
125,125,voxb2IjI,2025-03-15,18:00,ITALY - SERIE A,AC Milan,Como,ROUND 29,1.69,3.7,4.75,1.33,3.25,2.63,1.44,1.04,13.0,1.22,4.33,1.73,2.1,1.67,2.1
126,126,xvmOOx5e,2025-03-15,18:00,SWITZERLAND - SUPER LEAGUE,Servette,Yverdon,ROUND 28,1.4,4.5,7.0,1.3,3.4,2.5,1.5,1.03,15.0,1.18,4.5,1.62,2.25,1.83,1.83
127,127,Y5tXMGZ7,2025-03-15,18:00,SWITZERLAND - SUPER LEAGUE,St. Gallen,Lausanne,ROUND 28,2.5,3.4,2.7,1.3,3.4,2.38,1.53,1.03,15.0,1.18,4.5,1.62,2.25,1.5,2.5
128,128,27BOGDeS,2025-03-15,18:30,ENGLAND - PREMIER LEAGUE,Bournemouth,Brentford,ROUND 29,1.67,4.2,4.33,1.25,3.75,2.2,1.62,1.03,17.0,1.14,5.5,1.5,2.63,1.5,2.5
129,129,GYRB49Ci,2025-03-15,18:30,GERMANY - BUNDESLIGA,RB Leipzig,Dortmund,ROUND 26,2.45,3.5,2.8,1.3,3.4,2.5,1.5,1.04,13.0,1.2,4.5,1.67,2.2,1.53,2.38
130,130,fBDkuT57,2025-03-15,18:30,SPAIN - LALIGA,Villarreal,Real Madrid,ROUND 28,3.1,3.75,2.15,1.25,3.75,2.2,1.62,1.03,17.0,1.14,5.5,1.5,2.63,1.44,2.63
131,131,zkToiVuh,2025-03-15,18:30,ISRAEL - LIGAT HA'AL,Maccabi Tel Aviv,Hapoel Haifa,CHAMPIONSHIP GROUP ,1.42,4.75,6.25,1.3,3.4,2.38,1.53,1.03,15.0,1.18,4.5,1.62,2.25,1.83,1.83
132,132,dCBsLobn,2025-03-15,18:30,SPAIN - LALIGA2,Almeria,Zaragoza,ROUND 31,1.6,4.1,5.0,1.36,3.0,2.63,1.44,1.04,12.0,1.25,3.75,1.75,2.05,1.8,1.91
133,133,CCyGVCCM,2025-03-15,18:30,TURKEY - SUPER LIG,Basaksehir,Trabzonspor,ROUND 28,2.25,3.1,3.25,1.36,3.0,2.75,1.4,1.05,11.0,1.25,3.75,1.85,2.0,1.62,2.2
134,134,GbNunYd3,2025-03-15,18:30,TURKEY - SUPER LIG,Konyaspor,Besiktas,ROUND 28,2.9,3.6,2.25,1.36,3.0,2.75,1.4,1.04,13.0,1.25,3.75,1.85,2.0,1.73,2.0
135,135,6P7leKCO,2025-03-15,18:30,TURKEY - 1. LIG,Ankaragucu,Igdir FK,ROUND 30,2.45,3.25,2.88,1.44,2.63,3.25,1.33,1.07,9.0,1.33,3.25,2.05,1.75,1.8,1.91
136,136,Gngp3C9s,2025-03-15,18:45,NETHERLANDS - EREDIVISIE,Sparta Rotterdam,Zwolle,ROUND 26,1.62,4.0,5.25,1.36,3.0,2.63,1.44,1.04,13.0,1.25,3.75,1.8,2.0,1.8,1.95
137,137,KtoTIsqg,2025-03-15,19:00,FRANCE - LIGUE 1,Angers,Monaco,ROUND 26,6.5,4.75,1.41,1.29,3.5,2.25,1.57,1.03,17.0,1.17,5.0,1.53,2.5,1.7,2.05
138,138,hSvuXa9D,2025-03-15,19:00,CZECH REPUBLIC - CHANCE LIGA,Liberec,Sparta Prague,ROUND 26,4.33,3.7,1.8,1.4,2.75,3.0,1.36,1.05,11.0,1.29,3.5,1.98,1.88,1.8,1.95
139,139,bN4b5tIa,2025-03-15,19:00,ISRAEL - LIGAT HA'AL,Hapoel Jerusalem,Sakhnin,RELEGATION GROUP ,1.91,3.5,3.7,1.5,2.5,3.4,1.3,1.07,9.0,1.36,3.0,2.2,1.65,2.0,1.73
140,140,U1qEawD4,2025-03-15,19:00,PORTUGAL - LIGA PORTUGAL,FC Porto,AVS,ROUND 26,1.22,6.0,12.0,1.3,3.4,2.5,1.5,1.03,15.0,1.2,4.33,1.67,2.15,2.25,1.57
141,141,0UiEuAV8,2025-03-15,19:30,ITALY - SERIE B,Bari,Salernitana,ROUND 30,2.3,3.1,3.2,1.5,2.5,3.5,1.29,1.08,8.0,1.4,2.75,2.25,1.62,1.95,1.8
142,142,r9kySP5D,2025-03-15,19:30,USA - MLS,New York Red Bulls,Orlando City,-,2.3,3.25,3.2,1.4,2.75,3.0,1.36,1.06,10.0,1.29,3.5,2.0,1.85,1.75,2.0
143,143,AeiTToy1,2025-03-15,19:30,USA - MLS,Toronto FC,Chicago Fire,-,2.05,3.7,3.3,1.33,3.25,2.63,1.44,1.04,13.0,1.22,4.0,1.75,2.05,1.67,2.1
144,144,48PRpVgD,2025-03-15,20:00,NETHERLANDS - EREDIVISIE,Waalwijk,PSV,ROUND 26,10.0,7.0,1.22,1.18,4.5,1.9,1.9,1.01,26.0,1.08,8.0,1.3,3.5,1.7,2.05
145,145,r5VbB0nd,2025-03-15,20:00,ARGENTINA - TORNEO BETANO,Dep. Riestra,River Plate,APERTURA ,6.25,3.8,1.57,1.5,2.5,3.5,1.29,1.07,9.0,1.4,2.75,2.3,1.6,2.38,1.53
146,146,6Bv5P6Ci,2025-03-15,20:00,BELGIUM - CHALLENGER PRO LEAGUE,Lokeren-Temse,RFC Liege,ROUND 26,2.5,3.3,2.55,1.33,3.25,2.5,1.5,1.04,13.0,1.22,4.0,1.73,2.08,1.57,2.25
147,147,Y18mPx1B,2025-03-15,20:00,BELGIUM - CHALLENGER PRO LEAGUE,Lommel SK,Patro Eisden,ROUND 26,3.2,3.5,2.05,1.4,2.75,2.75,1.4,1.05,11.0,1.29,3.5,1.9,1.95,1.73,2.0
148,148,OWfZB8V1,2025-03-15,20:00,ECUADOR - LIGA PRO,Libertad,Orense,ROUND 5,2.3,3.1,3.2,1.5,2.5,3.5,1.29,1.08,8.0,1.36,3.0,2.25,1.62,1.91,1.8
149,149,f3gf5ETj,2025-03-15,20:00,FRANCE - LIGUE 2,Lorient,Bastia,ROUND 27,1.65,3.5,5.0,1.5,2.5,3.4,1.3,1.08,8.0,1.4,2.75,2.25,1.62,2.2,1.62
150,150,bo7PcGG8,2025-03-15,20:00,ROMANIA - SUPERLIGA,CFR Cluj,Din. Bucuresti,CHAMPIONSHIP GROUP ,1.65,3.5,5.0,1.44,2.63,3.25,1.33,1.07,8.5,1.36,3.0,2.15,1.67,2.1,1.67
151,151,Gph19iIt,2025-03-15,20:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Ettifaq,Al Fayha,ROUND 25,2.45,3.3,2.88,1.5,2.5,3.4,1.3,1.06,8.0,1.4,2.75,2.2,1.65,1.91,1.8
152,152,tSqiIn1B,2025-03-15,20:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Okhdood,Al Ahli SC,ROUND 25,6.25,5.25,1.4,1.3,3.4,2.38,1.53,1.01,15.0,1.2,4.33,1.62,2.25,1.83,1.83
153,153,8EoqK8Wb,2025-03-15,20:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Taawon,Al Hilal,ROUND 25,9.0,5.75,1.29,1.25,3.75,2.2,1.62,1.02,11.0,1.14,5.0,1.44,2.63,1.83,1.83
154,154,lECMUZ9T,2025-03-15,20:15,POLAND - EKSTRAKLASA,Widzew Lodz,GKS Katowice,ROUND 25,2.55,3.3,2.7,1.36,3.0,2.75,1.4,1.05,11.0,1.25,3.75,1.85,2.0,1.62,2.2
155,155,hSWwURpm,2025-03-15,20:30,GERMANY - 2. BUNDESLIGA,FC Koln,Darmstadt,ROUND 26,2.0,3.5,3.6,1.4,2.75,2.75,1.4,1.05,11.0,1.29,3.5,1.95,1.9,1.73,2.0
156,156,QaTIpKRE,2025-03-15,20:30,SWITZERLAND - SUPER LEAGUE,Zurich,Luzern,ROUND 28,2.25,3.5,3.0,1.33,3.25,2.63,1.44,1.04,13.0,1.2,4.33,1.7,2.1,1.57,2.25
157,157,0IeM2n2b,2025-03-15,20:45,ITALY - SERIE A,Torino,Empoli,ROUND 29,1.77,3.3,5.0,1.5,2.5,3.4,1.3,1.08,8.0,1.4,3.0,2.3,1.62,2.0,1.75
158,158,xSnIVJUI,2025-03-15,20:45,BELGIUM - JUPILER PRO LEAGUE,Genk,Royale Union SG,ROUND 30,2.63,3.3,2.63,1.36,3.0,2.75,1.4,1.05,11.0,1.25,3.75,1.93,1.93,1.62,2.2
159,159,vRDUlukf,2025-03-15,20:45,IRELAND - PREMIER DIVISION,Sligo Rovers,Derry City,ROUND 6,4.33,3.2,1.8,1.44,2.63,3.25,1.33,1.07,9.0,1.33,3.25,2.05,1.75,1.91,1.91
160,160,MifGkTcK,2025-03-15,20:45,USA - MLS,Los Angeles FC,Austin FC,-,1.73,3.5,5.0,1.4,2.75,2.75,1.4,1.05,11.0,1.25,3.75,1.9,1.95,1.8,1.95
161,161,WEHD8YoK,2025-03-15,21:00,NETHERLANDS - EREDIVISIE,Heerenveen,Heracles,ROUND 26,1.75,3.8,4.33,1.33,3.25,2.63,1.44,1.04,13.0,1.22,4.0,1.73,2.08,1.7,2.05
162,162,0EX9p3Qk,2025-03-15,21:00,SPAIN - LALIGA,Girona,Valencia,ROUND 28,1.95,3.5,3.9,1.44,2.63,3.25,1.33,1.07,9.0,1.33,3.4,2.1,1.73,1.91,1.91
163,163,WjVVbesp,2025-03-15,21:00,SPAIN - LALIGA2,Cordoba,Gijon,ROUND 31,2.2,3.2,3.4,1.44,2.63,3.4,1.3,1.07,9.0,1.36,3.0,2.15,1.67,1.83,1.83
164,164,CEleN7un,2025-03-15,21:00,URUGUAY - LIGA AUF URUGUAYA,Liverpool M.,Montevideo City,APERTURA ,2.55,3.1,2.63,1.36,3.0,2.75,1.4,1.05,11.0,1.25,3.75,1.85,2.0,1.62,2.2
165,165,xKn0F8x1,2025-03-15,21:05,FRANCE - LIGUE 1,Lens,Rennes,ROUND 26,2.05,3.5,3.6,1.4,2.75,2.75,1.4,1.06,10.0,1.3,3.5,2.0,1.9,1.75,2.0
166,166,2FsMcHsH,2025-03-15,21:30,PORTUGAL - LIGA PORTUGAL,Sporting CP,Famalicao,ROUND 26,1.29,5.5,9.0,1.33,3.25,2.5,1.5,1.03,15.0,1.2,4.33,1.65,2.2,2.1,1.67
167,167,ryMeOuom,2025-03-15,22:00,CHILE - LIGA DE PRIMERA,U. Catolica,Colo Colo,ROUND 5,4.0,3.6,1.85,1.5,2.5,3.4,1.3,1.07,8.5,1.4,2.75,2.2,1.65,2.1,1.67
168,168,Qk2eKzET,2025-03-15,22:30,ARGENTINA - TORNEO BETANO,Estudiantes L.P.,Newells Old Boys,APERTURA ,1.65,3.5,6.25,1.5,2.5,3.5,1.29,1.08,7.5,1.4,2.75,2.3,1.6,2.2,1.62
169,169,ABNpZ3v3,2025-03-15,22:30,ARGENTINA - TORNEO BETANO,Rosario Central,Gimnasia L.P.,APERTURA ,1.91,3.1,4.75,1.62,2.2,4.0,1.22,1.11,6.5,1.5,2.5,2.6,1.48,2.25,1.57
170,170,G6iRDU0k,2025-03-15,22:30,ECUADOR - LIGA PRO,U. Catolica,Manta,ROUND 5,1.22,5.75,13.0,1.29,3.5,2.25,1.57,1.03,17.0,1.17,5.0,1.53,2.4,2.1,1.67
171,171,pI9lBN9t,2025-03-15,23:00,MOROCCO - BOTOLA PRO,Berkane,Union Touarga,ROUND 25,1.33,3.9,9.5,1.62,2.2,4.0,1.22,1.1,7.0,1.53,2.38,2.7,1.44,3.75,1.25
172,172,fgUviKOO,2025-03-15,23:00,MOROCCO - BOTOLA PRO,FUS Rabat,Jeunesse Sportive Soualem,ROUND 25,1.25,4.5,10.0,1.4,2.75,2.75,1.4,1.07,9.0,1.29,3.5,1.95,1.85,2.63,1.44
173,173,QRHd91vg,2025-03-15,23:00,MOROCCO - BOTOLA PRO,IR Tanger,Wydad,ROUND 25,3.6,3.0,1.95,1.57,2.25,3.75,1.25,1.1,7.0,1.5,2.5,2.5,1.5,2.2,1.62
174,174,vuNsV5at,2025-03-15,23:30,PARAGUAY - COPA DE PRIMERA,Libertad Asuncion,Olimpia Asuncion,APERTURA ,2.45,2.75,3.4,1.57,2.25,3.75,1.25,1.11,6.5,1.44,2.63,2.5,1.5,2.0,1.73
175,175,pSn3LoAb,2025-03-15,23:30,URUGUAY - LIGA AUF URUGUAYA,Plaza Colonia,Penarol,APERTURA ,6.5,3.6,1.53,1.5,2.5,3.4,1.3,1.07,9.0,1.4,2.75,2.25,1.62,2.25,1.57
