,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,SOUTH AMERICA - COPA LIBERTADORES,2025-04-03,00:00,SA Bulo Bulo (Bol),Olimpia Asuncion (Par), GROUP STAGE,5.5,3.7,1.67,1.4,2.75,2.75,1.4,1.05,11.0,1.29,3.5,1.95,1.9,1.95,1.8
2,SOUTH AMERICA - COPA LIBERTADORES,2025-04-03,00:00,Velez Sarsfield (Arg),Penarol (Uru), GROUP STAGE,1.9,3.25,4.5,1.62,2.2,4.0,1.22,1.13,6.0,1.53,2.38,2.7,1.44,2.38,1.53
3,SOUTH AMERICA - COPA SUDAMERICANA,2025-04-03,00:00,Corinthians (Bra),Huracan (Arg), GROUP STAGE,1.62,3.5,6.5,1.44,2.63,3.25,1.33,1.07,9.0,1.33,3.25,2.1,1.7,2.1,1.67
4,SOUTH AMERICA - COPA SUDAMERICANA,2025-04-03,00:00,FBC Melgar (Per),Vasco (Bra), GROUP STAGE,2.2,3.2,3.5,1.5,2.5,3.5,1.29,1.08,8.0,1.4,2.75,2.35,1.57,2.0,1.73
5,SOUTH AMERICA - COPA LIBERTADORES,2025-04-03,02:30,Talleres Cordoba (Arg),Sao Paulo (Bra), GROUP STAGE,2.15,3.2,3.6,1.62,2.2,4.0,1.22,1.11,6.5,1.53,2.38,2.6,1.48,2.2,1.62
6,SOUTH AMERICA - COPA LIBERTADORES,2025-04-03,02:30,U. De Chile (Chi),Botafogo RJ (Bra), GROUP STAGE,2.9,3.2,2.5,1.4,2.75,3.0,1.36,1.06,10.0,1.3,3.4,2.05,1.8,1.75,2.0
7,SOUTH AMERICA - COPA LIBERTADORES,2025-04-03,02:30,U. de Deportes (Per),River Plate (Arg), GROUP STAGE,4.33,3.2,1.95,1.53,2.38,3.5,1.29,1.08,8.0,1.44,2.63,2.35,1.57,2.05,1.7
8,SOUTH AMERICA - COPA SUDAMERICANA,2025-04-03,02:30,Racing Montevideo (Uru),America De Cali (Col), GROUP STAGE,3.1,3.0,2.55,1.62,2.2,4.0,1.22,1.13,6.0,1.57,2.25,2.88,1.4,2.25,1.57
9,SOUTH AMERICA - COPA SUDAMERICANA,2025-04-03,02:30,Sp. Luqueno (Par),Gremio (Bra), GROUP STAGE,5.0,3.4,1.8,1.5,2.5,3.4,1.3,1.08,8.0,1.36,3.0,2.2,1.65,2.0,1.73
10,SOUTH AMERICA - COPA SUDAMERICANA,2025-04-03,02:30,Vitoria (Bra),U. Catolica (Ecu), GROUP STAGE,1.75,3.4,5.25,1.5,2.5,3.4,1.3,1.08,7.5,1.4,2.75,2.25,1.62,2.1,1.67
11,SOUTH AMERICA - COPA LIBERTADORES,2025-04-03,04:00,Atl. Nacional (Col),Nacional (Uru), GROUP STAGE,1.67,3.8,5.25,1.4,2.75,3.0,1.36,1.05,11.0,1.3,3.4,2.0,1.85,1.95,1.8
12,SOUTH AMERICA - COPA SUDAMERICANA,2025-04-03,04:00,Grau (Per),Godoy Cruz (Arg), GROUP STAGE,3.0,3.2,2.45,1.57,2.25,3.75,1.25,1.1,7.0,1.5,2.5,2.5,1.5,2.1,1.67
13,BULGARIA - PARVA LIGA,2025-04-03,13:30,Hebar,Lok. Plovdiv, ROUND 27,3.0,3.2,2.38,1.5,2.5,3.4,1.3,1.07,9.0,1.36,3.0,2.2,1.65,1.83,1.83
14,BULGARIA - PARVA LIGA,2025-04-03,16:00,Ludogorets,Krumovgrad, ROUND 27,1.13,7.5,23.0,1.3,3.4,2.5,1.5,1.04,12.0,1.2,4.33,1.65,2.2,3.25,1.33
15,INDIA - ISL,2025-04-03,16:00,Jamshedpur,Mohun Bagan, PLAY OFFS,3.4,4.0,1.85,1.3,3.4,2.5,1.5,1.03,15.0,1.2,4.33,1.65,2.2,1.62,2.2
16,LATVIA - VIRSLIGA,2025-04-03,17:00,FK Liepaja,Riga FC, ROUND 5,5.0,4.33,1.48,1.25,3.5,2.2,1.57,1.02,9.5,1.15,4.33,1.53,2.25,1.68,2.05
17,BULGARIA - PARVA LIGA,2025-04-03,18:30,Levski Sofia,CSKA 1948 Sofia, ROUND 27,1.4,4.33,8.5,1.4,2.75,3.0,1.36,1.05,11.0,1.3,3.4,2.03,1.83,2.38,1.53
18,SWITZERLAND - SUPER LEAGUE,2025-04-03,20:30,Basel,Grasshoppers, ROUND 30,1.44,4.5,6.5,1.29,3.5,2.25,1.57,1.03,17.0,1.17,5.0,1.57,2.35,1.73,2.0
19,SWITZERLAND - SUPER LEAGUE,2025-04-03,20:30,Luzern,St. Gallen, ROUND 30,2.25,3.5,2.9,1.3,3.4,2.38,1.53,1.03,15.0,1.17,5.0,1.6,2.3,1.5,2.5
20,ENGLAND - PREMIER LEAGUE,2025-04-03,21:00,Chelsea,Tottenham, ROUND 30,1.65,4.5,4.5,1.22,4.0,2.1,1.78,1.01,23.0,1.11,6.5,1.4,3.0,1.44,2.63
