,Unnamed: 0,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,1,IPtlJZRq,2025-03-04,01:00,ARGENTINA - TORNEO BETANO,Atl. Tucuman,Newells Old Boys,APERTURA ,2.0,3.2,4.1,1.57,2.25,1.1,7.0,1.44,2.63,2.5,1.5,2.1,1.67
2,2,AmyaclaB,2025-03-04,01:00,ECUADOR - LIGA PRO,Manta,Delfin,ROUND 3,2.75,3.0,2.63,1.5,2.5,1.08,8.0,1.4,2.75,2.25,1.62,1.91,1.8
3,3,lGoHVw8t,2025-03-04,02:00,COSTA RICA - PRIMERA DIVISION,Sporting San Jose,Guanacasteca,CLAUSURA ,1.83,3.4,4.33,1.44,2.63,1.07,8.5,1.33,3.25,2.08,1.73,1.91,1.8
4,4,M7dKEsdn,2025-03-04,13:30,INDONESIA - LIGA 1,Malut United,Arema FC,ROUND 25,2.0,3.25,3.4,1.4,2.7,1.03,9.0,1.3,3.2,1.95,1.75,1.8,1.91
5,5,EoDTt9zH,2025-03-04,14:00,TURKEY - 1. LIG,Manisa FK,Igdir FK,ROUND 28,3.0,3.3,2.2,1.4,2.75,1.03,11.0,1.27,3.4,2.0,1.77,1.69,2.0
6,6,rNpTCLQb,2025-03-04,14:30,INDONESIA - LIGA 1,Persija Jakarta,PSIS Semarang,ROUND 25,1.48,4.0,5.75,1.3,3.2,1.02,10.0,1.25,3.6,1.73,2.0,1.91,1.8
7,7,Gzc4YnaE,2025-03-04,15:00,INDIA - ISL,Goa,Mohammedan,ROUND 25,1.33,4.75,6.5,1.25,3.5,1.03,15.0,1.18,4.5,1.6,2.3,1.83,1.83
8,8,llB0KXVA,2025-03-04,15:00,MALAYSIA - SUPER LEAGUE,Sri Pahang,Kuching City FC,ROUND 15,1.91,3.4,3.3,1.35,2.95,1.02,10.0,1.22,3.55,1.73,1.95,1.67,2.1
9,9,4zSBgnKM,2025-03-04,18:30,TURKEY - 1. LIG,Amedspor,Genclerbirligi,ROUND 28,1.95,3.3,3.5,1.5,2.5,1.05,8.0,1.37,2.75,2.25,1.62,2.0,1.69
10,10,d24uPawg,2025-03-04,18:45,EUROPE - CHAMPIONS LEAGUE,Club Brugge KV,Aston Villa,PLAY OFFS ,3.0,3.3,2.4,1.4,2.75,1.06,10.0,1.3,3.5,1.97,1.81,1.75,2.0
11,11,thNIwHc3,2025-03-04,20:00,EGYPT - PREMIER LEAGUE,Al Ittihad,Smouha,ROUND 17,2.8,2.65,2.6,1.6,2.15,1.13,5.0,1.6,2.15,2.85,1.35,2.25,1.57
12,12,AXEZZYdS,2025-03-04,20:00,EGYPT - PREMIER LEAGUE,Enppi,Zamalek,ROUND 17,5.0,3.1,1.67,1.48,2.4,1.08,6.5,1.48,2.4,2.35,1.5,2.25,1.57
13,13,xKGRyeSF,2025-03-04,20:00,EGYPT - PREMIER LEAGUE,ZED,El Ismaily,ROUND 17,1.77,2.8,5.0,1.65,2.05,1.14,4.5,1.65,2.05,3.0,1.33,2.63,1.43
