,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,SOUTH AMERICA - COPA LIBERTADORES,2025-04-11,00:00,Internacional (Bra),Atl. Nacional (Col), GROUP STAGE,1.53,4.1,6.5,1.41,2.62,3.25,1.3,1.06,10.0,1.36,3.0,2.1,1.7,2.25,1.57
2,SOUTH AMERICA - COPA LIBERTADORES,2025-04-11,00:00,Racing Club (Arg),Bucaramanga (Col), GROUP STAGE,1.36,4.75,9.5,1.44,2.63,3.0,1.36,1.07,9.0,1.33,3.25,2.05,1.75,2.63,1.44
3,BRAZIL - SERIE B,2025-04-11,00:00,Athletico-PR,Criciuma, ROUND 2,1.73,3.4,5.0,1.57,2.25,3.75,1.25,1.11,6.5,1.5,2.5,2.5,1.5,2.38,1.53
4,SOUTH AMERICA - COPA SUDAMERICANA,2025-04-11,00:00,Defensa y Justicia (Arg),Vitoria (Bra), GROUP STAGE,2.2,3.0,3.6,1.53,2.38,3.75,1.25,1.1,7.0,1.44,2.63,2.5,1.5,2.1,1.67
5,VENEZUELA - LIGA FUTVE,2025-04-11,00:00,Monagas,Rayo Zuliano, APERTURA,1.73,3.35,4.33,1.44,2.63,3.0,1.33,1.04,8.5,1.35,2.85,2.05,1.65,2.0,1.73
6,PARAGUAY - COPA DE PRIMERA,2025-04-11,01:15,Sportivo Trinidense,Atl. Tembetary, APERTURA,2.15,3.0,3.4,1.5,2.5,3.4,1.3,1.08,8.0,1.36,3.0,2.2,1.65,1.83,1.83
7,SOUTH AMERICA - COPA LIBERTADORES,2025-04-11,02:00,Colo Colo (Chi),Fortaleza (Bra), GROUP STAGE,1.73,3.5,5.25,1.5,2.5,3.4,1.3,1.08,8.0,1.36,3.0,2.2,1.65,2.05,1.7
8,COLOMBIA - PRIMERA A,2025-04-11,02:00,La Equidad,Santa Fe, APERTURA,3.5,3.0,2.25,1.5,2.37,3.75,1.22,1.11,6.5,1.44,2.63,2.4,1.53,2.1,1.67
9,ECUADOR - LIGA PRO,2025-04-11,02:00,Manta,Tecnico U., ROUND 8,3.6,3.3,2.0,1.44,2.63,3.25,1.33,1.07,8.5,1.36,3.0,2.15,1.67,1.91,1.8
10,SOUTH AMERICA - COPA LIBERTADORES,2025-04-11,02:30,Sao Paulo (Bra),Alianza Lima (Per), GROUP STAGE,1.38,4.1,10.0,1.57,2.25,3.75,1.25,1.1,7.0,1.53,2.38,2.7,1.44,3.4,1.3
11,BRAZIL - SERIE B,2025-04-11,02:30,Cuiaba,Avai, ROUND 2,2.15,2.8,4.1,1.57,2.25,3.75,1.25,1.13,6.0,1.5,2.5,2.5,1.5,2.1,1.67
12,SOUTH AMERICA - COPA SUDAMERICANA,2025-04-11,02:30,Atletico-MG (Bra),Deportes Iquique (Chi), GROUP STAGE,1.14,7.0,21.0,1.29,3.5,2.25,1.57,1.03,17.0,1.17,5.0,1.53,2.4,2.63,1.44
13,SOUTH AMERICA - COPA SUDAMERICANA,2025-04-11,02:30,Fluminense (Bra),GV San Jose (Bol), GROUP STAGE,1.07,11.0,29.0,1.18,4.5,1.9,1.9,1.01,26.0,1.08,8.0,1.3,3.5,2.63,1.44
14,SOUTH AMERICA - COPA SUDAMERICANA,2025-04-11,02:30,Guarani (Par),Nacional Potosi (Bol), GROUP STAGE,1.45,4.1,8.0,1.36,3.0,2.63,1.44,1.04,13.0,1.22,4.0,1.8,2.0,1.91,1.8
15,SOUTH AMERICA - COPA SUDAMERICANA,2025-04-11,04:00,U. Catolica (Ecu),Cerro Largo (Uru), GROUP STAGE,1.4,4.33,9.0,1.36,3.0,2.63,1.44,1.04,13.0,1.25,3.75,1.83,2.03,2.1,1.67
16,MEXICO - LIGA MX,2025-04-11,04:05,Club Tijuana,Atl. San Luis, CLAUSURA,1.8,4.33,3.7,1.22,4.0,2.1,1.67,1.02,21.0,1.11,6.5,1.4,2.88,1.44,2.63
17,INDONESIA - LIGA 1,2025-04-11,10:30,PSBS Biak Numfor,PSS Sleman, ROUND 28,1.7,3.6,4.5,1.33,3.0,2.63,1.44,1.02,10.0,1.25,3.75,1.8,1.91,1.8,1.91
18,INDONESIA - LIGA 1,2025-04-11,10:30,PSIS Semarang,Persik Kediri, ROUND 28,2.5,3.2,2.7,1.36,2.88,2.75,1.4,1.03,9.0,1.29,3.4,1.91,1.8,1.73,2.0
19,AUSTRALIA - A-LEAGUE,2025-04-11,11:35,Melbourne City,Brisbane Roar, ROUND 26,1.44,4.75,7.0,1.3,3.4,2.5,1.5,1.03,15.0,1.2,4.5,1.62,2.3,1.8,1.95
20,JAPAN - J1 LEAGUE,2025-04-11,12:00,FC Tokyo,Kashiwa Reysol, ROUND 10,2.9,3.1,2.5,1.5,2.37,3.5,1.25,1.08,7.5,1.4,2.75,2.35,1.57,1.95,1.8
21,CHINA - SUPER LEAGUE,2025-04-11,13:35,Meizhou Hakka,Changchun Yatai, ROUND 6,1.9,3.7,4.0,1.25,3.5,2.37,1.5,1.03,15.0,1.17,5.0,1.57,2.35,1.53,2.38
22,CHINA - SUPER LEAGUE,2025-04-11,13:35,Shandong Taishan,Shenzhen Xinpengcheng, ROUND 6,1.44,4.75,6.5,1.22,3.75,2.2,1.58,1.02,19.0,1.14,5.5,1.5,2.5,1.67,2.1
23,SINGAPORE - PREMIER LEAGUE,2025-04-11,13:45,Geylang,Hougang, ROUND 30,1.57,5.25,3.5,1.14,5.5,1.67,2.1,1.01,34.0,1.05,11.0,1.18,4.5,1.25,3.75
24,SINGAPORE - PREMIER LEAGUE,2025-04-11,13:45,Tanjong Pagar,Tampines, ROUND 30,26.0,11.0,1.07,1.13,6.0,1.62,2.2,1.01,34.0,1.04,13.0,1.18,4.5,1.91,1.8
25,CHINA - SUPER LEAGUE,2025-04-11,14:00,Beijing Guoan,Qingdao West Coast, ROUND 6,1.44,4.75,6.5,1.25,3.5,2.25,1.54,1.03,17.0,1.18,4.5,1.6,2.3,1.75,2.0
26,INDONESIA - LIGA 1,2025-04-11,14:00,Borneo,Persib Bandung, ROUND 28,2.35,3.0,3.0,1.36,2.88,2.75,1.4,1.03,9.0,1.3,3.25,1.91,1.8,1.65,2.1
27,UKRAINE - PREMIER LEAGUE,2025-04-11,14:30,LNZ Cherkasy,Shakhtar Donetsk, ROUND 24,8.5,4.33,1.36,1.35,3.0,2.8,1.4,1.04,10.0,1.25,3.75,1.83,1.9,2.2,1.62
28,BULGARIA - PARVA LIGA,2025-04-11,15:30,Spartak Varna,Krumovgrad, ROUND 29,1.6,3.75,5.5,1.5,2.5,3.4,1.3,1.08,8.0,1.4,2.75,2.25,1.62,2.25,1.57
29,EGYPT - PREMIER LEAGUE,2025-04-11,16:00,ZED,El Gouna, RELEGATION GROUP,1.9,2.9,4.75,1.62,2.2,3.8,1.22,1.14,5.5,1.62,2.2,2.88,1.36,2.4,1.5
30,ROMANIA - SUPERLIGA,2025-04-11,16:30,Gloria Buzau,Poli Iasi, RELEGATION GROUP,2.5,3.3,2.75,1.5,2.5,3.4,1.3,1.07,9.0,1.4,2.75,2.2,1.65,1.91,1.8
31,FINLAND - VEIKKAUSLIIGA,2025-04-11,17:00,KTP,VPS,-,3.1,3.6,1.95,1.3,3.4,2.5,1.5,1.03,15.0,1.2,4.33,1.65,2.2,1.57,2.25
32,QATAR - QSL,2025-04-11,17:30,Al Ahli Doha,Umm-Salal, ROUND 21,1.85,3.75,3.4,1.29,3.4,2.25,1.57,1.03,13.0,1.17,4.5,1.57,2.25,1.55,2.3
33,QATAR - QSL,2025-04-11,17:30,Al Wakra,Al-Gharafa, ROUND 21,3.7,3.6,1.85,1.29,3.4,2.25,1.57,1.03,12.5,1.15,4.75,1.53,2.38,1.5,2.4
34,QATAR - QSL,2025-04-11,17:30,Al-Duhail,Al Arabi, ROUND 21,1.25,5.75,8.5,1.17,4.5,1.83,1.83,1.01,1.01,1.07,7.0,1.29,3.4,1.57,2.25
35,QATAR - QSL,2025-04-11,17:30,Al-Sadd,Al Khor, ROUND 21,1.15,7.5,12.0,1.15,4.75,1.8,1.91,1.01,1.01,1.07,7.0,1.29,3.4,1.73,2.0
36,QATAR - QSL,2025-04-11,17:30,Al-Shahaniya,Qatar SC, ROUND 21,2.65,3.5,2.35,1.29,3.4,2.25,1.57,1.01,11.0,1.15,4.75,1.53,2.38,1.48,2.5
37,QATAR - QSL,2025-04-11,17:30,Shamal,Al Rayyan, ROUND 21,2.95,3.6,2.1,1.2,4.0,2.0,1.73,1.01,1.01,1.09,6.0,1.4,2.75,1.4,2.7
38,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,2025-04-11,17:55,Al Okhdood,Al Taawon, ROUND 27,2.1,3.5,3.1,1.44,2.63,3.25,1.33,1.06,8.0,1.36,3.0,2.15,1.67,1.91,1.8
39,AUSTRIA - 2. LIGA,2025-04-11,18:00,A. Lustenau,Admira, ROUND 23,4.0,3.2,1.9,1.44,2.63,3.2,1.3,1.06,7.5,1.4,2.75,2.25,1.57,2.0,1.73
40,AUSTRIA - 2. LIGA,2025-04-11,18:00,ASK Voitsberg,Sturm Graz II, ROUND 23,1.75,3.7,4.0,1.29,3.3,2.38,1.53,1.01,11.0,1.2,4.33,1.62,2.2,1.6,2.2
41,AUSTRIA - 2. LIGA,2025-04-11,18:00,First Vienna,Bregenz, ROUND 23,1.65,3.9,4.33,1.29,3.3,2.38,1.53,1.03,12.0,1.18,4.33,1.57,2.25,1.57,2.25
42,AUSTRIA - 2. LIGA,2025-04-11,18:00,Lafnitz,Floridsdorfer AC, ROUND 23,2.85,3.3,2.3,1.33,3.0,2.63,1.44,1.02,10.0,1.25,3.75,1.8,1.91,1.65,2.1
