,League,Date,Time,Round,Home,Away,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_BTTS_Yes,HT_Odd_BTTS_No,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Lay_Home,FT_Odd_Lay_Draw,FT_Odd_Lay_Away,Pre_Match_Home_Expected_Goals,Pre_Match_Away_Expected_Goals,Pre_Match_Total_Expected_Goals,BTTS_First_Half_Potential,BTTS_Second_Half_Potential,BTTS_Potential,Pre_Match_Home_Points_per_Game,Pre_Match_Home_Overall_Points_per_Game,Pre_Match_Away_Points_per_Game,Pre_Match_Away_Overall_Points_per_Game
1,Chile Primera División,2025-06-18,00:00:00,14,Colo-Colo,Cobresal,1.95,2.4,6.5,1.33,3.25,2.63,1.44,6.5,1.11,0.0,0.0,1.45,4.0,7.5,1.01,8.7,1.19,3.78,1.75,2.05,1.91,1.8,2.78,1.18,1.08,2.16,1.49,3.65,17.0,25.0,59.0,1.83,1.82,1.33,1.69
2,Brazil Serie B,2025-06-18,00:30:00,12,Volta Redonda,Avaí,2.95,1.81,4.25,1.61,2.33,3.4,1.25,10.0,1.03,0.0,0.0,2.31,2.88,3.05,1.13,6.0,1.53,2.42,2.75,1.45,2.14,1.68,1.62,1.37,1.4,2.18,1.39,3.57,20.0,20.0,50.0,1.6,0.91,1.0,1.73
3,South Korea K League 1,2025-06-18,12:30:00,19,Daejeon Citizen,Sangju Sangmu,3.6,2.3,2.75,1.33,3.25,2.5,1.5,6.0,1.13,0.0,0.0,3.06,3.31,2.04,1.04,10.0,1.25,3.95,1.87,1.83,1.62,2.2,1.33,1.22,1.67,1.43,1.7,3.13,22.0,33.0,56.0,1.56,1.78,1.44,1.56
4,South Korea K League 1,2025-06-18,12:30:00,19,Jeju United,Gwangju,3.4,2.0,3.5,1.5,2.5,3.4,1.3,10.0,1.06,0.0,0.0,2.71,2.82,2.52,1.09,7.0,1.48,2.65,2.29,1.55,2.0,1.73,1.45,1.3,1.42,1.5,1.07,2.57,7.0,29.0,47.0,1.44,1.22,1.25,1.33
5,China Chinese Super League,2025-06-18,13:35:00,6,Henan Jianye,Shanghai SIPG,4.0,2.4,2.38,1.29,3.5,2.25,1.57,5.5,1.14,0.0,0.0,2.7,3.93,2.11,1.01,13.0,1.11,4.9,1.42,2.65,1.5,2.5,1.2,1.28,1.97,1.59,1.64,3.23,27.0,55.0,90.0,1.0,1.08,2.2,1.92
0,China Chinese Super League,2025-06-18,14:00:00,13,Sichuan Jiuniu,Wuhan Three Towns,3.04,2.16,3.2,1.33,3.02,2.62,1.43,6.25,1.06,0.0,0.0,2.51,3.5,2.62,1.02,10.0,1.21,3.6,1.81,1.96,1.63,2.14,1.51,1.28,1.47,1.49,1.01,2.5,34.0,25.0,67.0,1.67,1.08,0.67,1.15
6,Finland Veikkausliiga,2025-06-18,16:00:00,11,Ilves,SJK,2.1,2.5,4.7,1.27,3.4,2.2,1.65,4.4,1.16,0.0,0.0,1.6,4.15,4.64,1.03,12.0,1.14,5.0,1.44,2.5,1.47,2.45,2.2,1.21,1.22,1.76,1.84,3.6,29.0,35.0,64.0,2.6,2.0,1.33,1.5
7,Finland Veikkausliiga,2025-06-18,16:00:00,11,Mariehamn,KuPS,5.8,2.35,2.03,1.3,3.2,2.65,1.47,5.75,1.11,0.0,0.0,6.0,4.48,1.47,1.04,12.0,1.22,4.2,1.67,2.11,1.83,1.85,1.13,1.2,1.22,1.26,1.36,2.62,0.0,50.0,64.0,0.67,1.0,1.6,1.92
8,Estonia Meistriliiga,2025-06-18,17:00:00,17,Trans,Tallinna FC Flora,4.42,2.25,2.1,1.3,3.1,2.3,1.52,5.2,1.11,0.0,0.0,3.8,3.65,1.88,1.04,11.4,1.17,4.2,1.67,2.1,1.65,2.15,1.25,1.25,1.3,1.83,2.07,3.9,19.0,32.0,44.0,1.88,1.94,2.75,2.38
9,Estonia Meistriliiga,2025-06-18,17:00:00,17,Tallinna FC Levadia,Tallinna Kalev,1.2,3.8,18.0,1.08,6.5,1.5,2.4,2.55,1.45,0.0,0.0,1.02,11.0,30.0,1.01,36.0,1.04,13.0,1.17,5.0,2.4,1.53,8.0,1.01,1.01,2.37,1.59,3.96,15.0,14.0,43.0,2.43,2.19,0.14,0.44
