,League,Date,Time,Round,Home,Away,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_BTTS_Yes,HT_Odd_BTTS_No,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Lay_Home,FT_Odd_Lay_Draw,FT_Odd_Lay_Away,Pre_Match_Home_Expected_Goals,Pre_Match_Away_Expected_Goals,Pre_Match_Total_Expected_Goals,BTTS_First_Half_Potential,BTTS_Second_Half_Potential,BTTS_Potential,Pre_Match_Home_Points_per_Game,Pre_Match_Home_Overall_Points_per_Game,Pre_Match_Away_Points_per_Game,Pre_Match_Away_Overall_Points_per_Game
0,Brazil Serie B,2025-07-23,00:00:00,0,Operário PR,Atlético GO,3.12,1.85,4.2,1.62,2.22,3.75,1.21,10.0,1.02,0.0,0.0,2.27,2.72,3.21,1.13,5.75,1.5,2.3,2.65,1.42,2.2,1.62,1.52,1.39,1.33,1.75,1.61,3.36,27.0,7.0,50.0,1.5,1.12,0.88,1.29
1,Brazil Serie B,2025-07-23,01:00:00,0,Atlético PR,Ferroviária,2.02,2.08,7.0,1.45,2.4,3.1,1.33,9.5,1.05,0.0,0.0,1.45,3.6,6.6,1.07,8.5,1.41,2.71,1.95,1.75,2.4,1.49,2.44,1.22,1.21,1.9,1.47,3.37,18.0,24.0,50.0,1.44,1.35,0.67,1.06
2,Brazil Serie B,2025-07-23,02:30:00,0,Athletic Club,Coritiba,3.22,1.84,3.8,1.57,2.25,3.66,1.23,11.5,1.03,0.0,0.0,2.13,2.87,3.33,1.06,6.3,1.48,2.4,2.65,1.42,2.1,1.65,1.53,1.36,1.31,1.7,1.15,2.85,7.0,18.0,36.0,1.13,1.24,1.56,1.94
3,Brazil Serie B,2025-07-23,02:35:00,0,Vila Nova,CRB,2.56,1.91,5.25,1.53,2.34,3.48,1.26,9.0,1.0,0.0,0.0,2.02,2.83,3.69,1.11,6.4,1.5,2.4,2.3,1.5,2.2,1.6,1.85,1.34,1.22,1.55,1.76,3.31,17.0,6.0,40.0,2.0,1.41,0.67,1.29
4,South Korea K League 1,2025-07-23,12:30:00,23,Ulsan,Daejeon Citizen,2.3,2.2,4.2,1.34,2.95,2.55,1.44,6.25,1.1,0.0,0.0,1.73,3.41,4.0,1.05,9.0,1.3,3.45,1.87,1.83,1.78,1.9,1.95,1.26,1.22,2.17,1.36,3.53,20.0,28.0,62.0,1.5,1.43,1.82,1.64
5,South Korea K League 1,2025-07-23,12:30:00,23,Jeju United,FC Seoul,4.33,2.05,2.5,1.43,2.6,2.95,1.34,8.0,1.07,0.0,0.0,3.87,3.16,1.83,1.07,8.0,1.38,3.0,1.93,1.77,1.93,1.75,1.23,1.3,1.83,1.52,1.68,3.2,5.0,23.0,32.0,1.45,1.18,1.55,1.5
6,South Korea K League 1,2025-07-23,12:30:00,23,Jeonbuk Motors,Gangwon,2.55,2.0,4.2,1.43,2.6,2.95,1.35,7.75,1.07,0.0,0.0,1.77,3.23,4.1,1.07,8.0,1.38,3.0,1.76,1.94,1.9,1.78,1.8,1.31,1.24,1.59,1.01,2.6,27.0,14.0,64.0,1.82,2.18,1.45,1.32
7,Japan J1 League,2025-07-23,12:30:00,21,Urawa Reds,Shonan Bellmare,2.3,2.05,5.0,1.42,2.65,2.88,1.36,8.6,1.01,0.0,0.0,1.91,3.27,3.45,1.08,7.5,1.4,2.9,2.01,1.71,2.0,1.7,2.05,1.25,1.15,1.47,1.29,2.76,9.0,23.0,36.0,2.27,1.55,1.0,1.04
8,Brazil Serie A,2025-07-23,17:00:00,16,Vasco da Gama,Bahia,2.35,2.15,4.33,1.36,2.87,2.55,1.44,6.25,1.1,0.0,0.0,2.58,3.36,2.66,1.05,9.5,1.26,3.5,2.2,1.6,1.73,1.95,1.93,1.28,1.22,1.73,1.44,3.17,0.0,20.0,34.0,1.38,1.0,1.14,1.79
9,Europe UEFA Champions League,2025-07-23,19:00:00,0,Brann,Salzburg,3.25,2.3,2.63,1.29,3.5,2.38,1.53,5.0,1.14,0.0,0.0,3.6,3.6,1.94,1.04,9.0,1.25,3.7,1.62,2.15,1.53,2.38,1.38,1.27,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Europe UEFA Champions League,2025-07-23,20:45:00,0,Shelbourne,Qarabağ,5.5,2.27,2.12,1.29,3.14,2.45,1.46,6.15,1.06,0.0,0.0,4.9,4.3,1.55,1.01,11.0,1.18,4.1,1.75,1.95,1.74,1.98,1.15,1.24,2.33,2.06,0.0,2.06,0.0,0.0,25.0,2.0,2.0,0.0,0.0
