,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,ARGENTINA - TORNEO BETANO,2025-03-22,21:00,Godoy Cruz,Talleres Cordoba,APERTURA ,4.5,3.2,1.95,1.5,2.37,3.75,1.22,1.1,7.0,1.44,2.63,2.4,1.53,2.1,1.67
2,WORLD - WORLD CHAMPIONSHIP,2025-03-22,00:30,Uruguay,Argentina,QUALIFICATION ,2.5,2.9,3.2,1.62,2.2,4.0,1.22,1.13,6.0,1.57,2.25,2.88,1.4,2.2,1.62
3,SOUTH KOREA - K LEAGUE 1,2025-03-22,08:30,Gwangju FC,Pohang,ROUND 4,2.2,3.2,3.3,1.5,2.5,3.4,1.3,1.07,9.0,1.36,3.0,2.2,1.65,1.91,1.8
4,ENGLAND - LEAGUE TWO,2025-03-22,13:30,Notts Co,Crewe,ROUND 38,1.9,3.5,3.8,1.36,3.0,2.75,1.4,1.05,11.0,1.25,3.75,1.88,1.98,1.73,2.0
5,ENGLAND - NATIONAL LEAGUE,2025-03-22,13:30,Sutton,Dag & Red,ROUND 39,1.83,3.5,4.0,1.36,3.0,2.63,1.44,1.04,13.0,1.25,3.75,1.8,2.0,1.7,2.05
6,WORLD - WORLD CHAMPIONSHIP,2025-03-22,15:00,Liechtenstein,North Macedonia,QUALIFICATION,21.0,8.5,1.13,1.29,3.5,2.38,1.53,1.03,17.0,1.18,4.5,1.57,2.35,3.0,1.36
7,ENGLAND - LEAGUE ONE,2025-03-22,16:00,Barnsley,Cambridge Utd,ROUND 38,1.67,4.0,4.5,1.33,3.25,2.63,1.44,1.04,13.0,1.22,4.0,1.73,2.08,1.75,2.0
8,ENGLAND - LEAGUE ONE,2025-03-22,16:00,Crawley,Bristol Rovers,ROUND 38,2.05,3.4,3.5,1.36,3.0,2.75,1.4,1.05,11.0,1.25,3.75,1.85,2.0,1.67,2.1
9,ENGLAND - LEAGUE ONE,2025-03-22,16:00,Lincoln,Exeter,ROUND 38,1.65,3.7,5.0,1.44,2.63,3.4,1.3,1.07,9.0,1.36,3.0,2.2,1.65,2.1,1.67
10,ENGLAND - LEAGUE ONE,2025-03-22,16:00,Northampton,Blackpool,ROUND 38,3.0,3.25,2.3,1.44,2.63,3.25,1.33,1.06,10.0,1.33,3.25,2.08,1.73,1.91,1.91
11,ENGLAND - LEAGUE ONE,2025-03-22,16:00,Peterborough,Charlton,ROUND 38,2.9,3.4,2.3,1.36,3.0,2.75,1.4,1.05,11.0,1.25,3.75,1.88,1.98,1.7,2.05
12,ENGLAND - LEAGUE ONE,2025-03-22,16:00,Wrexham,Stockport County,ROUND 38,2.35,3.2,2.9,1.57,2.25,3.75,1.25,1.1,7.0,1.44,2.63,2.4,1.53,2.1,1.67
13,ENGLAND - LEAGUE TWO,2025-03-22,16:00,AFC Wimbledon,Barrow,ROUND 38,1.95,3.4,3.75,1.57,2.25,3.75,1.25,1.08,8.0,1.5,2.5,2.5,1.5,2.25,1.57
14,ENGLAND - LEAGUE TWO,2025-03-22,16:00,Bradford City,Colchester,ROUND 38,2.1,3.1,3.6,1.62,2.2,4.0,1.22,1.11,6.5,1.57,2.25,2.7,1.44,2.25,1.57
15,ENGLAND - LEAGUE TWO,2025-03-22,16:00,Carlisle,Bromley,ROUND 38,2.2,3.5,3.0,1.44,2.63,3.25,1.33,1.06,10.0,1.33,3.25,2.05,1.75,1.83,1.83
16,ENGLAND - LEAGUE TWO,2025-03-22,16:00,Cheltenham,MK Dons,ROUND 38,2.2,3.4,3.1,1.4,2.75,3.0,1.36,1.05,11.0,1.29,3.5,1.93,1.93,1.73,2.0
17,ENGLAND - LEAGUE TWO,2025-03-22,16:00,Chesterfield,Harrogate,ROUND 38,1.6,3.8,5.5,1.44,2.63,3.25,1.33,1.06,10.0,1.36,3.0,2.15,1.67,2.2,1.62
18,ENGLAND - LEAGUE TWO,2025-03-22,16:00,Fleetwood,Tranmere,ROUND 38,2.15,3.3,3.25,1.41,2.62,3.25,1.3,1.06,10.0,1.33,3.25,2.08,1.73,1.83,1.83
