,Unnamed: 0,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,1,fP8ndf74,2025-02-15,00:00,ARGENTINA - TORNEO BETANO,Banfield,Boca Juniors,APERTURA ,3.1,3.1,2.4,1.62,2.2,1.11,6.5,1.57,2.25,2.7,1.44,2.25,1.57
2,2,bLyQK68M,2025-02-15,00:00,VENEZUELA - LIGA FUTVE,Universidad Central,Estudiantes Merida,APERTURA ,2.1,3.1,3.2,1.43,2.63,1.06,7.5,1.35,2.9,2.05,1.67,1.85,1.83
3,3,6gRqRPIF,2025-02-15,01:00,ECUADOR - LIGA PRO,Manta,Barcelona SC,FIRST STAGE ,4.75,3.9,1.67,1.44,2.63,1.06,10.0,1.33,3.25,2.05,1.75,2.0,1.73
4,4,h2ozNwMj,2025-02-15,01:15,URUGUAY - LIGA AUF URUGUAYA,Wanderers,Liverpool M.,APERTURA ,2.8,3.3,2.3,1.44,2.63,1.07,9.0,1.33,3.25,2.08,1.73,1.83,1.83
5,5,Ohz8419s,2025-02-15,02:00,COSTA RICA - PRIMERA DIVISION,Liberia,Zeledon,CLAUSURA ,1.75,3.4,3.9,1.44,2.63,1.06,10.0,1.33,3.25,2.05,1.75,2.0,1.73
6,6,b9Z5w0SG,2025-02-15,04:00,MEXICO - LIGA MX,Club America,Necaxa,CLAUSURA ,1.57,4.5,5.0,1.3,3.4,1.03,15.0,1.2,4.33,1.65,2.2,1.75,2.0
7,7,ELa2Jvyo,2025-02-15,04:00,MEXICO - LIGA MX,Club Tijuana,Juarez,CLAUSURA ,1.73,3.9,4.33,1.3,3.4,1.03,15.0,1.18,4.5,1.6,2.3,1.62,2.2
8,8,4nEWO0DN,2025-02-15,04:00,MEXICO - LIGA MX,Mazatlan FC,Santos Laguna,CLAUSURA ,1.7,3.9,4.75,1.36,3.0,1.04,13.0,1.25,3.75,1.88,1.98,1.8,1.95
9,9,E9qD1zN8,2025-02-15,05:00,SOUTH KOREA - K LEAGUE 1,Pohang,Daejeon,ROUND 1,2.0,3.3,3.75,1.44,2.63,1.07,9.0,1.36,3.0,2.1,1.7,1.83,1.83
10,10,6gHtOHBC,2025-02-15,06:00,JAPAN - J1 LEAGUE,Avispa Fukuoka,Kashiwa Reysol,ROUND 1,3.0,2.9,2.6,1.62,2.2,1.13,6.0,1.57,2.25,2.88,1.4,2.25,1.57
11,11,ARNXPws0,2025-02-15,06:00,JAPAN - J1 LEAGUE,Okayama,Kyoto,ROUND 1,3.1,3.25,2.3,1.44,2.63,1.06,10.0,1.3,3.4,2.05,1.75,1.91,1.91
12,12,21KPRaCm,2025-02-15,06:00,JAPAN - J1 LEAGUE,Vissel Kobe,Urawa Reds,ROUND 1,1.73,3.6,4.75,1.44,2.63,1.06,10.0,1.33,3.25,2.1,1.7,2.0,1.75
13,13,ADraBvS6,2025-02-15,06:00,JAPAN - J1 LEAGUE,Yokohama F. Marinos,Albirex Niigata,ROUND 1,2.05,3.6,3.3,1.3,3.4,1.02,15.0,1.15,4.5,1.62,2.25,1.53,2.38
14,14,6ux89IdJ,2025-02-15,06:00,JAPAN - J1 LEAGUE,Yokohama FC,FC Tokyo,ROUND 1,2.55,3.3,2.7,1.44,2.63,1.04,10.0,1.3,3.25,2.05,1.75,1.8,1.95
15,15,K4cBJttA,2025-02-15,06:00,JAPAN - J2 LEAGUE,Fujieda MYFC,Tokushima,ROUND 1,3.4,3.4,2.05,1.4,2.75,1.03,11.0,1.27,3.4,2.03,1.83,1.8,1.91
16,16,KjIx5sRG,2025-02-15,06:00,JAPAN - J2 LEAGUE,Iwaki,Chiba,ROUND 1,3.1,3.4,2.2,1.36,3.0,1.03,12.0,1.22,3.75,1.83,2.03,1.67,2.1
17,17,Ox42L2Bc,2025-02-15,06:00,JAPAN - J2 LEAGUE,Iwata,Mito,ROUND 1,1.8,3.6,4.33,1.4,2.75,1.04,10.0,1.25,3.5,1.98,1.88,1.83,1.83
18,18,dWBGcaJj,2025-02-15,06:00,JAPAN - J2 LEAGUE,Kofu,Renofa Yamaguchi,ROUND 1,2.2,3.2,3.25,1.5,2.5,1.08,8.0,1.4,2.75,2.25,1.62,1.91,1.8
19,19,Cbzp3LeT,2025-02-15,06:00,JAPAN - J2 LEAGUE,Omiya Ardija,Montedio Yamagata,ROUND 1,3.2,3.4,2.15,1.36,3.0,1.04,12.0,1.22,4.0,1.8,2.0,1.62,2.2
20,20,r32jAx3d,2025-02-15,06:00,JAPAN - J2 LEAGUE,Sagan Tosu,Vegalta Sendai,ROUND 1,2.2,3.5,3.0,1.44,2.63,1.05,11.0,1.33,3.25,2.05,1.8,1.83,1.83
21,21,lKX1No0T,2025-02-15,07:00,AUSTRALIA - A-LEAGUE,Melbourne City,Perth Glory,ROUND 19,1.3,6.0,8.5,1.25,3.75,1.02,19.0,1.14,5.5,1.5,2.63,1.8,1.95
22,22,x0piD0cf,2025-02-15,07:00,JAPAN - J1 LEAGUE,Kawasaki Frontale,Nagoya Grampus,ROUND 1,1.85,3.75,3.9,1.36,3.0,1.03,13.0,1.22,3.75,1.83,2.03,1.75,2.0
23,23,ITrgXLlQ,2025-02-15,07:00,JAPAN - J1 LEAGUE,Shonan Bellmare,Kashima Antlers,ROUND 1,3.5,3.4,2.05,1.44,2.63,1.04,10.0,1.3,3.25,2.08,1.73,1.91,1.91
24,24,K8BpqS6s,2025-02-15,07:30,SOUTH KOREA - K LEAGUE 1,Jeju SK,Seoul,ROUND 1,3.4,3.3,2.15,1.44,2.63,1.06,10.0,1.33,3.25,2.08,1.73,1.83,1.83
25,25,6DuKlISg,2025-02-15,08:00,AUSTRALIA - A-LEAGUE,Western United,Auckland FC,ROUND 19,2.7,3.3,2.63,1.33,3.25,1.04,13.0,1.2,4.5,1.73,2.1,1.57,2.25
26,26,E74gs6yf,2025-02-15,08:30,SOUTH KOREA - K LEAGUE 1,Gwangju FC,Suwon FC,ROUND 1,2.15,3.25,3.4,1.44,2.63,1.07,8.5,1.36,3.0,2.15,1.67,1.83,1.83
27,27,IyDmUSft,2025-02-15,09:30,INDONESIA - LIGA 1,Madura United,Dewa United,ROUND 23,3.0,3.4,2.05,1.3,3.2,1.02,10.0,1.25,3.7,1.75,1.95,1.67,2.1
28,28,K2OXHPNj,2025-02-15,09:35,AUSTRALIA - A-LEAGUE,Adelaide United,Newcastle Jets,ROUND 19,1.5,4.75,5.5,1.2,4.33,1.01,23.0,1.1,7.0,1.33,3.4,1.44,2.63
29,29,ObuwYue3,2025-02-15,11:00,JAPAN - J2 LEAGUE,V-Varen Nagasaki,Kumamoto,ROUND 1,1.85,3.6,3.9,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,1.57,2.25
30,30,UunPi2PH,2025-02-15,11:30,BULGARIA - PARVA LIGA,Krumovgrad,Cherno More,ROUND 21,5.25,3.4,1.73,1.57,2.25,1.11,6.5,1.5,2.5,2.5,1.5,2.38,1.53
31,31,2aXghf1n,2025-02-15,11:30,TURKEY - SUPER LIG,Gaziantep,Sivasspor,ROUND 24,2.05,3.4,3.4,1.36,3.0,1.05,11.0,1.25,3.75,1.85,2.0,1.73,2.0
32,32,zJ6qGiqn,2025-02-15,12:00,PORTUGAL - LIGA PORTUGAL 2,Chaves,Felgueiras,ROUND 22,2.2,3.0,3.3,1.5,2.5,1.08,7.5,1.36,3.0,2.25,1.62,1.91,1.8
33,33,0budka4U,2025-02-15,12:00,THAILAND - THAI LEAGUE 1,Nong Bua Pitchaya,Nakhon Ratchasima FC,ROUND 22,1.91,3.3,3.5,1.36,2.9,1.02,10.0,1.28,3.3,1.85,1.83,1.75,1.95
34,34,IZBM5KlB,2025-02-15,12:00,THAILAND - THAI LEAGUE 1,Sukhothai,Nakhon Pathom,ROUND 22,1.8,3.6,3.6,1.29,3.3,1.01,11.0,1.2,4.0,1.65,2.1,1.61,2.15
35,35,f9bkf35T,2025-02-15,12:30,INDIA - ISL,Chennaiyin,Punjab,ROUND 22,2.35,3.4,2.88,1.36,3.0,1.05,11.0,1.25,3.75,1.83,1.98,1.67,2.1
36,36,U9uJpd95,2025-02-15,13:00,GERMANY - 2. BUNDESLIGA,Braunschweig,Darmstadt,ROUND 22,2.9,3.6,2.25,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.62,2.2
37,37,Uy2jqqY0,2025-02-15,13:00,GERMANY - 2. BUNDESLIGA,Elversberg,Greuther Furth,ROUND 22,1.85,3.9,3.75,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,1.53,2.38
38,38,0Um2lvAt,2025-02-15,13:00,GERMANY - 2. BUNDESLIGA,Kaiserslautern,Hannover,ROUND 22,2.8,3.6,2.3,1.33,3.25,1.03,15.0,1.2,4.33,1.67,2.15,1.57,2.25
39,39,vi1dS6Ph,2025-02-15,13:00,INDONESIA - LIGA 1,Persebaya,PSBS Biak Numfor,ROUND 23,1.65,3.5,4.4,1.38,2.8,1.03,9.0,1.3,3.2,1.91,1.8,1.91,1.8
40,40,AVX8eb03,2025-02-15,13:00,SERBIA - SUPER LIGA,IMT Novi Beograd,Sp. Subotica,ROUND 23,1.83,3.2,3.9,1.44,2.6,1.05,8.0,1.36,2.87,2.1,1.65,1.95,1.75
41,41,GAF592kn,2025-02-15,13:00,THAILAND - THAI LEAGUE 1,Chiangrai Utd,Uthai Thani,ROUND 22,2.45,3.0,2.62,1.43,2.63,1.05,8.0,1.36,2.9,2.05,1.67,1.83,1.85
42,42,xSMDOnyG,2025-02-15,13:30,ENGLAND - PREMIER LEAGUE,Leicester,Arsenal,ROUND 25,8.5,5.0,1.33,1.33,3.25,1.04,13.0,1.22,4.33,1.73,2.1,2.05,1.7
43,43,0dIzjac2,2025-02-15,13:30,CZECH REPUBLIC - CHANCE LIGA,Sigma Olomouc,FK Pardubice,ROUND 22,1.7,3.75,5.0,1.44,2.63,1.06,10.0,1.33,3.25,2.05,1.75,1.95,1.8
44,44,2Tplyj7K,2025-02-15,13:30,ENGLAND - CHAMPIONSHIP,Cardiff,Bristol City,ROUND 33,2.8,3.25,2.55,1.44,2.63,1.07,9.0,1.36,3.2,2.1,1.73,1.83,1.83
45,45,r7xXK3ct,2025-02-15,13:30,ENGLAND - CHAMPIONSHIP,Oxford Utd,Portsmouth,ROUND 33,2.35,3.2,3.1,1.5,2.5,1.08,8.0,1.4,3.0,2.2,1.67,1.83,1.83
46,46,GKzuJsSh,2025-02-15,13:30,ENGLAND - CHAMPIONSHIP,Preston,Burnley,ROUND 33,3.6,3.25,2.1,1.62,2.2,1.11,6.5,1.57,2.38,2.75,1.44,2.38,1.53
47,47,fH0p2u6b,2025-02-15,13:30,ENGLAND - LEAGUE ONE,Cambridge Utd,Exeter,ROUND 32,2.05,3.4,3.5,1.4,2.75,1.06,10.0,1.29,3.5,2.0,1.85,1.8,1.95
