,League,Date,Time,Round,Home,Away,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_BTTS_Yes,HT_Odd_BTTS_No,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Lay_Home,FT_Odd_Lay_Draw,FT_Odd_Lay_Away,Pre_Match_Home_Expected_Goals,Pre_Match_Away_Expected_Goals,Pre_Match_Total_Expected_Goals,BTTS_First_Half_Potential,BTTS_Second_Half_Potential,BTTS_Potential,Pre_Match_Home_Points_per_Game,Pre_Match_Home_Overall_Points_per_Game,Pre_Match_Away_Points_per_Game,Pre_Match_Away_Overall_Points_per_Game
16,Saudi Arabia Professional League,2025-05-20,18:20:00,33,Al Taawon,Al Riyadh,2.75,2.2,3.5,1.33,3.25,2.63,1.44,6.0,1.11,0.0,0.0,2.12,3.55,2.95,1.05,9.5,1.25,3.7,1.83,1.91,1.67,2.1,1.67,1.25,1.35,1.34,1.44,2.78,19.0,22.0,54.0,1.44,1.31,1.13,1.19
17,Georgia Erovnuli Liga,2025-05-20,19:00:00,16,Torpedo Kutaisi,Kolkheti Poti,2.1,2.25,5.0,1.37,2.8,2.8,1.38,6.5,1.07,0.0,0.0,1.56,3.75,5.2,1.05,10.0,1.29,3.5,1.87,1.83,1.83,1.77,2.2,1.25,1.16,1.98,1.4,3.38,14.0,22.0,43.0,1.43,1.6,0.57,0.87
18,Belarus Vysheyshaya Liga,2025-05-20,19:00:00,10,Slavia,Torpedo BelAZ,4.0,2.0,3.0,1.45,2.45,3.1,1.3,6.8,1.06,0.0,0.0,3.31,2.79,2.28,1.07,8.0,1.62,2.3,2.59,1.44,1.91,1.83,1.34,1.35,1.25,0.0,0.0,0.0,0.0,35.0,35.0,1.75,1.89,1.8,1.78
19,UAE Arabian Gulf League,2025-05-20,19:00:00,25,Shabab Al Ahli Dubai,Dibba Al Hisn,1.53,2.88,8.5,1.22,4.0,2.0,1.73,4.0,1.22,0.0,0.0,1.15,6.8,10.5,1.01,29.0,1.08,7.0,1.4,2.75,1.91,1.8,5.0,1.08,1.03,1.86,1.31,3.17,25.0,25.0,59.0,2.67,2.38,0.75,0.67
20,UAE Arabian Gulf League,2025-05-20,19:00:00,25,Al Urooba,Al Bataeh,4.0,2.3,2.38,1.33,3.25,2.5,1.5,5.5,1.13,0.0,0.0,3.35,4.1,1.75,1.03,10.0,1.22,3.95,1.61,2.05,1.67,2.1,1.27,1.22,1.93,1.07,1.34,2.41,38.0,29.0,67.0,0.58,0.42,1.17,1.0
21,Bulgaria First League,2025-05-20,19:15:00,6,Septemvri Sofia,Lokomotiv Sofia 1929,4.65,2.12,2.31,1.33,2.9,2.7,1.37,6.9,1.07,0.0,0.0,3.65,3.72,1.8,1.05,10.0,1.29,3.4,1.85,1.84,1.8,1.95,1.22,1.27,1.3,1.19,1.31,2.5,12.0,18.0,42.0,1.2,1.2,1.17,1.17
22,South Africa Premier Soccer League,2025-05-20,19:30:00,0,SuperSport United,Orlando Pirates,5.0,1.91,2.63,1.57,2.25,3.75,1.25,9.0,1.04,0.0,0.0,3.3,2.9,2.13,1.11,6.25,1.53,2.45,2.37,1.48,2.25,1.57,1.2,1.3,1.8,1.4,1.64,3.04,9.0,13.0,21.0,1.36,1.04,2.08,2.24
23,Saudi Arabia Professional League,2025-05-20,20:00:00,33,Al Shabab,Al Ittihad,2.62,2.59,3.3,1.22,4.0,2.05,1.74,4.33,1.2,0.0,0.0,2.23,3.81,2.63,1.01,17.0,1.12,5.75,1.4,2.75,1.4,2.75,1.67,1.2,1.4,1.76,1.55,3.31,25.0,35.0,66.0,2.0,1.78,1.94,2.41
0,Slovakia Super Liga,2025-05-20,20:00:00,10,FK Košice,Podbrezová,2.45,2.13,4.4,1.36,2.89,2.81,1.38,6.8,1.08,0.0,0.0,2.01,3.45,3.01,1.0,9.1,1.24,3.36,1.88,1.82,1.77,1.94,1.87,1.28,1.24,1.57,1.47,3.04,38.0,35.0,69.0,1.56,1.38,1.0,1.16
24,England Premier League,2025-05-20,21:00:00,37,Manchester City,AFC Bournemouth,2.0,2.6,5.5,1.25,3.75,2.2,1.62,5.0,1.17,0.0,0.0,1.55,4.45,5.3,1.01,13.0,1.15,5.25,1.45,2.63,1.62,2.2,2.45,1.15,1.15,1.93,1.67,3.6,34.0,34.0,70.0,2.17,1.81,1.56,1.47
25,England Premier League,2025-05-20,21:00:00,37,Crystal Palace,Wolverhampton Wanderers,2.88,2.2,3.75,1.4,2.75,2.75,1.4,8.0,1.08,0.0,0.0,2.18,3.3,3.35,1.06,8.5,1.33,3.25,1.95,1.8,1.75,2.0,1.62,1.28,1.35,1.49,1.3,2.79,25.0,31.0,61.0,1.22,1.36,1.17,1.14
26,Paraguay Division Profesional,2025-05-20,21:30:00,20,Sportivo Luqueño,Deportivo Recoleta,2.8,2.05,3.6,1.35,2.85,2.7,1.37,7.0,1.08,0.0,0.0,2.12,3.23,2.95,1.03,9.0,1.32,3.4,1.89,1.81,1.67,2.0,1.57,1.28,1.33,1.39,1.41,2.8,28.0,22.0,56.0,1.05,1.05,1.32,1.32
