,Unnamed: 0,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,1,6oNruHl3,2025-03-05,00:00,ARGENTINA - TORNEO BETANO,Platense,Defensa y Justicia,APERTURA ,2.25,2.9,3.5,1.67,2.1,1.14,5.5,1.67,2.1,3.1,1.36,2.38,1.53
2,2,OtleQv05,2025-03-05,01:30,SOUTH AMERICA - COPA SUDAMERICANA,Sp. Luqueno (Par),Ameliano (Par),QUALIFICATION ,3.0,2.88,2.6,1.57,2.25,1.11,6.5,1.5,2.5,2.6,1.48,2.0,1.73
3,3,fmH5FNom,2025-03-05,01:30,SOUTH AMERICA - COPA SUDAMERICANA,U. Catolica (Chi),Palestino (Chi),QUALIFICATION ,2.8,3.0,2.63,1.4,2.75,1.06,10.0,1.3,3.4,2.05,1.8,1.73,2.0
4,4,nV9VAQEs,2025-03-05,01:30,SOUTH AMERICA - COPA SUDAMERICANA,Universitario de Vinto (Bol),Nacional Potosi (Bol),QUALIFICATION ,2.4,3.4,2.88,1.36,3.0,1.05,11.0,1.25,3.75,1.88,1.98,1.62,2.2
5,5,G25ED1Ga,2025-03-05,03:00,SOUTH AMERICA - COPA SUDAMERICANA,AD Tarma (Per),Cienciano (Per),QUALIFICATION ,2.4,3.2,3.0,1.4,2.75,1.06,9.5,1.3,3.4,2.03,1.83,1.73,2.0
6,6,06DslQsp,2025-03-05,11:30,TURKEY - 1. LIG,Keciorengucu,Erokspor,ROUND 28,1.9,3.5,3.75,1.37,2.75,1.05,11.0,1.29,3.5,1.95,1.85,1.8,1.91
7,7,88Y2e8kA,2025-03-05,14:00,TURKEY - 1. LIG,Corum,Boluspor,ROUND 28,2.0,3.25,3.75,1.41,2.62,1.06,10.0,1.33,3.25,2.05,1.75,1.83,1.83
8,8,tdc8ZQSj,2025-03-05,14:00,TURKEY - 1. LIG,Sanliurfaspor,Adanaspor AS,ROUND 28,2.05,3.25,3.5,1.41,2.62,1.07,9.0,1.33,3.25,2.05,1.75,1.83,1.83
9,9,nFsp9wQN,2025-03-05,14:30,INDONESIA - LIGA 1,Persib Bandung,Persik Kediri,ROUND 26,1.57,3.8,5.0,1.33,3.0,1.02,10.0,1.25,3.6,1.8,1.91,1.85,1.85
10,10,rNpTCLQb,2025-03-05,14:30,INDONESIA - LIGA 1,Persija Jakarta,PSIS Semarang,ROUND 25,1.45,4.2,5.75,1.29,3.4,1.01,11.0,1.17,4.5,1.57,2.25,1.73,2.0
11,11,zP9xGvqm,2025-03-05,15:00,INDIA - ISL,Jamshedpur,Odisha FC,ROUND 25,2.15,3.6,3.0,1.29,3.5,1.03,17.0,1.14,5.5,1.53,2.4,1.44,2.63
12,12,CUKnXRV9,2025-03-05,15:00,SLOVENIA - PRVA LIGA,Primorje,Koper,ROUND 21,3.5,3.1,2.0,1.5,2.4,1.07,6.25,1.42,2.55,2.25,1.53,2.1,1.67
13,13,bRhzONhd,2025-03-05,17:30,SLOVENIA - PRVA LIGA,Domzale,O. Ljubljana,ROUND 22,7.5,4.75,1.3,1.3,3.2,1.03,8.5,1.2,3.8,1.65,2.05,2.1,1.67
14,14,MBbxA743,2025-03-05,18:30,TURKEY - 1. LIG,Karagumruk,Bandirmaspor,ROUND 28,1.91,3.5,3.7,1.37,2.75,1.05,11.0,1.25,3.75,1.88,1.93,1.73,2.0
15,15,QuRbGVfL,2025-03-05,18:45,EUROPE - CHAMPIONS LEAGUE,Feyenoord,Inter,PLAY OFFS ,6.0,4.33,1.5,1.33,3.25,1.04,13.0,1.25,4.0,1.73,2.1,1.91,1.91
16,16,tEbgjfs9,2025-03-05,20:00,EGYPT - PREMIER LEAGUE,Al Ahly,El Gaish,ROUND 17,1.36,3.75,8.0,1.48,2.4,1.05,8.0,1.4,2.7,2.25,1.55,2.4,1.5
17,17,0IL6Sjk2,2025-03-05,20:00,EGYPT - PREMIER LEAGUE,Petrojet,Ghazl El Mahallah,ROUND 17,2.15,2.65,3.6,1.55,2.2,1.1,5.75,1.48,2.4,2.4,1.48,2.1,1.65
18,18,hhIbUCKk,2025-03-05,20:00,EGYPT - PREMIER LEAGUE,Pyramids,Ceramica Cleopatra,ROUND 17,1.67,3.3,4.5,1.36,2.7,1.04,8.5,1.29,3.2,1.9,1.77,1.91,1.8
19,19,xGMFBP76,2025-03-05,20:00,SPAIN - LALIGA2,Racing Club Ferrol,Burgos CF,ROUND 24,3.0,2.7,2.8,1.63,2.1,1.14,5.5,1.67,2.1,3.1,1.36,2.38,1.53
20,20,fs2oCBL7,2025-03-05,20:45,SCOTLAND - CHAMPIONSHIP,Livingston,Raith,ROUND 28,1.67,3.8,4.33,1.41,2.62,1.04,9.0,1.36,3.0,2.1,1.7,2.1,1.67
21,21,A7aLJ41D,2025-03-05,21:00,EUROPE - CHAMPIONS LEAGUE,Bayern Munich,Bayer Leverkusen,PLAY OFFS ,1.75,3.75,4.33,1.33,3.25,1.04,13.0,1.22,4.33,1.73,2.1,1.7,2.05
22,22,WtWCNn2l,2025-03-05,21:00,EUROPE - CHAMPIONS LEAGUE,Benfica,Barcelona,PLAY OFFS ,3.6,4.2,1.85,1.22,4.0,1.02,21.0,1.11,6.5,1.4,3.0,1.4,2.75
23,23,OGp4flY1,2025-03-05,21:00,EUROPE - CHAMPIONS LEAGUE,PSG,Liverpool,PLAY OFFS ,2.35,3.6,2.88,1.25,3.75,1.03,17.0,1.14,5.5,1.5,2.63,1.44,2.63
24,24,pjV6LotC,2025-03-05,23:00,SOUTH AMERICA - COPA LIBERTADORES,FBC Melgar (Per),Cerro Porteno (Par),QUALIFICATION ,1.91,3.25,4.1,1.5,2.5,1.08,7.5,1.4,2.75,2.25,1.62,2.0,1.73
25,25,8pbv94qf,2025-03-05,23:00,SOUTH AMERICA - COPA SUDAMERICANA,Aurora (Bol),GV San Jose (Bol),QUALIFICATION ,1.7,3.6,5.0,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,1.67,2.1
26,26,pMLfctWI,2025-03-05,23:00,SOUTH AMERICA - COPA SUDAMERICANA,Puerto Cabello (Ven),Metropolitanos (Ven),QUALIFICATION ,2.35,3.2,3.2,1.57,2.25,1.1,7.0,1.44,2.63,2.4,1.53,2.1,1.67
27,27,KlivUM0t,2025-03-05,23:00,SOUTH AMERICA - COPA SUDAMERICANA,Racing Montevideo (Uru),Wanderers (Uru),QUALIFICATION ,2.2,3.3,3.4,1.5,2.5,1.08,8.0,1.36,3.0,2.2,1.65,1.91,1.8
28,28,8GQV2p2s,2025-03-05,23:00,SOUTH AMERICA - COPA SUDAMERICANA,U. Espanola (Chi),Everton (Chi),QUALIFICATION ,2.7,3.2,2.7,1.36,3.0,1.05,11.0,1.25,3.75,1.85,2.0,1.62,2.2
