,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,ENGLAND - LEAGUE TWO,2025-03-25,20:45,Carlisle,MK Dons,ROUND 26,2.35,3.3,2.9,1.4,2.75,3.0,1.36,1.05,11.0,1.29,3.5,1.98,1.88,1.73,2.0
2,ENGLAND - LEAGUE TWO,2025-03-25,20:30,Port Vale,Barrow,ROUND 26,1.85,3.25,4.33,1.5,2.5,3.4,1.3,1.07,9.0,1.4,2.75,2.25,1.62,2.0,1.73
3,SCOTLAND - CHAMPIONSHIP,2025-03-25,20:45,Morton,Raith,ROUND 21,2.7,3.0,2.75,1.53,2.38,3.5,1.29,1.1,6.5,1.44,2.63,2.5,1.5,2.0,1.73
4,COLOMBIA - PRIMERA A,2025-03-25,00:10,Dep. Cali,America De Cali,APERTURA ,3.5,3.0,2.25,1.53,2.38,3.75,1.25,1.11,6.5,1.44,2.63,2.4,1.53,2.0,1.73
5,WORLD - WORLD CHAMPIONSHIP,2025-03-25,11:35,Japan,Saudi Arabia,QUALIFICATION ,1.4,4.33,9.0,1.36,3.0,2.75,1.4,1.05,11.0,1.25,3.75,1.85,2.0,2.05,1.7
6,WORLD - WORLD CHAMPIONSHIP,2025-03-25,12:00,China,Australia,QUALIFICATION ,6.25,4.33,1.48,1.36,3.0,2.63,1.44,1.04,12.0,1.25,3.75,1.83,2.03,1.95,1.8
7,WORLD - WORLD CHAMPIONSHIP,2025-03-25,12:00,South Korea,Jordan,QUALIFICATION ,1.53,3.9,7.0,1.4,2.75,3.0,1.36,1.06,10.0,1.3,3.4,2.03,1.83,2.05,1.7
8,WORLD - WORLD CHAMPIONSHIP,2025-03-25,14:45,Indonesia,Bahrain,QUALIFICATION ,2.0,3.4,3.8,1.4,2.75,3.0,1.36,1.06,10.0,1.3,3.4,2.03,1.83,1.8,1.95
9,WORLD - WORLD CHAMPIONSHIP,2025-03-25,14:45,Kyrgyzstan,Qatar,QUALIFICATION ,6.0,3.7,1.62,1.44,2.63,3.25,1.33,1.07,8.5,1.33,3.25,2.1,1.7,2.05,1.7
10,WORLD - WORLD CHAMPIONSHIP,2025-03-25,17:00,Angola,Cape Verde,QUALIFICATION ,2.05,2.88,4.5,1.67,2.1,4.33,1.2,1.14,5.5,1.62,2.2,3.1,1.36,2.5,1.5
11,WORLD - WORLD CHAMPIONSHIP,2025-03-25,17:00,Benin,South Africa,QUALIFICATION ,3.8,2.9,2.2,1.67,2.1,4.33,1.2,1.13,6.0,1.57,2.25,2.88,1.4,2.38,1.53
12,WORLD - WORLD CHAMPIONSHIP,2025-03-25,17:00,Nigeria,Zimbabwe,QUALIFICATION ,1.25,5.25,15.0,1.36,3.0,2.75,1.4,1.05,11.0,1.25,3.75,1.88,1.98,2.63,1.44
13,WORLD - WORLD CHAMPIONSHIP,2025-03-25,17:00,Rwanda,Lesotho,QUALIFICATION ,1.48,3.4,10.0,1.67,2.1,4.33,1.2,1.14,5.5,1.62,2.2,3.1,1.36,3.4,1.3
