,Unnamed: 0,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,1,fFPj7ynL,2025-02-02,00:00,MEXICO - LIGA MX,Club America,Juarez,CLAUSURA ,1.33,4.75,10.0,1.3,3.4,1.04,13.0,1.2,4.33,1.65,2.2,1.95,1.8
2,2,Ea6N1F9r,2025-02-02,00:05,MEXICO - LIGA MX,Guadalajara Chivas,Queretaro,CLAUSURA ,1.44,4.33,7.5,1.36,3.0,1.05,11.0,1.25,3.75,1.83,2.03,2.0,1.75
3,3,z1uIGkjB,2025-02-02,00:30,PARAGUAY - COPA DE PRIMERA,Cerro Porteno,Nacional Asuncion,APERTURA ,1.62,3.5,5.5,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,2.1,1.67
4,4,G4xktQfo,2025-02-02,01:00,ARGENTINA - TORNEO BETANO,Lanus,Sarmiento Junin,APERTURA ,1.62,3.5,6.5,1.57,2.25,1.1,7.0,1.5,2.5,2.5,1.5,2.5,1.5
5,5,23JJeXQ9,2025-02-02,01:00,COSTA RICA - PRIMERA DIVISION,AD Santos,Guanacasteca,CLAUSURA ,1.9,3.25,3.9,1.5,2.5,1.07,9.0,1.4,2.75,2.25,1.62,2.0,1.73
6,6,rubvbX87,2025-02-02,02:00,MEXICO - LIGA MX,Pachuca,Atlas,CLAUSURA ,1.67,4.2,4.75,1.4,2.75,1.04,13.0,1.29,3.5,1.93,1.93,1.95,1.8
7,7,nD4Vagve,2025-02-02,02:05,MEXICO - LIGA MX,Monterrey,Necaxa,CLAUSURA ,1.62,4.2,4.75,1.33,3.25,1.03,15.0,1.2,4.33,1.65,2.2,1.7,2.05
8,8,EswPZk4j,2025-02-02,03:00,COSTA RICA - PRIMERA DIVISION,Liberia,Saprissa,CLAUSURA ,2.9,3.2,2.25,1.4,2.75,1.05,11.0,1.29,3.5,1.93,1.88,1.73,2.0
9,9,8IkQLz1E,2025-02-02,04:15,MEXICO - LIGA MX,Toluca,Tigres UANL,CLAUSURA ,2.1,3.3,3.6,1.44,2.63,1.06,9.5,1.3,3.4,2.05,1.8,1.8,1.95
10,10,r9Ru199d,2025-02-02,09:30,INDONESIA - LIGA 1,Borneo,PSS Sleman,ROUND 21,1.44,4.0,5.5,1.3,3.2,1.01,11.0,1.22,3.9,1.67,2.1,1.83,1.85
11,11,raOROC13,2025-02-02,09:30,INDONESIA - LIGA 1,Semen Padang,Malut United,ROUND 21,2.9,3.0,2.25,1.48,2.5,1.06,7.5,1.4,2.75,2.2,1.61,1.91,1.8
12,12,p8GWWnZ8,2025-02-02,11:30,TURKEY - SUPER LIG,Adana Demirspor,Kasimpasa,ROUND 22,4.2,3.9,1.7,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,1.57,2.25
13,13,YJyH72Lj,2025-02-02,11:30,TURKEY - 1. LIG,Sanliurfaspor,Istanbulspor AS,ROUND 22,3.3,3.4,2.05,1.4,2.75,1.05,11.0,1.25,3.75,1.88,1.93,1.73,2.0
14,14,MuIBTqrA,2025-02-02,11:30,TURKEY - 1. LIG,Umraniyespor,Ankaragucu,ROUND 22,3.1,3.4,2.1,1.36,3.0,1.04,13.0,1.22,4.0,1.8,2.0,1.67,2.1
15,15,CKyTlfTk,2025-02-02,12:00,PORTUGAL - LIGA PORTUGAL 2,Oliveirense,Torreense,ROUND 20,3.2,3.2,2.05,1.44,2.63,1.06,10.0,1.33,3.25,2.1,1.7,1.83,1.83
16,16,IHlqy9qK,2025-02-02,12:00,THAILAND - THAI LEAGUE 1,Chiangrai Utd,Nakhon Pathom,ROUND 20,2.1,3.0,3.2,1.44,2.6,1.06,7.5,1.36,2.8,2.15,1.65,1.91,1.8
17,17,pU7jpqoC,2025-02-02,12:15,NETHERLANDS - EREDIVISIE,Almere City,Waalwijk,ROUND 21,2.2,3.5,3.25,1.4,2.75,1.05,11.0,1.29,3.5,1.95,1.9,1.75,2.0
18,18,4Cqx3B2T,2025-02-02,12:15,POLAND - EKSTRAKLASA,Gornik Zabrze,Puszcza,ROUND 19,1.55,4.1,5.75,1.36,3.0,1.04,13.0,1.25,3.75,1.88,1.98,1.95,1.8
19,19,t0ciuOTg,2025-02-02,12:30,ITALY - SERIE A,Juventus,Empoli,ROUND 23,1.4,4.75,8.0,1.4,2.75,1.05,11.0,1.29,3.75,1.93,1.97,2.2,1.62
20,20,banf0bgn,2025-02-02,12:45,HUNGARY - OTP BANK LIGA,Debrecen,Nyiregyhaza,ROUND 18,2.0,3.6,3.25,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,1.62,2.2
21,21,b99w3Cuf,2025-02-02,12:50,CROATIA - HNL,Lok. Zagreb,Hajduk Split,ROUND 20,3.75,3.3,1.9,1.44,2.63,1.06,9.5,1.3,3.4,2.05,1.8,1.83,1.83
22,22,hdbJQrUj,2025-02-02,13:00,CZECH REPUBLIC - CHANCE LIGA,Slovacko,Sparta Prague,ROUND 20,4.33,3.5,1.73,1.4,2.75,1.05,11.0,1.29,3.5,1.93,1.93,1.8,1.95
23,23,GCMZMjWF,2025-02-02,13:00,INDONESIA - LIGA 1,Persija Jakarta,PSBS Biak Numfor,ROUND 21,1.61,3.6,4.5,1.36,2.9,1.02,10.0,1.25,3.5,1.8,1.91,1.83,1.85
24,24,4U0V7B2b,2025-02-02,13:00,SLOVENIA - PRVA LIGA,O. Ljubljana,Primorje,ROUND 19,1.22,5.0,10.0,1.33,3.0,1.04,10.0,1.25,3.5,1.8,1.91,2.5,1.48
25,25,xMBdD5iD,2025-02-02,13:00,THAILAND - THAI LEAGUE 1,Khonkaen Utd.,Prachuap,ROUND 20,3.3,3.4,1.91,1.3,3.2,1.02,10.0,1.22,3.75,1.73,2.0,1.65,2.1
26,26,CEMHWpcM,2025-02-02,13:30,BELGIUM - JUPILER PRO LEAGUE,Antwerp,Club Brugge KV,ROUND 24,4.75,3.6,1.73,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,1.7,2.05
27,27,tCqQ08H0,2025-02-02,13:30,BELGIUM - CHALLENGER PRO LEAGUE,Francs Borains,Patro Eisden,ROUND 20,3.7,3.5,1.91,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.62,2.2
28,28,M9opBbMH,2025-02-02,13:30,GERMANY - 2. BUNDESLIGA,Hamburger SV,Hannover,ROUND 20,1.85,3.75,3.9,1.33,3.25,1.03,15.0,1.2,4.33,1.67,2.15,1.62,2.2
29,29,K4op7kLq,2025-02-02,13:30,GERMANY - 2. BUNDESLIGA,Kaiserslautern,Preussen Munster,ROUND 20,1.85,3.7,3.9,1.36,3.0,1.04,13.0,1.22,4.0,1.8,2.0,1.73,2.0
30,30,GA3Ihj6j,2025-02-02,13:30,GERMANY - 2. BUNDESLIGA,Paderborn,Greuther Furth,ROUND 20,1.75,4.1,4.0,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,1.57,2.25
31,31,hrgyRZ3M,2025-02-02,13:30,GERMANY - 3. LIGA,Arminia Bielefeld,RW Essen,ROUND 22,1.7,3.9,4.33,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.73,2.0
32,32,t8uaVxKh,2025-02-02,14:00,SPAIN - LALIGA,Barcelona,Alaves,ROUND 22,1.18,7.5,13.0,1.2,4.33,1.01,23.0,1.1,7.0,1.33,3.4,1.95,1.8
33,33,zFzi1NXH,2025-02-02,14:00,SERBIA - SUPER LIGA,IMT Novi Beograd,Jedinstvo U.,ROUND 21,1.4,4.2,6.0,1.33,3.0,1.02,10.0,1.28,3.4,1.8,1.91,2.05,1.7
34,34,GU9Ftp7t,2025-02-02,14:00,SPAIN - LALIGA2,Castellon,Huesca,ROUND 25,2.0,3.3,3.9,1.44,2.63,1.07,9.0,1.33,3.25,2.1,1.7,1.83,1.83
35,35,d4oCCImf,2025-02-02,14:00,TURKEY - SUPER LIG,Goztepe,Alanyaspor,ROUND 22,1.65,3.6,4.75,1.36,3.0,1.05,11.0,1.25,3.75,1.88,1.98,1.83,1.83
36,36,Yymi9Fde,2025-02-02,14:00,TURKEY - 1. LIG,Amedspor,Sakaryaspor,ROUND 22,1.7,3.6,4.75,1.37,2.8,1.06,10.0,1.33,3.25,2.08,1.73,1.91,1.8
37,37,2yooDOcT,2025-02-02,14:00,TURKEY - 1. LIG,Manisa FK,Karagumruk,ROUND 22,2.55,3.3,2.6,1.44,2.63,1.05,11.0,1.3,3.4,2.0,1.8,1.8,1.91
38,38,bDZ2bFRk,2025-02-02,14:15,SWITZERLAND - SUPER LEAGUE,Luzern,St. Gallen,ROUND 21,2.2,3.6,3.1,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,1.44,2.63
39,39,x44rn5Ga,2025-02-02,14:30,NETHERLANDS - EREDIVISIE,Ajax,Feyenoord,ROUND 21,2.2,3.6,3.0,1.33,3.25,1.03,15.0,1.2,4.33,1.65,2.2,1.57,2.25
40,40,x2PORzVp,2025-02-02,14:30,NETHERLANDS - EREDIVISIE,G.A. Eagles,Twente,ROUND 21,2.55,3.6,2.55,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,1.53,2.38
41,41,nXn1ckQj,2025-02-02,14:45,POLAND - EKSTRAKLASA,Jagiellonia,Radomiak Radom,ROUND 19,1.7,4.1,4.5,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,1.67,2.1
42,42,ERvUgyWO,2025-02-02,15:00,ENGLAND - PREMIER LEAGUE,Brentford,Tottenham,ROUND 24,2.0,3.9,3.3,1.2,4.33,1.02,21.0,1.1,7.0,1.33,3.4,1.33,3.25
43,43,SU438zoI,2025-02-02,15:00,ENGLAND - PREMIER LEAGUE,Manchester Utd,Crystal Palace,ROUND 24,1.91,3.5,4.2,1.4,2.75,1.06,10.0,1.29,3.75,1.95,1.95,1.75,2.0
44,44,x6aA5Ijn,2025-02-02,15:00,FRANCE - LIGUE 1,Toulouse,Nice,ROUND 20,2.5,3.4,2.75,1.4,2.75,1.05,11.0,1.29,3.75,1.95,1.95,1.7,2.05
45,45,Kp9rspas,2025-02-02,15:00,ITALY - SERIE A,Fiorentina,Genoa,ROUND 23,1.67,3.8,5.25,1.44,2.63,1.07,9.0,1.36,3.2,2.1,1.73,2.0,1.75
46,46,6X5ZMXWP,2025-02-02,15:00,CROATIA - HNL,Osijek,D. Zagreb,ROUND 20,3.7,3.5,1.85,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.67,2.1
47,47,29YGM94L,2025-02-02,15:00,EGYPT - PREMIER LEAGUE,Ceramica Cleopatra,Smouha,ROUND 11,1.95,3.1,3.5,1.48,2.5,1.07,7.0,1.4,2.75,2.2,1.6,2.0,1.73
48,48,UPw8oHGs,2025-02-02,15:00,INDIA - ISL,Jamshedpur,Goa,ROUND 20,3.4,3.6,1.95,1.33,3.25,1.03,15.0,1.2,4.33,1.67,2.15,1.62,2.2
49,49,voQk37Bs,2025-02-02,15:00,ITALY - SERIE B,Carrarese,Brescia,ROUND 24,2.3,3.0,3.3,1.5,2.5,1.08,8.0,1.4,2.75,2.3,1.6,1.95,1.8
50,50,QHGPFpem,2025-02-02,15:00,ITALY - SERIE B,Salernitana,Cremonese,ROUND 24,3.1,3.25,2.3,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,1.91,1.91
51,51,ld1kAtPO,2025-02-02,15:00,ITALY - SERIE B,Sudtirol,Reggiana,ROUND 24,2.45,2.8,3.3,1.62,2.2,1.14,5.5,1.62,2.2,3.1,1.36,2.2,1.62
52,52,f3edfG5S,2025-02-02,15:00,PORTUGAL - LIGA PORTUGAL 2,Chaves,Maritimo,ROUND 20,2.25,3.2,3.25,1.5,2.5,1.07,9.0,1.36,3.0,2.15,1.67,1.83,1.83
53,53,jNpF5LLU,2025-02-02,15:00,SLOVENIA - PRVA LIGA,Mura,Nafta,ROUND 19,1.8,3.4,3.9,1.43,2.63,1.06,8.5,1.33,3.1,1.95,1.75,1.91,1.8
54,54,2y7hqP6e,2025-02-02,15:30,GERMANY - BUNDESLIGA,Eintracht Frankfurt,Wolfsburg,ROUND 20,1.95,3.8,3.6,1.25,3.75,1.03,17.0,1.14,5.5,1.5,2.63,1.44,2.63
55,55,86ynqipI,2025-02-02,15:30,CZECH REPUBLIC - CHANCE LIGA,Jablonec,Bohemians,ROUND 20,1.73,3.5,4.1,1.4,2.75,1.05,11.0,1.25,3.75,1.9,1.95,1.8,1.95
56,56,AkjEDXrC,2025-02-02,15:30,GREECE - SUPER LEAGUE,Levadiakos,Olympiacos Piraeus,ROUND 21,8.5,4.2,1.42,1.4,2.75,1.05,11.0,1.3,3.4,2.03,1.83,2.25,1.57
57,57,xxrFCP5j,2025-02-02,16:00,BELGIUM - JUPILER PRO LEAGUE,Royale Union SG,St. Truiden,ROUND 24,1.42,4.33,7.5,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,1.8,1.95
58,58,OCfn8jPQ,2025-02-02,16:00,BELGIUM - CHALLENGER PRO LEAGUE,RAAL La Louviere,Waregem,ROUND 20,2.5,3.25,2.63,1.36,3.0,1.04,13.0,1.25,3.75,1.83,2.03,1.62,2.2
59,59,21OxQQyp,2025-02-02,16:00,ENGLAND - LEAGUE ONE,Bristol Rovers,Peterborough,ROUND 30,3.0,3.3,2.25,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.57,2.25
60,60,Uur6FgEa,2025-02-02,16:00,GREECE - SUPER LEAGUE,Athens Kallithea,Aris,ROUND 21,3.8,3.1,2.1,1.5,2.5,1.08,8.0,1.36,3.0,2.25,1.62,1.95,1.8
61,61,SUnY4V2K,2025-02-02,16:00,SCOTLAND - PREMIERSHIP,Motherwell,Celtic,ROUND 25,12.0,7.5,1.2,1.22,4.0,1.02,21.0,1.13,6.0,1.44,2.75,2.0,1.75
62,62,bDw4a9Qs,2025-02-02,16:00,SCOTLAND - PREMIERSHIP,Rangers,Ross County,ROUND 25,1.14,8.0,15.0,1.22,4.0,1.02,21.0,1.11,6.5,1.4,3.0,2.1,1.67
63,63,zyCRD0HN,2025-02-02,16:00,SERBIA - SUPER LIGA,TSC,Crvena zvezda,ROUND 21,5.25,4.5,1.44,1.22,3.8,1.03,10.0,1.13,5.25,1.44,2.6,1.61,2.2
64,64,YsxiXbkt,2025-02-02,16:15,SPAIN - LALIGA,Valencia,Celta Vigo,ROUND 22,2.3,3.1,3.4,1.5,2.5,1.08,8.0,1.4,3.0,2.2,1.67,1.91,1.91
65,65,tOV06DMc,2025-02-02,16:15,ROMANIA - SUPERLIGA,Univ. Craiova,Poli Iasi,ROUND 24,1.38,4.5,7.0,1.36,3.0,1.04,13.0,1.29,3.5,1.9,1.95,2.1,1.67
66,66,0G4atyDc,2025-02-02,16:15,SPAIN - LALIGA2,Eibar,Dep. La Coruna,ROUND 25,2.25,3.3,3.2,1.5,2.5,1.07,9.0,1.4,2.75,2.2,1.65,1.91,1.8
67,67,jwgyNQ2l,2025-02-02,16:30,GERMANY - 3. LIGA,Unterhaching,VfL Osnabruck,ROUND 22,3.6,3.6,1.95,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.67,2.1
68,68,pYZzmYc2,2025-02-02,16:30,PORTUGAL - LIGA PORTUGAL 2,Alverca,Leiria,ROUND 20,2.25,3.2,3.25,1.5,2.5,1.07,9.0,1.36,3.0,2.15,1.67,1.91,1.8
69,69,8dMf45F8,2025-02-02,16:30,SWITZERLAND - SUPER LEAGUE,Yverdon,Winterthur,ROUND 21,2.35,3.3,3.0,1.36,3.0,1.05,11.0,1.25,3.75,1.93,1.93,1.62,2.2
70,70,tAK22qpL,2025-02-02,16:30,SWITZERLAND - SUPER LEAGUE,Zurich,Basel,ROUND 21,3.5,3.3,2.1,1.36,3.0,1.04,13.0,1.22,4.0,1.8,2.0,1.62,2.2
71,71,jmb5vEEj,2025-02-02,16:45,NETHERLANDS - EREDIVISIE,Sparta Rotterdam,Groningen,ROUND 21,1.83,3.6,4.5,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,1.8,1.95
72,72,jyQ2xigB,2025-02-02,16:45,NETHERLANDS - EERSTE DIVISIE,Oss,Helmond,ROUND 24,2.38,3.5,2.8,1.36,3.0,1.04,12.0,1.25,3.75,1.83,2.03,1.67,2.1
73,73,dUOaa12U,2025-02-02,17:00,SERBIA - SUPER LIGA,Zeleznicar Pancevo,Radnicki Nis,ROUND 21,2.0,3.25,3.25,1.4,2.7,1.03,9.0,1.33,3.1,2.0,1.73,1.85,1.85
74,74,UaYq9qs2,2025-02-02,17:00,TURKEY - SUPER LIG,Fenerbahce,Rizespor,ROUND 22,1.3,5.0,9.0,1.25,3.75,1.02,19.0,1.14,5.5,1.48,2.6,1.8,1.91
75,75,EFE3V5Dc,2025-02-02,17:00,TURKEY - 1. LIG,Erokspor,Boluspor,ROUND 22,2.3,3.1,3.1,1.44,2.63,1.07,8.5,1.33,3.25,2.1,1.7,1.83,1.83
76,76,YiZaoF5U,2025-02-02,17:15,FRANCE - LIGUE 1,Angers,Le Havre,ROUND 20,1.95,3.4,3.9,1.5,2.5,1.08,8.0,1.4,3.0,2.2,1.67,2.0,1.75
77,77,tpHhmyyI,2025-02-02,17:15,FRANCE - LIGUE 1,Reims,Nantes,ROUND 20,2.2,3.4,3.3,1.44,2.63,1.07,9.0,1.33,3.4,2.1,1.73,1.8,1.95
78,78,pW2I3dLb,2025-02-02,17:15,FRANCE - LIGUE 1,Rennes,Strasbourg,ROUND 20,2.05,3.5,3.5,1.4,2.75,1.05,11.0,1.29,3.75,1.95,1.95,1.75,2.0
79,79,fDlJ8TmK,2025-02-02,17:15,ITALY - SERIE B,Bari,Frosinone,ROUND 24,2.05,3.1,4.1,1.5,2.5,1.08,8.0,1.4,2.75,2.3,1.6,2.0,1.75
80,80,8E9Tec1C,2025-02-02,17:30,ENGLAND - PREMIER LEAGUE,Arsenal,Manchester City,ROUND 24,1.91,3.5,4.1,1.33,3.25,1.04,13.0,1.22,4.33,1.73,2.1,1.62,2.2
81,81,4QdDhTq9,2025-02-02,17:30,GERMANY - BUNDESLIGA,Bayer Leverkusen,Hoffenheim,ROUND 20,1.22,7.5,10.0,1.2,4.33,1.01,23.0,1.1,7.0,1.33,3.4,1.75,2.0
82,82,WCp2bxOb,2025-02-02,17:30,HUNGARY - OTP BANK LIGA,Kecskemeti TE,Zalaegerszegi,ROUND 18,2.35,3.4,2.8,1.4,2.75,1.05,11.0,1.3,3.4,2.03,1.83,1.73,2.0
83,83,zgTeJWnA,2025-02-02,17:30,POLAND - EKSTRAKLASA,Legia,Korona Kielce,ROUND 19,1.5,4.2,6.0,1.36,3.0,1.04,13.0,1.25,3.75,1.85,2.0,1.95,1.8
84,84,WG2N9XXo,2025-02-02,17:30,SLOVENIA - PRVA LIGA,Radomlje,Koper,ROUND 19,3.2,3.1,2.05,1.44,2.6,1.07,7.5,1.36,2.9,2.1,1.67,1.91,1.83
