,League,Date,Time,Round,Home,Away,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_BTTS_Yes,HT_Odd_BTTS_No,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Lay_Home,FT_Odd_Lay_Draw,FT_Odd_Lay_Away,Pre_Match_Home_Expected_Goals,Pre_Match_Away_Expected_Goals,Pre_Match_Total_Expected_Goals,BTTS_First_Half_Potential,BTTS_Second_Half_Potential,BTTS_Potential,Pre_Match_Home_Points_per_Game,Pre_Match_Home_Overall_Points_per_Game,Pre_Match_Away_Points_per_Game,Pre_Match_Away_Overall_Points_per_Game
0,USA MLS Next Pro,2025-06-09,00:00:00,0,FC Cincinnati II,Toronto II,3.1,2.18,2.94,1.33,3.04,2.61,1.41,6.4,1.09,0.0,0.0,2.52,3.38,2.7,1.02,10.0,1.25,3.1,1.8,1.95,1.61,2.12,1.48,0.0,1.22,1.22,1.61,2.83,10.0,20.0,30.0,0.8,0.5,1.2,1.27
1,Canada Canadian Premier League,2025-06-09,00:00:00,0,Cavalry FC,York9 FC,2.05,2.25,5.25,1.31,3.11,2.6,1.44,6.0,1.09,0.0,0.0,1.6,3.74,4.6,1.04,11.8,1.2,3.78,1.74,2.0,1.75,1.95,2.2,0.0,1.18,1.8,1.5,3.3,13.0,25.0,63.0,1.75,1.75,0.75,1.11
2,USA MLS,2025-06-09,01:00:00,0,Portland Timbers,St. Louis City,2.25,2.5,4.33,1.25,3.75,2.2,1.62,5.0,1.17,0.0,0.0,1.7,3.75,3.8,1.04,10.0,1.18,4.75,1.51,2.39,1.53,2.38,2.05,1.24,1.22,1.4,1.17,2.57,26.0,26.0,50.0,1.88,1.63,0.63,0.88
3,Brazil Serie B,2025-06-09,01:30:00,11,Remo,Operário PR,3.1,1.93,3.7,1.57,2.25,3.75,1.25,11.0,1.04,0.0,0.0,2.24,3.02,3.15,1.13,5.75,1.53,2.3,2.5,1.4,2.2,1.62,1.54,1.37,1.39,1.3,1.45,2.75,20.0,10.0,30.0,2.6,1.7,1.2,1.4
4,USA MLS Next Pro,2025-06-09,02:00:00,0,Colorado Rapids II,Austin II,2.55,2.2,3.4,1.28,3.35,2.25,1.56,5.0,1.13,0.0,0.0,2.25,3.5,2.63,1.02,11.5,1.17,4.1,1.55,2.17,1.5,2.3,1.62,0.0,1.17,1.49,1.05,2.54,13.0,13.0,25.0,1.5,1.67,1.0,1.1
5,USA MLS,2025-06-09,03:00:00,0,Vancouver Whitecaps,Seattle Sounders,3.75,2.2,2.88,1.36,3.0,2.75,1.4,7.0,1.1,0.0,0.0,2.82,3.13,2.24,1.06,8.5,1.3,3.45,1.86,1.84,1.7,2.05,1.38,1.3,1.57,1.98,1.56,3.54,30.0,13.0,54.0,2.13,2.13,1.0,1.53
6,USA MLS,2025-06-09,03:00:00,0,Los Angeles FC,Sporting KC,1.91,2.75,5.5,1.22,4.0,2.0,1.73,4.33,1.2,0.0,0.0,1.43,4.3,5.3,1.03,11.0,1.14,5.5,1.57,2.25,1.57,2.25,2.55,1.18,1.14,1.77,1.38,3.15,17.0,31.0,48.0,2.29,1.53,0.89,1.0
7,Sweden Damallsvenskan,2025-06-09,19:00:00,10,Linköping,Häcken W,6.8,2.88,1.55,1.17,4.35,2.03,1.75,3.9,1.22,0.0,0.0,12.0,5.51,1.19,1.0,21.0,1.11,5.75,1.36,3.0,1.85,1.85,1.04,1.05,4.1,0.99,1.72,2.71,0.0,25.0,38.0,0.5,0.56,1.5,2.0
