,Unnamed: 0,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,1,YPdVX8H5,2025-01-25,23:00,COSTA RICA - PRIMERA DIVISION,Liberia,AD Santos,CLAUSURA ,1.57,3.75,4.75,1.4,2.75,1.06,10.0,1.29,3.5,1.95,1.85,1.91,1.8
2,2,GCOpzeXI,2025-01-25,23:15,ARGENTINA - TORNEO BETANO,Estudiantes L.P.,Union de Santa Fe,APERTURA ,1.75,3.3,5.5,1.57,2.25,1.1,7.0,1.5,2.5,2.6,1.48,2.38,1.53
3,3,n7mw5FWh,2025-01-25,23:15,ARGENTINA - TORNEO BETANO,Instituto,Gimnasia L.P.,APERTURA ,1.95,3.1,4.75,1.57,2.25,1.13,6.0,1.5,2.5,2.6,1.48,2.2,1.62
4,4,x8z1oUr3,2025-01-25,23:30,PARAGUAY - PRIMERA DIVISION,General Caballero JLM,Recoleta,APERTURA ,1.95,3.3,3.9,1.53,2.38,1.1,7.0,1.5,2.5,2.5,1.5,2.2,1.62
5,5,ldVq0sHt,2025-01-26,00:00,MEXICO - LIGA MX,Club Leon,Juarez,CLAUSURA ,1.75,3.7,4.75,1.36,3.0,1.04,13.0,1.22,4.0,1.8,2.0,1.75,2.0
6,6,YqeztvWO,2025-01-26,00:00,MEXICO - LIGA MX,Cruz Azul,Puebla,CLAUSURA ,1.29,5.5,10.0,1.33,3.25,1.03,15.0,1.22,4.0,1.73,2.08,2.25,1.57
7,7,jufU6y2t,2025-01-26,01:30,ARGENTINA - TORNEO BETANO,Platense,River Plate,APERTURA ,5.75,3.3,1.73,1.57,2.25,1.11,6.5,1.53,2.38,2.7,1.44,2.5,1.5
8,8,jLR0daG5,2025-01-26,02:05,MEXICO - LIGA MX,Guadalajara Chivas,Tigres UANL,CLAUSURA ,2.88,3.1,2.6,1.5,2.5,1.08,8.0,1.36,3.0,2.25,1.62,1.95,1.8
9,9,CzG9fwoI,2025-01-26,02:05,MEXICO - LIGA MX,Santos Laguna,Club America,CLAUSURA ,5.25,4.1,1.62,1.36,3.0,1.05,11.0,1.25,3.75,1.88,1.98,1.91,1.91
10,10,xb3MZUng,2025-01-26,03:00,COSTA RICA - PRIMERA DIVISION,Herediano,Saprissa,CLAUSURA ,2.15,3.3,3.1,1.44,2.63,1.06,10.0,1.36,3.0,2.1,1.7,1.83,1.83
11,11,pOOhbLog,2025-01-26,04:10,MEXICO - LIGA MX,Monterrey,Pachuca,CLAUSURA ,1.75,3.9,4.2,1.36,3.0,1.04,13.0,1.25,3.75,1.8,2.0,1.8,1.95
12,12,MNtZAQTk,2025-01-26,07:00,AUSTRALIA - A-LEAGUE,WS Wanderers,Auckland FC,ROUND 16,2.7,3.6,2.45,1.33,3.25,1.03,15.0,1.22,4.33,1.67,2.2,1.57,2.25
13,13,rP7Icz34,2025-01-26,07:30,INDONESIA - LIGA 1,PSBS Biak Numfor,PSIS Semarang,ROUND 20,1.7,3.35,4.5,1.34,2.95,1.04,10.5,1.27,3.55,1.92,1.81,1.82,1.9
14,14,4vdReEXG,2025-01-26,09:30,INDONESIA - LIGA 1,PSS Sleman,Semen Padang,ROUND 20,1.73,3.4,4.2,1.38,2.8,1.03,9.0,1.33,3.1,1.95,1.75,1.91,1.8
15,15,v7HMeCgC,2025-01-26,11:00,SINGAPORE - PREMIER LEAGUE,Geylang,Lion City,ROUND 24,3.4,5.25,1.62,1.13,6.0,1.01,34.0,1.04,13.0,1.17,5.0,1.22,4.0
16,16,WhWcRI1m,2025-01-26,11:00,SINGAPORE - PREMIER LEAGUE,Tanjong Pagar,DPMM,ROUND 24,3.0,4.33,1.8,1.17,5.0,1.01,34.0,1.06,10.0,1.25,4.0,1.29,3.5
17,17,dO9lkkjT,2025-01-26,11:30,TURKEY - SUPER LIG,Rizespor,Adana Demirspor,ROUND 21,1.3,5.0,9.5,1.25,3.75,1.03,17.0,1.14,5.5,1.5,2.5,1.83,1.83
18,18,lCqynnaU,2025-01-26,11:30,TURKEY - 1. LIG,Ankaragucu,Erzurumspor,ROUND 21,1.91,3.0,4.5,1.5,2.5,1.08,7.5,1.36,3.0,2.25,1.62,2.0,1.73
19,19,0jDg4TEb,2025-01-26,11:30,TURKEY - 1. LIG,Bandirmaspor,Keciorengucu,ROUND 21,1.8,3.6,4.2,1.4,2.75,1.05,11.0,1.29,3.5,1.93,1.88,1.8,1.91
