,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,COLOMBIA - PRIMERA A,2025-05-01,21:00,Envigado,Once Caldas, APERTURA,3.5,3.1,2.15,1.53,2.38,3.5,1.29,1.1,7.0,1.44,2.63,2.5,1.5,2.1,1.67
2,COLOMBIA - PRIMERA B,2025-05-01,23:10,Jaguares de Cordoba,Cucuta, APERTURA,2.4,3.0,2.9,1.5,2.5,3.3,1.29,1.08,6.5,1.44,2.63,2.25,1.57,1.91,1.8
3,ARGENTINA - TORNEO BETANO,2025-05-01,02:00,Atl. Tucuman,Independiente, APERTURA,3.5,3.1,2.25,1.53,2.38,3.5,1.29,1.1,7.0,1.44,2.63,2.5,1.5,2.1,1.67
4,MOROCCO - BOTOLA PRO,2025-05-01,21:00,Berkane,Difaa El Jadidi, ROUND 27,2.05,3.1,3.5,1.5,2.5,3.4,1.3,1.08,7.5,1.4,2.75,2.25,1.62,2.0,1.73
5,COLOMBIA - PRIMERA A,2025-05-01,01:00,Aguilas,America De Cali, APERTURA,3.8,2.88,2.2,1.67,2.1,4.0,1.22,1.14,5.5,1.62,2.2,3.1,1.36,2.38,1.53
6,COLOMBIA - PRIMERA B,2025-05-01,02:00,Cartagena,Huila, APERTURA,2.2,3.1,3.1,1.44,2.63,3.0,1.33,1.07,7.0,1.36,2.88,2.2,1.62,1.83,1.83
7,COLOMBIA - PRIMERA A,2025-05-01,03:10,Llaneros,Santa Fe, APERTURA,2.6,3.1,2.8,1.57,2.25,3.75,1.25,1.1,7.0,1.5,2.5,2.6,1.48,2.2,1.62
8,CHINA - SUPER LEAGUE,2025-05-01,09:30,Dalian Yingbo,Yunnan Yukun, ROUND 10,2.05,3.4,3.5,1.4,2.75,2.75,1.4,1.05,11.0,1.29,3.5,1.95,1.9,1.75,2.0
9,LATVIA - VIRSLIGA,2025-05-01,12:00,Super Nova,Riga FC, ROUND 10,13.0,6.5,1.15,1.22,3.8,2.1,1.67,1.01,1.01,1.13,5.25,1.44,2.6,2.25,1.57
10,CHINA - SUPER LEAGUE,2025-05-01,12:30,Shenzhen Xinpengcheng,Tianjin Jinmen Tiger, ROUND 10,3.0,3.6,2.2,1.36,3.0,2.75,1.4,1.05,11.0,1.25,3.75,1.9,1.95,1.75,2.0
11,ITALY - SERIE B,2025-05-01,12:30,Juve Stabia,Catanzaro, ROUND 36,2.05,3.5,3.4,1.36,3.0,2.63,1.44,1.04,13.0,1.25,3.75,1.85,2.0,1.7,2.05
12,CHINA - SUPER LEAGUE,2025-05-01,13:00,Henan Songshan Longmen,Wuhan Three Towns, ROUND 10,1.9,3.6,3.75,1.36,3.0,2.63,1.44,1.04,13.0,1.25,3.75,1.8,2.0,1.75,2.0
13,CHINA - SUPER LEAGUE,2025-05-01,13:00,Zhejiang Professional,Changchun Yatai, ROUND 10,1.6,4.2,5.0,1.25,3.75,2.2,1.62,1.03,17.0,1.14,5.5,1.53,2.4,1.62,2.2
14,BELGIUM - JUPILER PRO LEAGUE,2025-05-01,13:30,Antwerp,Anderlecht, CHAMPIONSHIP GROUP,2.5,3.4,2.6,1.33,3.25,2.5,1.5,1.04,13.0,1.22,4.0,1.73,2.08,1.62,2.2
15,CHINA - SUPER LEAGUE,2025-05-01,13:35,Shandong Taishan,Qingdao Hainiu, ROUND 10,1.2,6.5,12.0,1.2,4.33,2.0,1.8,1.02,21.0,1.11,6.5,1.4,2.88,1.91,1.91
16,CHINA - SUPER LEAGUE,2025-05-01,13:35,Shanghai Port,Beijing Guoan, ROUND 10,2.15,3.8,3.0,1.22,4.0,2.0,1.73,1.02,19.0,1.13,6.0,1.44,2.7,1.4,2.75
17,INDONESIA - LIGA 1,2025-05-01,14:00,Bali United,PSIS Semarang, ROUND 31,1.6,4.33,4.33,1.29,3.4,2.38,1.53,1.01,1.01,1.2,4.33,1.57,2.25,1.62,2.2
18,ITALY - SERIE B,2025-05-01,15:00,Cosenza,Bari, ROUND 36,3.3,3.2,2.25,1.44,2.63,3.25,1.33,1.07,9.0,1.33,3.25,2.1,1.7,1.91,1.91
19,ITALY - SERIE B,2025-05-01,15:00,Mantova,Cesena, ROUND 36,2.45,3.3,2.8,1.36,3.0,2.75,1.4,1.05,11.0,1.29,3.5,1.93,1.93,1.7,2.05
20,ITALY - SERIE B,2025-05-01,15:00,Modena,Reggiana, ROUND 36,1.85,3.2,4.75,1.5,2.5,3.4,1.3,1.08,8.0,1.4,2.75,2.3,1.6,2.05,1.7
21,ITALY - SERIE B,2025-05-01,15:00,Palermo,Sudtirol, ROUND 36,1.95,3.1,4.33,1.44,2.63,3.0,1.36,1.06,10.0,1.33,3.25,2.08,1.73,1.91,1.91
22,ITALY - SERIE B,2025-05-01,15:00,Pisa,Frosinone, ROUND 36,1.75,3.25,5.25,1.4,2.75,2.75,1.4,1.06,10.0,1.29,3.5,1.98,1.88,1.91,1.91
23,ITALY - SERIE B,2025-05-01,15:00,Sampdoria,Cremonese, ROUND 36,3.1,3.25,2.3,1.36,3.0,2.75,1.4,1.05,11.0,1.25,3.75,1.93,1.93,1.7,2.05
24,ITALY - SERIE B,2025-05-01,15:00,Spezia,Salernitana, ROUND 36,1.8,3.2,5.0,1.36,3.0,2.75,1.4,1.05,11.0,1.25,3.75,1.9,1.95,1.75,2.0
25,BELGIUM - JUPILER PRO LEAGUE,2025-05-01,16:00,Club Brugge KV,Gent, CHAMPIONSHIP GROUP,1.27,6.0,8.5,1.22,4.0,2.0,1.73,1.02,21.0,1.13,6.0,1.44,2.7,1.8,1.95
26,EGYPT - PREMIER LEAGUE,2025-05-01,16:00,Ceramica Cleopatra,National Bank Egypt, CHAMPIONSHIP GROUP,2.3,3.1,3.0,1.44,2.63,3.0,1.33,1.05,8.0,1.36,2.88,2.1,1.67,1.8,1.91
27,ITALY - SERIE B,2025-05-01,17:15,Cittadella,Brescia, ROUND 36,2.8,3.1,2.6,1.44,2.63,3.25,1.33,1.07,9.0,1.36,3.0,2.15,1.67,1.8,1.95
28,LATVIA - VIRSLIGA,2025-05-01,18:00,RFS,Auda, ROUND 10,1.8,3.2,4.5,1.5,2.5,2.75,1.4,1.08,6.5,1.44,2.63,2.38,1.53,2.1,1.67
29,NORWAY - ELITESERIEN,2025-05-01,18:00,Rosenborg,Kristiansund, ROUND 17,1.27,5.75,10.0,1.25,3.75,2.1,1.67,1.02,19.0,1.13,6.0,1.44,2.7,1.95,1.8
30,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,2025-05-01,18:00,Al Okhdood,Al Wehda, ROUND 30,1.85,3.5,4.0,1.4,2.75,2.75,1.4,1.05,8.5,1.29,3.5,1.95,1.85,1.83,1.83
31,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,2025-05-01,18:00,Al Riyadh,Al Orubah, ROUND 30,1.73,3.75,4.33,1.33,3.25,2.63,1.44,1.04,9.0,1.25,3.75,1.8,2.0,1.73,2.0
32,BULGARIA - PARVA LIGA,2025-05-01,18:30,Hebar,Krumovgrad, RELEGATION GROUP,2.15,3.1,3.6,1.44,2.63,3.25,1.33,1.08,8.0,1.36,3.0,2.25,1.62,1.91,1.8
33,EGYPT - PREMIER LEAGUE,2025-05-01,19:00,Al Masry,Zamalek, CHAMPIONSHIP GROUP,3.1,3.0,2.3,1.5,2.5,3.4,1.29,1.09,6.0,1.5,2.5,2.38,1.53,2.0,1.73
34,ITALY - SERIE B,2025-05-01,19:30,Sassuolo,Carrarese, ROUND 36,1.57,4.1,5.5,1.33,3.25,2.5,1.5,1.04,13.0,1.22,4.0,1.7,2.1,1.8,1.95
35,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,2025-05-01,20:00,Al Fateh,Al Shabab, ROUND 30,2.55,3.8,2.35,1.2,4.33,1.98,1.83,1.01,17.0,1.1,6.5,1.36,3.0,1.36,3.0
36,ENGLAND - PREMIER LEAGUE,2025-05-01,20:30,Nottingham,Brentford, ROUND 34,2.1,3.6,3.3,1.33,3.25,2.5,1.5,1.04,13.0,1.22,4.33,1.73,2.1,1.62,2.2
37,EUROPE - EUROPA LEAGUE,2025-05-01,21:00,Ath Bilbao,Manchester Utd, PLAY OFFS,2.1,3.3,3.6,1.44,2.63,3.25,1.33,1.08,8.0,1.4,3.0,2.2,1.67,1.95,1.8
38,EUROPE - EUROPA LEAGUE,2025-05-01,21:00,Tottenham,Bodo/Glimt, PLAY OFFS,1.3,5.75,8.0,1.25,3.75,2.1,1.67,1.02,19.0,1.14,5.5,1.44,2.75,1.8,1.95
39,EUROPE - CONFERENCE LEAGUE,2025-05-01,21:00,Betis,Fiorentina, PLAY OFFS,1.73,3.7,4.5,1.36,3.0,2.75,1.4,1.06,10.0,1.29,3.5,1.98,1.88,1.83,1.83
40,EUROPE - CONFERENCE LEAGUE,2025-05-01,21:00,Djurgarden,Chelsea, PLAY OFFS,10.0,5.25,1.3,1.29,3.5,2.25,1.57,1.03,17.0,1.17,5.0,1.57,2.35,1.91,1.8
