,Unnamed: 0,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,1,Y7k6vpzS,2025-01-07,08:00,AUSTRALIA - A-LEAGUE,Melbourne City,Western United,ROUND 17,2.1,3.9,3.1,1.3,3.4,1.03,15.0,1.2,4.5,1.62,2.3,1.57,2.25
2,2,4jtxZNck,2025-01-07,10:00,AUSTRALIA - A-LEAGUE,Brisbane Roar,Newcastle Jets,ROUND 11,2.25,3.8,2.88,1.29,3.5,1.03,15.0,1.17,5.0,1.57,2.38,1.5,2.5
3,3,zg7zhdDa,2025-01-07,13:00,INDONESIA - LIGA 1,Bali United,Persib Bandung,ROUND 12,2.37,3.0,2.75,1.38,2.8,1.03,9.0,1.3,3.2,1.95,1.75,1.73,2.0
4,4,EZ4Wjxdm,2025-01-07,15:00,EGYPT - PREMIER LEAGUE,Al Ahly,Smouha,ROUND 5,1.42,3.95,7.5,1.36,2.88,1.01,9.0,1.28,3.15,1.94,1.71,2.18,1.62
5,5,K6hPOIpf,2025-01-07,20:45,ENGLAND - LEAGUE ONE,Wycombe,Huddersfield,ROUND 16,2.3,3.4,2.88,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,1.8,1.95
6,6,6LFkTExf,2025-01-07,20:45,NORTHERN IRELAND - NIFL PREMIERSHIP,Crusaders,Larne,ROUND 2,2.85,3.15,2.33,1.44,2.55,1.08,8.0,1.42,2.8,2.38,1.55,2.06,1.7
7,7,SnKeV6K0,2025-01-07,20:45,WALES - CYMRU PREMIER,Bala,Caernarfon,ROUND 21,1.8,3.75,3.4,1.26,3.45,1.02,14.0,1.19,4.3,1.67,2.1,1.64,2.15
8,8,CtwKjz1M,2025-01-07,21:30,SPAIN - LALIGA2,Tenerife,Levante,ROUND 14,2.8,2.9,2.7,1.5,2.5,1.08,8.0,1.4,2.75,2.3,1.6,1.91,1.8
