,Unnamed: 0,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,1,GOMNQgeA,2025-02-25,00:00,CHILE - LIGA DE PRIMERA,Colo Colo,O'Higgins,ROUND 2,1.44,4.1,7.5,1.36,3.0,1.05,11.0,1.22,4.0,1.8,2.0,1.91,1.8
2,2,nmg26IrA,2025-02-25,00:00,PERU - LIGA 1,Binacional,Cusco,APERTURA ,2.1,3.4,3.3,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,1.73,2.0
3,3,bJ6x7WxK,2025-02-25,01:00,ARGENTINA - TORNEO BETANO,Tigre,Banfield,APERTURA ,2.1,3.0,3.9,1.67,2.1,1.13,6.0,1.62,2.2,2.88,1.4,2.38,1.53
4,4,hlr7aJOs,2025-02-25,01:00,ECUADOR - LIGA PRO,Tecnico U.,Libertad,FIRST STAGE ,1.65,3.75,5.25,1.44,2.63,1.06,10.0,1.33,3.25,2.05,1.75,2.0,1.73
5,5,6sPcLu4S,2025-02-25,15:00,INDIA - ISL,Bengaluru FC,Chennaiyin,ROUND 24,1.83,3.7,3.6,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,1.57,2.25
6,6,Y5Wfy76c,2025-02-25,15:10,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Raed,Al Shabab,ROUND 22,3.9,3.8,1.75,1.33,3.25,1.04,9.0,1.22,4.0,1.73,2.08,1.73,2.0
7,7,6uGR0QUp,2025-02-25,16:30,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Hilal,Al Kholood,ROUND 22,1.13,8.5,11.0,1.17,4.5,1.01,17.0,1.07,7.5,1.29,3.5,1.83,1.83
8,8,ni3gJYpC,2025-02-25,17:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Wehda,Al Nassr,ROUND 22,5.25,5.25,1.42,1.29,3.5,1.02,11.0,1.14,5.0,1.5,2.5,1.73,2.0
9,9,fD4Zr5DG,2025-02-25,18:00,AUSTRIA - 2. LIGA,ASK Voitsberg,Bregenz,ROUND 17,2.1,3.45,3.1,1.33,3.0,1.04,10.0,1.21,3.7,1.73,1.93,1.63,2.15
10,10,dUnH2aVG,2025-02-25,18:00,SLOVAKIA - NIKE LIGA,Komarno,Zilina,ROUND 20,3.6,3.6,1.75,1.3,3.2,1.03,11.0,1.22,3.8,1.7,2.05,1.67,2.05
