,League,Date,Time,Round,Home,Away,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_BTTS_Yes,HT_Odd_BTTS_No,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Lay_Home,FT_Odd_Lay_Draw,FT_Odd_Lay_Away,Pre_Match_Home_Expected_Goals,Pre_Match_Away_Expected_Goals,Pre_Match_Total_Expected_Goals,BTTS_First_Half_Potential,BTTS_Second_Half_Potential,BTTS_Potential,Pre_Match_Home_Points_per_Game,Pre_Match_Home_Overall_Points_per_Game,Pre_Match_Away_Points_per_Game,Pre_Match_Away_Overall_Points_per_Game
0,South America Copa Libertadores,2025-05-30,00:00:00,6,Peñarol,Vélez Sarsfield,2.88,1.95,4.75,1.53,2.38,3.75,1.25,11.0,1.05,0.0,0.0,1.97,2.9,3.74,1.1,6.5,1.5,2.5,2.3,1.5,2.2,1.62,1.7,1.36,1.25,1.7,1.84,3.54,0.0,25.0,50.0,2.0,2.0,2.0,2.0
1,South America Copa Libertadores,2025-05-30,00:00:00,6,Olimpia,San Antonio Bulo Bulo,1.5,3.25,9.0,1.17,5.0,1.8,1.91,3.5,1.29,0.0,0.0,1.14,6.9,9.8,1.01,29.0,1.08,7.5,1.3,3.33,1.75,2.0,4.5,1.09,1.04,2.07,0.96,3.03,0.0,0.0,50.0,0.4,0.4,1.2,1.2
2,South America Copa Libertadores,2025-05-30,02:30:00,6,Colo-Colo,Atlético Bucaramanga,3.25,2.2,3.1,1.36,3.0,2.75,1.4,7.0,1.1,0.0,0.0,2.49,3.3,2.41,1.01,10.2,1.24,3.48,1.85,1.85,1.7,2.05,1.44,1.3,1.5,1.42,1.48,2.9,0.0,25.0,50.0,0.4,0.4,1.2,1.2
3,South America Copa Libertadores,2025-05-30,02:30:00,6,Racing Club,Fortaleza,2.45,2.05,4.33,1.41,2.65,2.85,1.37,7.5,1.08,0.0,0.0,1.78,3.26,4.0,1.06,8.25,1.33,3.1,1.94,1.76,1.85,1.82,1.85,1.3,1.22,1.89,1.61,3.5,0.0,25.0,30.0,2.0,2.0,1.6,1.6
4,Brazil Serie B,2025-05-30,02:35:00,10,Ferroviária,Botafogo SP,2.55,1.95,5.5,1.53,2.35,3.4,1.25,8.7,1.04,0.0,0.0,1.83,3.0,4.72,1.1,6.5,1.45,2.39,2.45,1.47,2.15,1.57,1.83,1.31,1.36,2.06,0.97,3.03,25.0,0.0,50.0,2.0,1.22,0.75,0.89
5,Kazakhstan Kazakhstan Premier League,2025-05-30,15:00:00,11,Zhenys,Ordabasy,3.8,1.95,2.85,1.5,2.4,3.3,1.3,8.5,1.04,0.0,0.0,3.07,3.07,2.13,1.08,7.5,1.4,2.7,2.32,1.58,1.95,1.75,1.22,1.3,1.3,1.17,1.52,2.69,17.0,17.0,44.0,0.4,0.6,1.0,1.56
6,Kazakhstan Kazakhstan Premier League,2025-05-30,15:00:00,11,Yelimay Semey,Astana,3.54,2.0,2.99,1.44,2.6,3.1,1.33,8.0,1.05,0.0,0.0,2.68,3.07,2.38,1.05,8.0,1.36,2.9,2.14,1.68,1.85,1.85,1.4,1.31,1.55,2.09,2.18,4.27,0.0,10.0,20.0,2.25,1.7,2.2,2.18
7,Kazakhstan Kazakhstan Premier League,2025-05-30,15:30:00,11,Tobol,Atyrau,1.57,2.62,12.0,1.31,3.3,2.4,1.5,5.85,1.07,0.0,0.0,1.18,5.4,12.0,1.01,11.5,1.18,3.9,1.71,2.09,2.65,1.4,4.96,1.1,1.04,1.94,1.18,3.12,13.0,13.0,50.0,2.5,2.22,0.0,0.33
10,Kazakhstan Kazakhstan Premier League,2025-05-30,17:00:00,11,Aktobe,Kairat,3.1,1.95,3.3,1.42,2.6,3.04,1.33,8.0,1.05,0.0,0.0,2.38,3.07,2.68,1.0,9.2,1.36,2.9,1.93,1.83,1.77,1.85,1.44,1.29,1.36,1.7,1.61,3.31,0.0,47.0,61.0,3.0,2.27,2.0,2.09
8,Bosnia and Herzegovina Premier League of Bosnia,2025-05-30,17:00:00,33,Igman Konjic,Borac Banja Luka,6.5,2.3,1.91,1.36,3.0,2.63,1.44,6.0,1.11,0.0,0.0,6.2,3.59,1.52,1.04,11.0,1.2,3.7,1.85,1.85,2.0,1.73,1.06,1.16,2.67,1.23,1.5,2.73,17.0,17.0,40.0,0.73,0.88,2.2,2.44
9,Bosnia and Herzegovina Premier League of Bosnia,2025-05-30,17:00:00,33,GOŠK Gabela,Zrinjski,13.0,2.75,1.5,1.29,3.5,2.25,1.57,5.0,1.14,0.0,0.0,13.0,6.2,1.16,1.01,17.0,1.15,4.3,1.59,2.22,2.63,1.44,1.01,1.06,4.95,1.07,1.38,2.45,8.0,11.0,27.0,0.2,0.41,2.53,2.56
11,Croatia Druga HNL,2025-05-30,17:30:00,33,Bijelo Brdo,Dubrava Zagreb,2.4,2.2,4.33,1.33,2.92,2.72,1.38,6.5,1.08,0.0,0.0,1.8,3.6,3.6,1.03,9.0,1.23,3.42,1.9,1.9,1.75,1.92,1.85,1.21,1.18,1.34,1.39,2.73,0.0,0.0,54.0,1.13,1.34,1.13,1.44
12,Belarus Vysheyshaya Liga,2025-05-30,18:00:00,11,Dinamo Brest,Isloch,2.67,2.05,4.95,1.46,2.6,2.96,1.33,8.0,1.06,0.0,0.0,2.0,3.0,3.75,1.06,8.5,1.36,3.0,1.8,2.02,1.91,1.83,1.83,1.28,1.33,0.45,0.0,0.45,13.0,23.0,35.0,2.0,2.1,1.5,1.8
13,Algeria Ligue 1,2025-05-30,18:00:00,23,Oued Akbou,CS Constantine,2.94,1.77,3.9,1.55,2.25,3.4,1.27,7.7,1.04,0.0,0.0,2.23,3.12,3.13,1.05,7.5,1.44,2.5,2.4,1.5,2.05,1.7,1.6,1.25,1.33,1.66,1.28,2.94,8.0,21.0,40.0,1.5,1.12,1.0,1.36
18,Norway First Division,2025-05-30,19:00:00,9,Skeid,Hødd,3.2,2.02,3.15,1.38,2.8,2.77,1.4,7.0,1.07,0.0,0.0,2.42,3.35,2.57,1.06,9.5,1.27,3.3,1.92,1.78,1.73,2.0,1.44,1.31,1.33,1.27,0.99,2.26,0.0,46.0,75.0,0.33,0.25,1.75,1.63
19,Turkey Süper Lig,2025-05-30,19:00:00,38,Galatasaray,İstanbul Başakşehir,1.9,2.55,5.0,1.22,3.9,1.98,1.73,4.1,1.2,0.0,0.0,1.45,4.85,6.2,1.03,11.0,1.11,6.25,1.35,3.1,1.52,2.35,2.6,1.18,1.13,2.1,1.39,3.49,32.0,41.0,56.0,2.65,2.63,1.35,1.54
17,Turkey Süper Lig,2025-05-30,19:00:00,38,Antalyaspor,Trabzonspor,3.0,2.25,2.9,1.29,3.25,2.3,1.53,5.25,1.13,0.0,0.0,2.78,3.55,2.4,1.04,10.0,1.2,4.33,1.62,2.25,1.52,2.35,1.47,1.28,1.51,1.37,1.31,2.68,18.0,24.0,59.0,2.0,1.26,0.76,1.37
16,Estonia Meistriliiga,2025-05-30,19:00:00,15,Tallinna FC Flora,Tammeka,1.45,2.61,8.5,1.22,3.9,2.11,1.73,4.0,1.2,0.0,0.0,1.2,5.9,8.8,1.02,21.0,1.11,6.0,1.37,2.85,1.95,1.85,4.4,1.08,1.13,1.73,1.27,3.0,22.0,36.0,50.0,1.86,2.29,0.57,0.71
15,Sweden Superettan,2025-05-30,19:00:00,11,Örebro,Brage,2.9,2.1,3.45,1.42,2.75,2.9,1.36,7.0,1.06,0.0,0.0,2.33,3.23,2.62,1.02,10.0,1.29,3.25,2.0,1.72,1.75,1.89,1.53,1.28,1.4,1.54,1.44,2.98,0.0,10.0,23.0,0.25,0.2,2.0,1.2
14,Turkey Süper Lig,2025-05-30,19:00:00,38,Kasımpaşa,Göztepe,2.37,2.45,3.4,1.2,4.1,1.9,1.78,3.9,1.22,0.0,0.0,1.97,4.0,3.3,1.01,17.0,1.11,6.25,1.36,3.1,1.35,2.9,1.78,1.23,1.33,1.72,1.39,3.11,32.0,36.0,74.0,1.29,1.34,0.65,1.34
20,Bosnia and Herzegovina Premier League of Bosnia,2025-05-30,20:00:00,33,Široki Brijeg,Sloboda Tuzla,1.67,2.5,8.5,1.3,3.4,2.5,1.5,5.5,1.13,0.0,0.0,1.41,4.1,6.7,1.02,13.0,1.16,4.1,1.67,2.15,1.91,1.8,3.64,1.11,1.0,1.54,0.84,2.38,23.0,16.0,41.0,1.25,1.34,0.13,0.31
21,Spain Segunda División,2025-05-30,20:30:00,0,CD Castellón,Real Zaragoza,2.4,2.2,3.9,1.31,3.1,2.37,1.5,5.75,1.12,0.0,0.0,1.81,3.8,3.95,1.04,10.0,1.2,4.33,1.65,2.05,1.6,2.2,1.85,1.26,1.27,1.87,1.34,3.21,23.0,38.0,63.0,1.45,1.22,1.15,1.24
22,Republic of Ireland Premier Division,2025-05-30,20:45:00,18,Cork City,Shelbourne,4.35,2.0,2.5,1.46,2.5,3.1,1.34,8.4,1.06,0.0,0.0,3.76,3.11,1.88,1.03,8.7,1.39,2.88,2.2,1.55,1.95,1.72,1.25,1.28,1.33,1.52,1.53,3.05,25.0,32.0,69.0,1.25,0.71,1.25,1.44
23,Republic of Ireland Premier Division,2025-05-30,20:45:00,18,Bohemians,Derry City,3.2,2.0,3.23,1.5,2.45,3.25,1.29,7.5,1.01,0.0,0.0,2.47,3.02,2.6,1.06,7.5,1.45,2.7,2.25,1.53,2.0,1.75,1.5,1.3,1.41,1.96,1.27,3.23,19.0,26.0,51.0,1.88,1.59,1.38,1.59
24,Republic of Ireland Premier Division,2025-05-30,20:45:00,18,Sligo Rovers,St Patrick's Athl.,3.93,2.18,2.42,1.36,3.1,2.6,1.45,6.25,1.1,0.0,0.0,3.78,3.47,1.76,1.05,10.0,1.23,3.7,1.78,1.92,1.73,2.0,1.22,1.22,1.3,1.48,1.53,3.01,12.0,32.0,60.0,0.63,0.71,0.78,1.44
