,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,BRAZIL - SERIE B,2025-04-16,00:00,Cuiaba,Athletico-PR, ROUND 3,2.88,3.1,2.6,1.5,2.37,3.75,1.22,1.08,8.0,1.44,2.63,2.4,1.53,2.0,1.73
2,COSTA RICA - PRIMERA DIVISION,2025-04-16,00:00,Zeledon,Guanacasteca, CLAUSURA,1.83,3.2,4.2,1.5,2.5,3.4,1.3,1.08,8.0,1.4,2.75,2.3,1.6,2.0,1.73
3,ARGENTINA - TORNEO BETANO,2025-04-16,01:00,Platense,Rosario Central, APERTURA,2.3,2.7,4.0,1.85,1.95,6.0,1.13,1.18,4.5,1.83,1.83,4.0,1.25,2.75,1.4
4,COLOMBIA - PRIMERA A,2025-04-16,01:15,Pereira,Dep. Cali, APERTURA,2.45,2.88,3.25,1.62,2.2,4.0,1.22,1.11,6.5,1.53,2.38,2.7,1.44,2.2,1.62
5,PARAGUAY - COPA DE PRIMERA,2025-04-16,01:15,Nacional Asuncion,Cerro Porteno, APERTURA,3.25,3.0,2.35,1.5,2.37,3.75,1.22,1.1,7.0,1.44,2.63,2.5,1.5,2.0,1.73
6,ECUADOR - LIGA PRO,2025-04-16,02:00,Aucas,U. Catolica, ROUND 8,2.55,3.3,2.63,1.44,2.63,3.0,1.36,1.06,10.0,1.3,3.4,2.0,1.8,1.8,1.91
7,BRAZIL - SERIE A BETANO,2025-04-16,02:30,Ceara,Vasco, ROUND 4,2.2,3.2,3.5,1.47,2.5,3.5,1.25,1.08,8.0,1.44,2.75,2.3,1.6,2.0,1.75
8,MEXICO - LIGA MX,2025-04-16,03:00,Pachuca,Tigres UANL, CLAUSURA,1.91,3.25,4.33,1.44,2.63,3.25,1.33,1.06,10.0,1.33,3.25,2.05,1.75,1.95,1.8
9,MEXICO - LIGA MX,2025-04-16,03:05,Guadalajara Chivas,Puebla, CLAUSURA,1.45,4.5,6.5,1.36,3.0,2.75,1.4,1.05,11.0,1.25,3.75,1.88,1.98,2.05,1.7
10,COLOMBIA - PRIMERA A,2025-04-16,03:30,Deportes Tolima,Junior, APERTURA,1.91,3.1,4.5,1.53,2.38,3.75,1.25,1.11,6.5,1.44,2.63,2.5,1.5,2.2,1.62
11,COSTA RICA - PRIMERA DIVISION,2025-04-16,04:00,Herediano,AD Santos, CLAUSURA,1.48,3.9,6.0,1.36,3.0,2.75,1.4,1.05,11.0,1.25,3.75,1.85,1.95,2.0,1.73
12,COSTA RICA - PRIMERA DIVISION,2025-04-16,04:00,Puntarenas FC,Saprissa, CLAUSURA,3.6,3.2,1.95,1.5,2.5,3.5,1.29,1.07,9.0,1.4,2.75,2.25,1.62,2.0,1.73
13,MEXICO - LIGA MX,2025-04-16,05:00,Juarez,Necaxa, CLAUSURA,2.45,3.4,2.8,1.33,3.25,2.5,1.5,1.03,15.0,1.2,4.33,1.67,2.15,1.53,2.38
14,MEXICO - LIGA MX,2025-04-16,05:05,Cruz Azul,Club Leon, CLAUSURA,1.7,3.9,4.75,1.3,3.4,2.5,1.5,1.03,15.0,1.18,4.5,1.62,2.25,1.62,2.2
15,CHINA - SUPER LEAGUE,2025-04-16,12:00,Tianjin Jinmen Tiger,Shanghai Port, ROUND 7,5.5,4.2,1.55,1.22,4.0,2.1,1.67,1.02,21.0,1.13,6.0,1.44,2.7,1.53,2.38
16,JAPAN - J1 LEAGUE,2025-04-16,12:00,Vissel Kobe,Kawasaki Frontale, ROUND 12,2.38,3.3,3.0,1.37,2.75,3.0,1.33,1.05,11.0,1.29,3.5,2.0,1.85,1.75,2.0
17,JAPAN - J1 LEAGUE,2025-04-16,12:00,Yokohama F. Marinos,Shimizu S-Pulse, ROUND 12,2.5,3.3,2.75,1.37,2.75,3.0,1.33,1.05,11.0,1.29,3.5,2.0,1.85,1.75,2.0
18,JAPAN - J1 LEAGUE,2025-04-16,12:30,Urawa Reds,Kyoto, ROUND 20,2.1,3.3,3.6,1.41,2.62,3.25,1.3,1.07,8.5,1.33,3.25,2.1,1.7,1.91,1.91
19,CHINA - SUPER LEAGUE,2025-04-16,13:00,Dalian Yingbo,Henan Songshan Longmen, ROUND 7,2.4,3.3,2.9,1.4,2.75,2.75,1.4,1.05,11.0,1.25,3.75,1.88,1.98,1.67,2.1
