,Unnamed: 0,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,1,vshn2SY1,2025-02-09,00:15,ARGENTINA - TORNEO BETANO,River Plate,Independiente,APERTURA ,1.7,3.7,4.75,1.53,2.38,1.08,8.0,1.44,2.63,2.4,1.53,2.25,1.57
2,2,zocm4A57,2025-02-09,00:30,PARAGUAY - COPA DE PRIMERA,Sportivo Trinidense,Cerro Porteno,APERTURA ,4.75,3.3,1.75,1.44,2.63,1.07,9.0,1.33,3.25,2.05,1.75,1.91,1.8
3,3,G4vrUG0l,2025-02-09,01:00,PERU - LIGA 1,Alianza Lima,Cusco,APERTURA ,1.4,4.5,7.0,1.33,3.25,1.03,15.0,1.2,4.33,1.67,2.15,1.91,1.8
4,4,l89zAkf4,2025-02-09,01:00,VENEZUELA - LIGA FUTVE,Puerto Cabello,Carabobo,APERTURA ,2.5,3.0,2.6,1.5,2.4,1.08,6.5,1.44,2.6,2.3,1.55,2.0,1.73
5,5,fDOnP976,2025-02-09,02:00,MEXICO - LIGA MX,Club Leon,Toluca,CLAUSURA ,2.88,3.75,2.3,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,1.57,2.25
6,6,nmLvRVxf,2025-02-09,02:00,MEXICO - LIGA MX,Tigres UANL,Atlas,CLAUSURA ,1.53,4.33,6.25,1.36,3.0,1.05,11.0,1.29,3.5,1.9,1.95,2.0,1.75
7,7,EwXWdXdM,2025-02-09,02:15,ARGENTINA - TORNEO BETANO,Racing Club,Boca Juniors,APERTURA ,2.0,3.5,3.6,1.5,2.5,1.06,10.0,1.36,3.0,2.15,1.67,1.95,1.8
8,8,ATMRgBeM,2025-02-09,03:00,COSTA RICA - PRIMERA DIVISION,Herediano,Liberia,CLAUSURA ,1.57,4.1,5.5,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,1.8,1.91
9,9,vuT6U4qn,2025-02-09,04:00,MEXICO - LIGA MX,Juarez,Monterrey,CLAUSURA ,3.9,3.7,1.91,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,1.8,1.95
10,10,lCHeNmxJ,2025-02-09,04:05,MEXICO - LIGA MX,Cruz Azul,Pachuca,CLAUSURA ,1.7,4.0,4.75,1.36,3.0,1.04,13.0,1.22,4.0,1.73,2.08,1.8,1.95
11,11,S4qgP7VG,2025-02-09,07:00,AUSTRALIA - A-LEAGUE,Macarthur FC,Western United,ROUND 18,2.3,3.5,3.0,1.25,3.75,1.02,19.0,1.14,5.5,1.46,2.57,1.44,2.63
12,12,MyKjLkIP,2025-02-09,09:30,INDONESIA - LIGA 1,PSS Sleman,Bali United,ROUND 22,2.5,3.3,2.4,1.33,3.0,1.02,10.0,1.22,3.75,1.73,2.0,1.61,2.15
13,13,hARLis8K,2025-02-09,11:00,BULGARIA - PARVA LIGA,CSKA 1948 Sofia,Lok. Sofia,ROUND 20,1.73,3.75,4.5,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,1.83,1.83
14,14,ppvlCXwg,2025-02-09,11:00,SINGAPORE - PREMIER LEAGUE,Albirex Niigata,Geylang,ROUND 25,3.5,4.2,1.7,1.14,5.5,1.01,34.0,1.05,11.0,1.22,4.2,1.29,3.5
15,15,4jQfNZ1C,2025-02-09,11:30,TURKEY - SUPER LIG,Kasimpasa,Rizespor,ROUND 23,2.0,3.6,3.2,1.33,3.25,1.03,15.0,1.2,4.33,1.67,2.15,1.57,2.25
16,16,Sb8QNEBl,2025-02-09,11:30,TURKEY - 1. LIG,Bandirmaspor,Sanliurfaspor,ROUND 23,1.75,3.5,4.2,1.4,2.75,1.06,10.0,1.29,3.5,1.95,1.85,1.83,1.83
17,17,IPMfTzlR,2025-02-09,11:30,TURKEY - 1. LIG,Boluspor,Keciorengucu,ROUND 23,2.05,3.2,3.4,1.5,2.5,1.07,9.0,1.36,3.0,2.2,1.65,1.91,1.8
18,18,GEZIaWb5,2025-02-09,12:00,PORTUGAL - LIGA PORTUGAL 2,Mafra,Chaves,ROUND 21,2.8,2.9,2.5,1.53,2.38,1.1,7.0,1.44,2.63,2.35,1.57,2.0,1.73
19,19,fgWI2adE,2025-02-09,12:00,PORTUGAL - LIGA 3,AD Fafe,1º Dezembro,PROMOTION GROUP ,1.65,3.5,4.75,1.43,2.63,1.04,8.5,1.33,3.0,2.0,1.73,2.0,1.73
20,20,4jOvgDTq,2025-02-09,12:15,NETHERLANDS - EREDIVISIE,Utrecht,Almere City,ROUND 22,1.38,5.0,7.5,1.3,3.4,1.03,15.0,1.2,4.33,1.67,2.15,1.95,1.8
21,21,fqm35kNc,2025-02-09,12:15,NETHERLANDS - EERSTE DIVISIE,Venlo,Maastricht,ROUND 25,2.38,3.6,2.7,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,1.5,2.5
22,22,OCUWKqOE,2025-02-09,12:15,POLAND - EKSTRAKLASA,Korona Kielce,Motor Lublin,ROUND 20,2.38,3.1,3.1,1.44,2.63,1.06,10.0,1.3,3.4,2.05,1.75,1.8,1.95
23,23,OKzKsBjo,2025-02-09,12:30,ITALY - SERIE A,Venezia,AS Roma,ROUND 24,5.25,3.75,1.7,1.36,3.0,1.05,11.0,1.25,4.0,1.8,2.0,1.75,2.0
24,24,EPR0wMDd,2025-02-09,13:00,CZECH REPUBLIC - CHANCE LIGA,Jablonec,Slovacko,ROUND 21,1.73,3.5,4.33,1.4,2.75,1.06,10.0,1.3,3.4,2.03,1.83,1.91,1.91
25,25,M9PEMjhR,2025-02-09,13:00,ENGLAND - CHAMPIONSHIP,Bristol City,Swansea,ROUND 31,1.85,3.5,4.1,1.44,2.63,1.06,10.0,1.33,3.4,2.1,1.73,1.91,1.8
26,26,hKAMFTum,2025-02-09,13:00,INDONESIA - LIGA 1,PSIS Semarang,Persib Bandung,ROUND 22,4.33,3.5,1.65,1.4,2.7,1.03,9.0,1.3,3.25,1.91,1.8,1.91,1.8
