,League,Date,Time,Round,Home,Away,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_BTTS_Yes,HT_Odd_BTTS_No,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Lay_Home,FT_Odd_Lay_Draw,FT_Odd_Lay_Away,Pre_Match_Home_Expected_Goals,Pre_Match_Away_Expected_Goals,Pre_Match_Total_Expected_Goals,BTTS_First_Half_Potential,BTTS_Second_Half_Potential,BTTS_Potential,Pre_Match_Home_Points_per_Game,Pre_Match_Home_Overall_Points_per_Game,Pre_Match_Away_Points_per_Game,Pre_Match_Away_Overall_Points_per_Game
0,Brazil Serie B,2025-05-13,00:00:00,7,Botafogo SP,Athletic Club,2.8,1.9,4.0,1.47,2.4,3.4,1.29,8.3,1.02,0.0,0.0,2.09,2.9,3.37,1.02,8.1,1.4,2.6,2.3,1.5,2.05,1.75,1.65,1.34,1.36,1.28,1.28,2.56,33.0,33.0,50.0,0.67,0.83,0.0,0.5
1,Brazil Serie C,2025-05-13,00:30:00,5,Ituano,Ponte Preta,3.6,1.72,3.57,1.64,2.13,3.4,1.24,9.2,1.03,0.0,0.0,2.64,2.5,2.93,1.1,5.25,1.49,2.4,2.15,1.57,2.0,1.73,1.49,1.32,1.32,1.81,1.56,3.37,0.0,50.0,75.0,2.0,2.5,2.0,2.5
2,Brazil Serie C,2025-05-13,00:30:00,5,Itabaiana,Figueirense,3.04,2.06,3.73,1.49,2.38,3.19,1.31,9.0,1.04,0.0,0.0,2.63,2.67,2.74,1.05,8.0,1.44,2.66,2.1,1.61,1.87,1.89,1.48,1.38,1.31,1.46,1.31,2.77,25.0,0.0,75.0,1.5,0.75,0.0,0.25
3,Brazil Serie A,2025-05-13,01:00:00,8,Santos,Ceará,2.5,1.96,5.0,1.43,2.5,3.2,1.34,7.5,1.05,0.0,0.0,1.8,2.92,4.5,1.08,7.5,1.41,2.65,2.1,1.67,2.05,1.73,1.85,1.32,1.33,1.87,1.25,3.12,34.0,34.0,67.0,1.33,0.57,0.33,1.57
4,Argentina Primera División,2025-05-13,01:30:00,0,River Plate,Barracas Central,1.83,2.25,10.0,1.44,2.63,3.0,1.36,9.0,1.07,0.0,0.0,1.29,4.31,8.4,1.07,8.0,1.36,2.9,2.1,1.7,2.63,1.44,3.0,1.2,1.06,1.88,1.29,3.17,23.0,24.0,47.0,1.94,1.94,1.63,1.63
5,Brazil Serie B,2025-05-13,02:00:00,7,Amazonas,CRB,2.88,1.95,3.9,1.53,2.35,3.34,1.27,11.0,1.04,0.0,0.0,2.17,2.91,3.16,1.11,6.75,1.45,2.65,2.3,1.5,2.0,1.75,1.65,1.34,1.36,1.87,1.74,3.61,17.0,0.0,50.0,0.67,0.33,1.33,1.83
6,Egypt Egyptian Premier League,2025-05-13,16:00:00,6,Pharco,Al Masry,4.65,1.62,3.0,1.6,2.25,4.05,1.18,9.0,1.0,0.0,0.0,4.17,2.79,2.05,1.14,5.78,1.57,2.26,2.75,1.42,2.1,1.6,1.14,1.33,1.4,1.21,1.25,2.46,24.0,33.0,41.0,1.43,1.43,1.67,1.67
7,Egypt Egyptian Premier League,2025-05-13,16:00:00,6,Ceramica Cleopatra,Al Ahly,5.25,2.45,2.07,1.33,3.31,2.62,1.47,5.5,1.12,0.0,0.0,5.2,3.82,1.51,1.04,9.0,1.18,3.85,1.61,2.05,1.73,2.0,1.15,1.18,1.22,1.55,1.8,3.35,25.0,30.0,55.0,1.48,1.48,2.33,2.33
8,UAE Arabian Gulf League,2025-05-13,16:10:00,24,Al Jazira,Al Bataeh,2.3,2.3,4.0,1.33,3.25,2.5,1.5,5.5,1.13,0.0,0.0,1.67,4.0,4.33,1.04,9.0,1.2,4.2,1.53,2.25,1.62,2.2,2.05,1.22,1.14,1.63,1.35,2.98,41.0,14.0,55.0,1.55,1.43,1.27,1.04
9,UAE Arabian Gulf League,2025-05-13,16:10:00,24,Al Urooba,Al Wasl,7.0,2.75,1.67,1.22,4.0,2.1,1.67,4.33,1.2,0.0,0.0,2.12,6.39,2.07,1.0,15.5,1.12,5.5,1.44,2.63,1.83,1.83,1.03,1.1,3.45,1.06,1.27,2.33,32.0,46.0,64.0,0.64,0.43,1.45,1.74
10,Bulgaria First League,2025-05-13,16:45:00,4,Cherno More,Ludogorets,3.6,1.9,3.29,1.48,2.47,3.28,1.27,10.0,1.02,0.0,0.0,2.77,2.67,2.6,1.11,6.0,1.42,2.7,2.3,1.48,1.88,1.7,1.36,1.36,1.53,1.5,1.71,3.21,19.0,26.0,44.0,1.64,1.64,2.45,2.45
11,Canada Canadian Premier League,2025-05-13,17:00:00,0,Forge FC,Atlético Ottawa,3.2,2.0,2.95,1.4,2.72,2.8,1.4,6.8,1.07,0.0,0.0,2.7,3.15,2.45,1.05,8.5,1.26,3.34,1.95,1.83,1.67,2.0,1.44,1.28,1.3,1.12,2.07,3.19,0.0,50.0,75.0,2.0,1.8,3.0,2.67
16,Egypt Egyptian Premier League,2025-05-13,19:00:00,6,Haras El Hodood,National Bank of Egypt,5.0,2.0,2.4,1.48,2.45,3.2,1.3,9.0,1.06,0.0,0.0,4.33,3.0,1.79,1.05,6.27,1.4,2.7,2.37,1.48,1.97,1.7,1.13,1.28,1.22,1.01,1.29,2.3,9.0,27.0,48.0,1.05,1.05,1.71,1.71
15,Sweden Superettan,2025-05-13,19:00:00,7,Helsingborg,Brage,2.63,2.2,4.0,1.4,2.75,2.75,1.4,8.0,1.08,0.0,0.0,1.88,3.41,3.41,1.05,8.5,1.3,3.25,1.88,1.82,1.8,1.95,1.8,1.25,1.25,1.42,1.31,2.73,34.0,17.0,50.0,1.0,1.0,2.33,1.33
17,Egypt Egyptian Premier League,2025-05-13,19:00:00,6,Zamalek,Pyramids FC,3.5,2.0,2.99,1.4,2.58,2.95,1.3,7.4,1.05,0.0,0.0,2.85,2.8,2.42,1.04,7.8,1.34,3.1,2.1,1.6,1.83,1.95,1.36,1.33,1.36,1.46,1.59,3.05,31.0,32.0,52.0,1.81,1.81,2.14,2.14
13,Spain La Liga,2025-05-13,19:00:00,36,Real Valladolid,Girona FC,5.0,2.3,2.25,1.33,3.25,2.63,1.44,6.5,1.11,0.0,0.0,4.75,3.8,1.7,1.05,9.5,1.25,3.8,1.8,2.0,1.8,1.95,1.18,1.2,2.1,1.07,1.17,2.24,3.0,32.0,47.0,0.76,0.46,0.82,1.09
12,UAE Arabian Gulf League,2025-05-13,19:00:00,24,Al Nasr,Shabab Al Ahli Dubai,3.6,2.3,2.5,1.3,3.4,2.38,1.53,5.5,1.13,0.0,0.0,3.3,3.6,1.95,1.04,9.0,1.2,4.2,1.53,2.25,1.57,2.25,1.28,1.22,1.8,1.6,1.65,3.25,32.0,36.0,73.0,2.0,1.48,2.18,2.43
14,UAE Arabian Gulf League,2025-05-13,19:00:00,24,Ajman,Al Ittihad Kalba,3.25,2.25,2.88,1.33,3.25,2.63,1.44,6.0,1.11,0.0,0.0,2.8,3.2,2.38,1.05,8.5,1.22,4.0,1.55,2.2,1.62,2.2,1.42,1.3,1.48,1.38,1.27,2.65,32.0,41.0,73.0,1.55,1.17,0.91,1.22
18,Bulgaria First League,2025-05-13,19:15:00,4,CSKA Sofia,Spartak Varna,1.45,2.7,8.0,1.25,3.58,2.2,1.55,4.5,1.15,0.0,0.0,1.19,5.5,10.0,1.03,15.0,1.13,4.8,1.52,2.36,2.0,1.67,4.02,1.11,1.13,1.93,1.35,3.28,16.0,35.0,41.0,1.7,1.7,1.45,1.45
19,South Africa Premier Soccer League,2025-05-13,19:30:00,0,Orlando Pirates,Golden Arrows,1.9,2.25,6.5,1.38,2.8,2.8,1.38,7.5,1.08,0.0,0.0,1.36,4.1,7.0,1.05,9.0,1.33,3.2,1.95,1.7,2.3,1.53,2.8,1.15,1.08,1.92,1.09,3.01,9.0,0.0,32.0,2.45,2.26,1.09,1.08
