,Unnamed: 0,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,1,plYG1pyA,2025-01-16,00:00,COSTA RICA - PRIMERA DIVISION,Santa Ana,Puntarenas FC,CLAUSURA ,2.45,3.4,2.75,1.36,3.0,1.04,13.0,1.22,4.0,1.8,2.0,1.62,2.2
2,2,6H1bENKF,2025-01-16,03:00,COSTA RICA - PRIMERA DIVISION,Herediano,Guanacasteca,CLAUSURA ,1.4,4.33,8.0,1.44,2.63,1.08,8.0,1.36,3.0,2.15,1.67,2.5,1.5
3,3,vicxafF5,2025-01-16,12:00,THAILAND - THAI LEAGUE 1,Uthai Thani,Bangkok Utd,ROUND 17,4.2,3.9,1.6,1.29,3.4,-1.0,-1.0,1.17,4.5,1.53,2.3,1.6,2.2
4,4,6ufAeL8D,2025-01-16,13:00,THAILAND - THAI LEAGUE 1,Muang Thong Utd,Rayong FC,ROUND 17,1.36,4.5,6.0,1.25,3.6,-1.0,-1.0,1.15,4.75,1.53,2.3,1.75,1.95
5,5,bu8xg2cJ,2025-01-16,14:55,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Okhdood,Al Feiha,ROUND 15,1.95,3.4,3.6,1.44,2.63,1.06,8.0,1.3,3.4,2.0,1.8,1.83,1.83
6,6,KjbZF4nD,2025-01-16,15:00,EGYPT - PREMIER LEAGUE,Zamalek,Haras El Hodood,ROUND 8,1.4,3.9,8.0,1.42,2.65,1.03,8.0,1.35,2.8,2.14,1.58,2.5,1.48
7,7,jwFI9l4N,2025-01-16,15:00,INDIA - ISL,Punjab,Mumbai City,ROUND 17,3.8,3.4,1.91,1.36,3.0,1.05,11.0,1.25,3.75,1.83,1.98,1.67,2.1
8,8,UaGLdpbf,2025-01-16,16:05,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Hilal,Al Fateh,ROUND 15,1.1,9.0,19.0,1.14,5.0,1.01,17.0,1.05,8.5,1.22,4.0,2.0,1.73
9,9,OO4QHQH0,2025-01-16,18:00,EGYPT - PREMIER LEAGUE,Al Masry,Pharco,ROUND 8,1.84,3.0,4.7,1.5,2.38,1.06,6.25,1.45,2.45,2.45,1.45,2.23,1.61
10,10,0tY2vOaN,2025-01-16,18:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Ittihad,Al Raed,ROUND 15,1.22,6.25,9.0,1.22,4.0,1.02,12.0,1.13,5.5,1.4,2.75,1.91,1.8
11,11,OMZGGwxn,2025-01-16,20:30,ENGLAND - PREMIER LEAGUE,Ipswich,Brighton,ROUND 21,4.1,3.8,1.85,1.33,3.25,1.04,13.0,1.22,4.33,1.73,2.1,1.62,2.2
12,12,W616Rfj4,2025-01-16,21:00,ENGLAND - PREMIER LEAGUE,Manchester Utd,Southampton,ROUND 21,1.3,6.0,9.0,1.25,3.75,1.03,17.0,1.17,5.0,1.5,2.63,1.91,1.91
13,13,UP5VLLwS,2025-01-16,21:00,ENGLAND - LEAGUE ONE,Shrewsbury,Wrexham,ROUND 27,4.5,3.4,1.8,1.44,2.63,1.06,10.0,1.36,3.0,2.1,1.7,2.0,1.75
