,League,Date,Time,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,USA - USL CHAMPIONSHIP,2025-05-02,02:00,Louisville City,Lexington,-,1.22,5.5,9.0,1.25,3.6,2.15,1.62,1.01,1.01,1.17,4.5,1.5,2.4,2.0,1.73
2,PERU - LIGA 1,2025-05-02,02:30,FBC Melgar,Comerciantes Unidos, APERTURA,1.14,6.5,15.0,1.22,4.0,2.1,1.67,1.02,19.0,1.14,5.5,1.48,2.6,2.25,1.57
3,INDONESIA - LIGA 1,2025-05-02,10:30,Barito Putera,Dewa United, ROUND 31,3.3,3.6,1.95,1.29,3.3,2.38,1.53,1.01,1.01,1.17,4.5,1.57,2.25,1.53,2.38
4,AUSTRALIA - A-LEAGUE,2025-05-02,11:35,Central Coast Mariners,Brisbane Roar, ROUND 29,2.88,3.7,2.3,1.3,3.4,2.38,1.53,1.03,15.0,1.2,4.5,1.67,2.2,1.57,2.25
5,SOUTH KOREA - K LEAGUE 1,2025-05-02,12:30,Pohang,Gimcheon Sangmu, ROUND 11,2.88,3.4,2.45,1.36,3.0,2.75,1.4,1.05,11.0,1.29,3.5,1.93,1.93,1.67,2.1
6,SOUTH KOREA - K LEAGUE 1,2025-05-02,12:30,Ulsan HD,Gwangju FC, ROUND 11,1.95,3.4,3.8,1.4,2.75,3.0,1.36,1.06,10.0,1.33,3.25,2.08,1.73,1.83,1.83
7,CHINA - SUPER LEAGUE,2025-05-02,13:00,Qingdao West Coast,Meizhou Hakka, ROUND 10,1.7,4.0,4.33,1.25,3.75,2.25,1.57,1.03,17.0,1.17,5.0,1.53,2.4,1.57,2.25
8,CHINA - SUPER LEAGUE,2025-05-02,13:35,Chengdu Rongcheng,Shanghai Shenhua, ROUND 10,2.25,3.4,3.1,1.33,3.25,2.5,1.5,1.04,13.0,1.2,4.33,1.7,2.1,1.57,2.25
9,SINGAPORE - PREMIER LEAGUE,2025-05-02,13:45,Hougang,Tampines, ROUND 33,7.0,6.25,1.22,1.13,6.0,1.62,2.2,1.01,34.0,1.05,11.0,1.18,4.5,1.44,2.63
10,BULGARIA - PARVA LIGA,2025-05-02,14:00,Botev Vratsa,Septemvri Sofia, RELEGATION GROUP,2.2,3.3,3.3,1.4,2.75,2.75,1.4,1.06,10.0,1.29,3.5,2.0,1.85,1.73,2.0
